* Measurement data measured by REW V5.20.5
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 29/06/2023 12:44:52 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KINERA SKULD FINAL L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.393	-152.9061
20.299999	85.446	-153.0337
20.600000	85.503	-153.1302
20.900000	85.563	-153.2710
21.200001	85.616	-153.5060
21.400000	85.642	-153.7087
21.799999	85.668	-154.1693
22.000000	85.668	-154.3979
22.400000	85.654	-154.8045
22.700001	85.639	-155.0719
23.000000	85.629	-155.3412
23.299999	85.623	-155.6472
23.600000	85.621	-156.0052
24.000000	85.623	-156.5654
24.299999	85.626	-157.0343
24.700001	85.635	-157.7051
25.000000	85.645	-158.2301
25.400000	85.662	-158.9410
25.799999	85.682	-159.6321
26.200001	85.705	-160.2654
26.500000	85.727	-160.6856
26.900000	85.761	-161.1653
27.200001	85.793	-161.4704
27.600000	85.845	-161.8257
28.000000	85.904	-162.1638
28.500000	85.978	-162.6270
29.000000	86.034	-163.1442
29.500000	86.059	-163.6314
30.000000	86.061	-163.9905
30.400000	86.060	-164.1891
30.700001	86.061	-164.3188
31.100000	86.066	-164.5119
31.500000	86.071	-164.7483
32.000000	86.077	-165.0977
32.500000	86.083	-165.4985
33.000000	86.091	-165.9648
33.500000	86.099	-166.4911
34.000000	86.103	-167.0259
34.500000	86.108	-167.5224
35.000000	86.118	-167.9793
35.500000	86.133	-168.4125
36.000000	86.149	-168.8154
36.500000	86.164	-169.1685
37.000000	86.180	-169.4668
37.500000	86.198	-169.7265
38.200001	86.227	-170.0775
38.700001	86.245	-170.3503
39.500000	86.264	-170.8199
40.000000	86.269	-171.1135
40.599998	86.273	-171.4766
41.200001	86.273	-171.8571
41.799999	86.269	-172.2060
42.500000	86.274	-172.5609
43.099998	86.291	-172.9251
43.700001	86.303	-173.3865
44.400002	86.295	-173.9173
45.000000	86.278	-174.2542
45.500000	86.269	-174.4576
46.200001	86.270	-174.7127
46.799999	86.278	-174.9775
47.500000	86.283	-175.3384
48.200001	86.282	-175.6765
48.700001	86.283	-175.8960
49.400002	86.291	-176.2171
50.000000	86.296	-176.5063
50.799999	86.303	-176.8774
51.500000	86.309	-177.1991
52.200001	86.311	-177.5105
53.000000	86.311	-177.8326
53.799999	86.313	-178.1616
54.500000	86.311	-178.4725
55.200001	86.304	-178.7682
56.000000	86.299	-179.0549
57.000000	86.312	-179.4814
58.000000	86.309	-179.9899
59.000000	86.308	179.6647
60.000000	86.317	179.2039
60.799999	86.295	178.8842
61.500000	86.279	178.7667
62.200001	86.280	178.6267
63.000000	86.276	178.3563
64.000000	86.261	178.0493
65.000000	86.255	177.6567
66.000000	86.230	177.2449
67.000000	86.221	176.9563
68.000000	86.219	176.5617
69.000000	86.209	176.2661
70.000000	86.214	175.9463
71.000000	86.198	175.5822
72.000000	86.180	175.3414
73.000000	86.161	175.0980
74.000000	86.150	174.9436
75.000000	86.155	174.6305
76.199997	86.129	174.2480
77.500000	86.116	173.9088
78.800003	86.091	173.5511
80.000000	86.073	173.2249
81.199997	86.046	172.9412
82.500000	86.028	172.6531
83.800003	86.007	172.3716
85.000000	85.988	172.0714
86.199997	85.953	171.8249
87.500000	85.927	171.5966
88.500000	85.903	171.4240
90.000000	85.877	171.1104
91.199997	85.831	170.9427
92.500000	85.810	170.8563
93.800003	85.771	170.6032
95.000000	85.718	170.5834
96.199997	85.699	170.5219
97.500000	85.647	170.3458
98.800003	85.607	170.2814
100.000000	85.538	170.2675
101.500000	85.505	170.6710
103.000000	85.457	170.7736
104.400002	85.427	171.3108
106.000000	85.376	171.7640
107.500000	85.388	172.6841
109.000000	85.431	173.5880
110.599998	85.577	174.5207
112.000000	85.754	175.1465
113.800003	86.051	175.2787
115.000000	86.256	174.8402
117.199997	86.516	173.1627
118.000000	86.584	172.4349
120.599998	86.639	170.2069
122.000000	86.680	169.1865
124.099998	86.648	167.8957
125.000000	86.638	167.3494
126.500000	86.592	166.6201
128.000000	86.549	165.9345
131.500000	86.464	164.6111
132.000000	86.453	164.4613
134.000000	86.409	163.8472
136.000000	86.353	163.2878
138.000000	86.310	162.7717
140.000000	86.255	162.2477
143.000000	86.189	161.6556
145.000000	86.160	161.2039
147.500000	86.105	160.7658
150.000000	86.058	160.3560
152.500000	85.999	159.9061
155.000000	85.959	159.5253
157.500000	85.905	159.1238
160.000000	85.874	158.7899
162.500000	85.825	158.4955
165.000000	85.785	158.1639
167.500000	85.741	157.8404
170.000000	85.707	157.5856
172.500000	85.669	157.2674
175.000000	85.634	157.0228
177.500000	85.607	156.7436
180.000000	85.575	156.4991
182.500000	85.560	156.1879
185.000000	85.543	155.8931
187.500000	85.515	155.5741
190.000000	85.491	155.2504
192.500000	85.464	154.8906
195.000000	85.434	154.5125
197.500000	85.404	154.2191
200.000000	85.361	153.8497
203.000000	85.319	153.4988
206.000000	85.265	153.1619
209.000000	85.219	152.8137
212.000000	85.167	152.5838
214.000000	85.139	152.3580
218.000000	85.064	152.0519
220.000000	85.032	151.9373
224.000000	84.965	151.6807
227.000000	84.913	151.6628
230.000000	84.882	151.6677
233.000000	84.866	151.6271
236.000000	84.873	151.6047
240.000000	84.898	151.3789
243.000000	84.915	150.9917
247.000000	84.894	150.3750
250.000000	84.879	149.9233
254.000000	84.831	149.3854
258.000000	84.770	148.9088
262.000000	84.719	148.4847
265.000000	84.680	148.2281
269.000000	84.618	147.8506
272.000000	84.579	147.6300
276.000000	84.527	147.3312
280.000000	84.478	147.0701
285.000000	84.419	146.6814
290.000000	84.362	146.4265
295.000000	84.286	146.0420
300.000000	84.228	145.7980
304.000000	84.183	145.5457
307.000000	84.149	145.3945
311.000000	84.099	145.1686
315.000000	84.058	144.9921
320.000000	84.007	144.7104
325.000000	83.955	144.4905
330.000000	83.898	144.3087
335.000000	83.845	144.0788
340.000000	83.792	143.9045
345.000000	83.741	143.6840
350.000000	83.693	143.5119
355.000000	83.638	143.3143
360.000000	83.590	143.1419
365.000000	83.544	142.9783
370.000000	83.499	142.8034
375.000000	83.458	142.6711
382.000000	83.393	142.5093
387.000000	83.348	142.3965
395.000000	83.273	142.0620
400.000000	83.236	142.0818
406.000000	83.176	141.9392
412.000000	83.130	141.7997
418.000000	83.091	141.7764
425.000000	83.036	141.6147
431.000000	82.994	141.4870
437.000000	82.953	141.3958
444.000000	82.891	141.3407
450.000000	82.857	141.2661
455.000000	82.817	141.1002
462.000000	82.778	141.1678
468.000000	82.730	141.1084
475.000000	82.694	141.0746
482.000000	82.659	141.0497
487.000000	82.613	141.1213
494.000000	82.575	141.0417
500.000000	82.543	141.0944
508.000000	82.500	141.0337
515.000000	82.468	141.0914
522.000000	82.438	141.1142
530.000000	82.403	141.0789
538.000000	82.370	141.2131
545.000000	82.330	141.2869
552.000000	82.300	141.3105
560.000000	82.283	141.3495
570.000000	82.250	141.5087
580.000000	82.221	141.5544
590.000000	82.184	141.7292
600.000000	82.176	141.8742
608.000000	82.152	141.9729
615.000000	82.128	142.1062
622.000000	82.126	142.1097
630.000000	82.110	142.3719
640.000000	82.106	142.5240
650.000000	82.103	142.6602
660.000000	82.099	142.8936
670.000000	82.091	143.2046
680.000000	82.093	143.3446
690.000000	82.110	143.5353
700.000000	82.116	143.8775
710.000000	82.132	144.0847
720.000000	82.146	144.2381
730.000000	82.181	144.4783
740.000000	82.198	144.7614
750.000000	82.226	144.9639
762.000000	82.267	145.3010
775.000000	82.308	145.6258
788.000000	82.359	145.9352
800.000000	82.425	146.1776
812.000000	82.479	146.5366
825.000000	82.555	146.7108
838.000000	82.620	147.0576
850.000000	82.712	147.2149
862.000000	82.796	147.4526
875.000000	82.887	147.6043
885.000000	82.962	147.7384
900.000000	83.077	147.9559
912.000000	83.181	148.0856
925.000000	83.288	148.1233
938.000000	83.399	148.2393
950.000000	83.507	148.1935
962.000000	83.620	148.2388
975.000000	83.731	148.1205
988.000000	83.854	148.0069
1000.000000	83.993	147.9301
1015.000000	84.119	147.7063
1030.000000	84.264	147.4416
1044.000000	84.391	147.1505
1060.000000	84.538	146.7554
1075.000000	84.668	146.2909
1090.000000	84.798	145.7888
1106.000000	84.941	145.2852
1120.000000	85.059	144.6614
1138.000000	85.186	143.9442
1150.000000	85.275	143.3458
1172.000000	85.414	142.3536
1180.000000	85.470	142.0294
1206.000000	85.600	140.7495
1220.000000	85.666	140.0238
1241.000000	85.744	139.0349
1250.000000	85.780	138.6001
1265.000000	85.815	137.8789
1280.000000	85.852	137.1449
1315.000000	85.918	135.4760
1320.000000	85.918	135.2649
1340.000000	85.930	134.3723
1360.000000	85.926	133.5048
1380.000000	85.899	132.7112
1400.000000	85.878	131.9724
1430.000000	85.830	131.0130
1450.000000	85.777	130.5255
1475.000000	85.713	129.9480
1500.000000	85.642	129.5000
1525.000000	85.567	129.1529
1550.000000	85.468	128.8575
1575.000000	85.387	128.8050
1600.000000	85.309	128.7139
1625.000000	85.235	128.7991
1650.000000	85.147	128.8695
1675.000000	85.065	129.0949
1700.000000	84.987	129.3289
1725.000000	84.923	129.8357
1750.000000	84.850	130.2391
1775.000000	84.786	130.7058
1800.000000	84.734	131.2118
1825.000000	84.679	131.8425
1850.000000	84.632	132.4955
1875.000000	84.576	133.2211
1900.000000	84.536	133.8700
1925.000000	84.509	134.6107
1950.000000	84.478	135.4889
1975.000000	84.457	136.2436
2000.000000	84.476	136.9801
2030.000000	84.417	138.1599
2060.000000	84.415	139.2610
2090.000000	84.421	140.4283
2120.000000	84.433	141.5412
2140.000000	84.453	142.3017
2180.000000	84.472	143.8634
2200.000000	84.488	144.7071
2240.000000	84.546	146.3552
2270.000000	84.604	147.6827
2300.000000	84.662	149.0276
2330.000000	84.767	150.4076
2360.000000	84.873	151.6639
2400.000000	85.070	153.1126
2430.000000	85.190	154.0894
2470.000000	85.374	155.3760
2500.000000	85.523	156.1442
2540.000000	85.734	157.2219
2580.000000	85.955	157.9705
2620.000000	86.125	158.5052
2650.000000	86.264	158.8247
2690.000000	86.418	159.2154
2720.000000	86.533	159.6620
2760.000000	86.674	160.1215
2800.000000	86.852	160.6741
2850.000000	87.096	161.2300
2900.000000	87.379	161.2702
2950.000000	87.645	160.7126
3000.000000	87.820	159.7327
3040.000000	87.953	158.7510
3070.000000	88.020	158.0191
3110.000000	88.058	157.1338
3150.000000	88.094	156.1367
3200.000000	88.093	154.9963
3250.000000	88.079	153.7501
3300.000000	88.057	152.5386
3350.000000	88.002	151.1506
3400.000000	87.938	149.6180
3450.000000	87.843	147.7559
3500.000000	87.697	145.4507
