* Measurement data measured by REW V5.20.5
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.570
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 21/07/2023 03:32:46 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MoonDrop CHU 2 NO TIP R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.125	-175.6103
20.299999	87.139	-175.8209
20.600000	87.150	-176.0476
20.900000	87.154	-176.3124
21.200001	87.150	-176.6199
21.400000	87.140	-176.8375
21.799999	87.108	-177.2768
22.000000	87.088	-177.4904
22.400000	87.049	-177.9097
22.700001	87.023	-178.2453
23.000000	87.001	-178.6282
23.299999	86.981	-179.0636
23.600000	86.960	-179.5367
24.000000	86.932	179.8106
24.299999	86.914	179.3279
24.700001	86.899	178.6962
25.000000	86.896	178.2198
25.400000	86.898	177.5727
25.799999	86.903	176.9321
26.200001	86.908	176.3378
26.500000	86.914	175.9380
26.900000	86.923	175.4649
27.200001	86.932	175.1439
27.600000	86.944	174.7471
28.000000	86.954	174.3792
28.500000	86.958	173.9568
29.000000	86.953	173.5701
29.500000	86.937	173.2145
30.000000	86.915	172.8866
30.400000	86.895	172.6272
30.700001	86.881	172.4185
31.100000	86.862	172.1038
31.500000	86.841	171.7454
32.000000	86.810	171.2586
32.500000	86.777	170.7602
33.000000	86.747	170.2668
33.500000	86.722	169.7841
34.000000	86.706	169.3132
34.500000	86.697	168.8378
35.000000	86.692	168.3408
35.500000	86.683	167.8435
36.000000	86.668	167.3967
36.500000	86.652	167.0175
37.000000	86.638	166.6700
37.500000	86.623	166.3221
38.200001	86.595	165.8563
38.700001	86.573	165.5448
39.500000	86.538	164.9917
40.000000	86.508	164.6215
40.599998	86.466	164.2305
41.200001	86.435	163.8866
41.799999	86.416	163.4911
42.500000	86.388	162.9549
43.099998	86.359	162.5375
43.700001	86.337	162.1572
44.400002	86.316	161.6470
45.000000	86.281	161.1933
45.500000	86.245	160.9148
46.200001	86.212	160.6519
46.799999	86.203	160.3469
47.500000	86.180	159.8535
48.200001	86.140	159.4346
48.700001	86.119	159.1840
49.400002	86.095	158.7556
50.000000	86.061	158.3598
50.799999	86.009	157.9743
51.500000	85.979	157.6763
52.200001	85.951	157.2784
53.000000	85.897	156.7766
53.799999	85.833	156.4445
54.500000	85.814	156.2037
55.200001	85.809	155.5688
56.000000	85.700	154.6627
57.000000	85.542	154.9435
58.000000	85.654	154.9948
59.000000	85.644	153.6606
60.000000	85.521	153.4111
60.799999	85.515	153.3825
61.500000	85.506	153.0602
62.200001	85.471	152.7585
63.000000	85.434	152.4494
64.000000	85.374	151.9821
65.000000	85.306	151.6345
66.000000	85.264	151.3223
67.000000	85.229	150.8416
68.000000	85.170	150.4422
69.000000	85.135	150.1584
70.000000	85.091	149.7242
71.000000	85.033	149.4608
72.000000	84.996	149.1236
73.000000	84.933	148.7450
74.000000	84.882	148.4559
75.000000	84.822	148.0625
76.199997	84.752	147.8432
77.500000	84.710	147.4074
78.800003	84.642	147.0147
80.000000	84.594	146.6353
81.199997	84.522	146.2426
82.500000	84.464	146.0522
83.800003	84.409	145.5954
85.000000	84.347	145.3825
86.199997	84.293	144.9997
87.500000	84.220	144.7211
88.500000	84.168	144.5212
90.000000	84.128	144.1960
91.199997	84.053	143.7149
92.500000	83.979	143.5463
93.800003	83.914	143.2754
95.000000	83.853	143.0563
96.199997	83.795	142.8463
97.500000	83.734	142.5662
98.800003	83.673	142.3262
100.000000	83.608	142.0552
101.500000	83.530	141.8962
103.000000	83.464	141.6448
104.400002	83.403	141.3368
106.000000	83.310	141.0862
107.500000	83.232	140.7711
109.000000	83.156	140.7335
110.599998	83.072	140.4145
112.000000	82.989	140.2372
113.800003	82.909	140.3452
115.000000	82.876	140.2386
117.199997	82.716	139.8656
118.000000	82.651	140.2381
120.599998	82.569	140.2874
122.000000	82.499	140.6522
124.099998	82.389	140.6188
125.000000	82.383	140.8557
126.500000	82.363	141.0632
128.000000	82.393	140.9933
131.500000	82.390	140.7524
132.000000	82.376	140.6157
134.000000	82.322	140.7299
136.000000	82.300	140.0989
138.000000	82.182	140.1246
140.000000	82.221	139.8959
143.000000	82.095	139.4108
145.000000	82.055	139.4718
147.500000	81.975	139.4990
150.000000	81.989	139.1747
152.500000	81.872	140.0725
155.000000	81.759	138.7778
157.500000	81.684	138.6497
160.000000	81.752	138.6575
162.500000	81.670	138.5603
165.000000	81.638	137.8757
167.500000	81.578	137.8847
170.000000	81.568	137.7421
172.500000	81.482	137.2850
175.000000	81.421	137.0368
177.500000	81.359	136.8883
180.000000	81.293	136.6752
182.500000	81.233	136.5341
185.000000	81.142	136.4053
187.500000	81.079	136.3519
190.000000	81.023	136.2161
192.500000	80.960	136.0880
195.000000	80.897	136.0578
197.500000	80.838	135.9974
200.000000	80.784	135.8633
203.000000	80.708	135.7206
206.000000	80.651	135.7491
209.000000	80.584	135.7050
212.000000	80.515	135.5899
214.000000	80.470	135.7126
218.000000	80.384	135.6339
220.000000	80.329	135.6445
224.000000	80.265	135.5161
227.000000	80.206	135.6156
230.000000	80.100	135.4894
233.000000	80.088	135.3869
236.000000	80.044	135.4871
240.000000	79.944	135.4867
243.000000	79.900	135.5535
247.000000	79.819	135.6777
250.000000	79.775	135.6649
254.000000	79.706	135.7866
258.000000	79.647	135.8676
262.000000	79.594	135.9287
265.000000	79.565	136.0759
269.000000	79.504	136.1472
272.000000	79.470	136.1405
276.000000	79.432	136.2165
280.000000	79.377	136.2686
285.000000	79.327	136.1924
290.000000	79.246	136.3017
295.000000	79.183	136.2786
300.000000	79.141	136.3636
304.000000	79.094	136.3675
307.000000	79.049	136.4969
311.000000	79.010	136.5507
315.000000	78.960	136.5538
320.000000	78.921	136.6945
325.000000	78.870	136.7469
330.000000	78.812	136.7879
335.000000	78.752	136.9826
340.000000	78.728	137.1336
345.000000	78.665	137.2137
350.000000	78.632	137.2944
355.000000	78.583	137.4591
360.000000	78.539	137.6597
365.000000	78.500	137.6562
370.000000	78.460	137.7922
375.000000	78.401	137.9565
382.000000	78.368	138.0491
387.000000	78.334	138.2898
395.000000	78.271	138.3791
400.000000	78.239	138.5209
406.000000	78.217	138.6024
