* Measurement data measured by REW V5.20.13
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.222
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 23, 2023 9:57:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: mest SILICON L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.741	177.4579
20.299999	89.734	177.2484
20.600000	89.721	177.0450
20.900000	89.701	176.8315
21.200001	89.675	176.5932
21.400000	89.653	176.4194
21.799999	89.603	176.0415
22.000000	89.576	175.8385
22.400000	89.520	175.4002
22.700001	89.480	175.0295
23.000000	89.442	174.6103
23.299999	89.405	174.1460
23.600000	89.369	173.6522
24.000000	89.324	172.9794
24.299999	89.296	172.4817
24.700001	89.269	171.8290
25.000000	89.258	171.3408
25.400000	89.250	170.6909
25.799999	89.247	170.0651
26.200001	89.246	169.4954
26.500000	89.248	169.1123
26.900000	89.252	168.6529
27.200001	89.255	168.3377
27.600000	89.256	167.9524
28.000000	89.251	167.6135
28.500000	89.235	167.2552
29.000000	89.213	166.9349
29.500000	89.182	166.6132
30.000000	89.140	166.2800
30.400000	89.102	166.0030
30.700001	89.073	165.7808
31.100000	89.033	165.4509
31.500000	88.992	165.0804
32.000000	88.938	164.5839
32.500000	88.885	164.0813
33.000000	88.842	163.5726
33.500000	88.806	163.0427
34.000000	88.776	162.5046
34.500000	88.747	161.9926
35.000000	88.723	161.5230
35.500000	88.702	161.0898
36.000000	88.681	160.6874
36.500000	88.658	160.3174
37.000000	88.631	159.9786
37.500000	88.601	159.6652
38.200001	88.555	159.2518
38.700001	88.519	158.9513
39.500000	88.455	158.4268
40.000000	88.410	158.0925
40.599998	88.357	157.7028
41.200001	88.309	157.3001
41.799999	88.262	156.8752
42.500000	88.209	156.3923
43.099998	88.168	155.9962
43.700001	88.128	155.5938
44.400002	88.079	155.1380
45.000000	88.034	154.7886
45.500000	87.999	154.5164
46.200001	87.950	154.1349
46.799999	87.907	153.8031
47.500000	87.856	153.4254
48.200001	87.806	153.0607
48.700001	87.772	152.7928
49.400002	87.725	152.3923
50.000000	87.678	152.0610
50.799999	87.616	151.6935
51.500000	87.568	151.3857
52.200001	87.517	151.0482
53.000000	87.450	150.7091
53.799999	87.392	150.4014
54.500000	87.343	150.0481
55.200001	87.282	149.6921
56.000000	87.220	149.3997
57.000000	87.172	148.8563
58.000000	87.079	148.2462
59.000000	87.001	148.0510
60.000000	86.961	147.6937
60.799999	86.904	147.3789
61.500000	86.855	147.1800
62.200001	86.807	146.9531
