* Measurement data measured by REW V5.20.9
* Source: Microphone (Conexant SmartAudio HD), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 26, 23 6:14:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Binary Chopin S2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.389	68.4269
20.600000	98.459	67.4486
20.900000	98.618	65.3728
21.200001	98.759	63.0943
21.400000	98.831	61.6454
21.799999	98.926	59.1678
22.000000	98.957	58.2321
22.400000	99.008	57.0040
22.700001	99.053	56.5148
23.000000	99.112	56.1925
23.299999	99.181	55.8489
23.600000	99.255	55.3623
24.000000	99.349	54.3907
24.299999	99.412	53.4336
24.700001	99.488	51.9578
25.000000	99.540	50.8042
25.400000	99.605	49.3307
25.799999	99.664	48.0326
26.200001	99.711	46.9496
26.500000	99.732	46.2658
26.900000	99.739	45.4874
27.200001	99.729	44.9718
27.600000	99.702	44.3354
28.000000	99.680	43.7037
28.500000	99.691	42.8067
29.000000	99.760	41.6528
29.500000	99.869	40.2137
30.000000	99.980	38.6423
30.400000	100.051	37.4355
30.700001	100.089	36.6016
31.100000	100.121	35.5734
31.500000	100.125	34.5951
32.000000	100.091	33.3965
32.500000	100.025	32.2701
33.000000	99.969	31.2935
33.500000	99.970	30.4299
34.000000	100.045	29.5197
34.500000	100.163	28.4427
35.000000	100.276	27.2350
35.500000	100.351	26.0339
36.000000	100.383	24.9331
36.500000	100.385	23.9285
37.000000	100.375	22.9712
37.500000	100.366	22.0333
38.200001	100.372	20.7490
38.700001	100.389	19.8498
39.500000	100.415	18.4333
40.000000	100.418	17.5682
40.599998	100.412	16.5514
41.200001	100.401	15.5466
41.799999	100.391	14.5573
42.500000	100.380	13.4489
43.099998	100.369	12.5456
43.700001	100.354	11.6649
44.400002	100.335	10.6341
45.000000	100.319	9.7354
45.500000	100.306	8.9850
46.200001	100.284	7.9631
46.799999	100.263	7.1321
47.500000	100.240	6.1912
48.200001	100.222	5.2365
48.700001	100.209	4.5440
49.400002	100.190	3.5917
50.000000	100.171	2.8087
50.799999	100.135	1.7887
51.500000	100.092	0.8982
52.200001	100.043	0.0373
53.000000	99.990	-0.8632
53.799999	99.949	-1.6875
54.500000	99.918	-2.4005
55.200001	99.888	-3.1529
56.000000	99.853	-4.0770
57.000000	99.808	-5.2546
58.000000	99.758	-6.3282
59.000000	99.699	-7.3029
60.000000	99.636	-8.2891
60.799999	99.585	-9.0915
61.500000	99.539	-9.7670
62.200001	99.491	-10.4125
63.000000	99.435	-11.1513
64.000000	99.364	-12.1051
65.000000	99.301	-13.0019
66.000000	99.254	-13.7725
67.000000	99.211	-14.5029
68.000000	99.157	-15.2945
69.000000	99.086	-16.1484
70.000000	99.006	-17.0055
71.000000	98.927	-17.8360
72.000000	98.852	-18.6509
73.000000	98.777	-19.4246
74.000000	98.703	-20.1179
75.000000	98.630	-20.7490
76.199997	98.541	-21.4794
77.500000	98.440	-22.2874
78.800003	98.332	-23.1383
80.000000	98.233	-23.9091
81.199997	98.141	-24.6183
82.500000	98.046	-25.3600
83.800003	97.951	-26.1327
85.000000	97.866	-26.8566
86.199997	97.780	-27.5169
87.500000	97.680	-28.1056
88.500000	97.596	-28.4981
90.000000	97.465	-29.0994
91.199997	97.358	-29.6342
92.500000	97.231	-30.2256
93.800003	97.088	-30.7905
95.000000	96.953	-31.3145
96.199997	96.826	-31.8634
97.500000	96.705	-32.4485
98.800003	96.598	-32.9752
100.000000	96.507	-33.4007
101.500000	96.382	-33.8472
103.000000	96.238	-34.2295
104.400002	96.107	-34.6264
106.000000	95.964	-35.1639
107.500000	95.819	-35.6295
109.000000	95.662	-35.9939
110.599998	95.490	-36.2814
112.000000	95.341	-36.4557
113.800003	95.151	-36.4735
115.000000	95.020	-36.2036
117.199997	94.754	-34.5993
118.000000	94.642	-33.7232
120.599998	94.298	-32.5526
122.000000	94.187	-33.6701
124.099998	94.075	-35.2088
125.000000	94.025	-35.3192
126.500000	93.928	-34.8772
128.000000	93.826	-34.0605
131.500000	93.682	-32.1151
132.000000	93.677	-31.8672
134.000000	93.694	-31.1690
136.000000	93.755	-31.1140
138.000000	93.820	-31.5700
140.000000	93.848	-32.2415
143.000000	93.802	-33.2562
145.000000	93.730	-33.7943
147.500000	93.623	-34.3745
150.000000	93.498	-34.9122
152.500000	93.363	-35.4468
155.000000	93.212	-36.1190
157.500000	92.990	-36.8357
160.000000	92.714	-37.2311
162.500000	92.458	-37.0757
165.000000	92.263	-36.7147
167.500000	92.111	-36.4088
170.000000	91.971	-36.1261
172.500000	91.827	-35.7768
175.000000	91.677	-35.4291
177.500000	91.520	-35.0998
180.000000	91.360	-34.7327
182.500000	91.205	-34.3173
185.000000	91.063	-33.8645
187.500000	90.938	-33.3888
