* Measurement data measured by REW V5.20.5
* Source: ヘッドセット (USB-C to 3.5mm Headphone Jack Ad, MICROPHONE (マス?), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023/06/19 12:58:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ PR2 form R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.124	30.3373
20.299999	109.147	29.4561
20.600000	109.167	28.6364
20.900000	109.186	27.8341
21.200001	109.200	27.0428
21.400000	109.211	26.5273
21.799999	109.231	25.5192
22.000000	109.240	25.0249
22.400000	109.256	24.0553
22.700001	109.266	23.3446
23.000000	109.275	22.6509
23.299999	109.283	21.9666
23.600000	109.291	21.2897
24.000000	109.302	20.4010
24.299999	109.312	19.7454
24.700001	109.323	18.8877
25.000000	109.329	18.2628
25.400000	109.335	17.4508
25.799999	109.341	16.6543
26.200001	109.346	15.8684
26.500000	109.348	15.2833
26.900000	109.345	14.5107
27.200001	109.337	13.9398
27.600000	109.323	13.1992
28.000000	109.308	12.4852
28.500000	109.288	11.6257
29.000000	109.269	10.7978
29.500000	109.250	9.9742
30.000000	109.230	9.1601
30.400000	109.213	8.5112
30.700001	109.198	8.0448
31.100000	109.178	7.4426
31.500000	109.159	6.8567
32.000000	109.137	6.1399
32.500000	109.112	5.4147
33.000000	109.082	4.7135
33.500000	109.055	4.0605
34.000000	109.033	3.4105
34.500000	109.007	2.7614
35.000000	108.976	2.1082
35.500000	108.937	1.5223
36.000000	108.904	1.0217
36.500000	108.885	0.5308
37.000000	108.872	-0.0468
37.500000	108.849	-0.7037
38.200001	108.788	-1.5613
38.700001	108.742	-2.0494
39.500000	108.686	-2.7946
40.000000	108.652	-3.3058
40.599998	108.606	-3.9172
41.200001	108.556	-4.5006
41.799999	108.504	-5.0627
42.500000	108.439	-5.6423
43.099998	108.393	-6.0610
43.700001	108.359	-6.5081
44.400002	108.318	-7.1252
45.000000	108.271	-7.6520
45.500000	108.228	-8.0359
46.200001	108.173	-8.5300
46.799999	108.130	-8.9529
47.500000	108.079	-9.4426
48.200001	108.028	-9.9457
48.700001	107.988	-10.2939
49.400002	107.928	-10.7313
50.000000	107.882	-11.0472
50.799999	107.829	-11.5055
51.500000	107.777	-11.9355
52.200001	107.722	-12.3297
53.000000	107.662	-12.7727
53.799999	107.596	-13.2007
54.500000	107.538	-13.5045
55.200001	107.493	-13.8118
56.000000	107.438	-14.2205
57.000000	107.362	-14.7087
58.000000	107.284	-15.1287
59.000000	107.212	-15.5273
60.000000	107.137	-15.9559
60.799999	107.074	-16.2511
61.500000	107.024	-16.4637
62.200001	106.978	-16.7173
63.000000	106.922	-17.0062
64.000000	106.853	-17.3168
65.000000	106.783	-17.6505
66.000000	106.711	-17.9323
67.000000	106.646	-18.2433
68.000000	106.569	-18.5247
69.000000	106.495	-18.7560
70.000000	106.423	-18.9929
71.000000	106.354	-19.2075
72.000000	106.285	-19.4495
73.000000	106.211	-19.6562
74.000000	106.144	-19.8387
75.000000	106.078	-20.0396
76.199997	105.999	-20.2615
77.500000	105.913	-20.4869
78.800003	105.833	-20.6932
80.000000	105.755	-20.8657
81.199997	105.687	-21.0145
82.500000	105.609	-21.2001
83.800003	105.530	-21.3481
85.000000	105.459	-21.4933
86.199997	105.388	-21.6177
87.500000	105.321	-21.7334
88.500000	105.262	-21.8408
90.000000	105.191	-21.9244
91.199997	105.118	-22.0697
92.500000	105.053	-22.0638
93.800003	104.981	-22.1758
95.000000	104.922	-22.1824
96.199997	104.869	-22.2668
97.500000	104.795	-22.3370
98.800003	104.742	-22.2825
100.000000	104.693	-22.4371
101.500000	104.608	-22.4249
103.000000	104.538	-22.4681
104.400002	104.475	-22.4550
106.000000	104.398	-22.4890
107.500000	104.333	-22.4771
109.000000	104.268	-22.4763
110.599998	104.201	-22.4688
112.000000	104.139	-22.4955
113.800003	104.064	-22.4291
115.000000	104.015	-22.3511
117.199997	103.920	-22.2410
118.000000	103.886	-22.2852
120.599998	103.817	-21.9115
122.000000	103.722	-22.1066
124.099998	103.645	-22.0595
125.000000	103.614	-22.0345
126.500000	103.561	-22.0277
128.000000	103.505	-22.0107
131.500000	103.391	-21.7238
132.000000	103.377	-21.6871
134.000000	103.311	-21.5988
136.000000	103.231	-21.3749
138.000000	103.180	-21.3527
140.000000	103.103	-21.1403
143.000000	103.007	-20.5255
145.000000	103.006	-20.8894
147.500000	102.887	-20.6412
150.000000	102.796	-20.5386
152.500000	102.749	-20.2931
155.000000	102.679	-20.0582
157.500000	102.608	-19.9543
160.000000	102.549	-19.7488
162.500000	102.483	-19.4700
165.000000	102.426	-19.3645
167.500000	102.355	-19.0852
170.000000	102.305	-18.9196
172.500000	102.253	-18.6591
175.000000	102.184	-18.3894
177.500000	102.156	-18.2136
180.000000	102.097	-18.0300
182.500000	102.047	-17.7900
185.000000	101.993	-17.5536
187.500000	101.950	-17.2920
190.000000	101.911	-17.0723
192.500000	101.853	-16.6119
195.000000	101.798	-16.2481
197.500000	101.771	-16.3243
200.000000	101.752	-16.3650
203.000000	101.700	-15.8177
206.000000	101.652	-15.4894
209.000000	101.627	-15.2609
212.000000	101.595	-15.2734
214.000000	101.544	-14.7643
218.000000	101.477	-14.3296
220.000000	101.439	-14.1332
224.000000	101.389	-13.7560
227.000000	101.357	-13.4895
230.000000	101.306	-13.2178
233.000000	101.287	-12.8788
236.000000	101.238	-12.5607
240.000000	101.197	-12.1208
243.000000	101.155	-11.7964
247.000000	101.120	-11.4669
250.000000	101.106	-11.2509
254.000000	101.054	-10.6920
258.000000	101.019	-10.3875
262.000000	100.999	-9.9685
265.000000	100.964	-9.5654
269.000000	100.930	-9.2728
272.000000	100.921	-9.0240
276.000000	100.883	-8.6080
280.000000	100.864	-8.2091
285.000000	100.827	-7.7750
290.000000	100.797	-7.3333
295.000000	100.769	-6.9653
300.000000	100.740	-6.5968
304.000000	100.715	-6.1696
307.000000	100.696	-5.9626
311.000000	100.679	-5.6711
315.000000	100.652	-5.3439
320.000000	100.620	-4.9828
325.000000	100.592	-4.6238
