* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 30, 2023 6:00:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.168114	-159.3583
20.600000	104.168655	-159.9434
20.900000	104.163696	-160.4340
21.200001	104.161942	-160.8987
21.400000	104.164474	-161.2070
21.799999	104.177612	-161.8469
22.000000	104.186615	-162.1846
22.400000	104.204788	-162.8904
22.700001	104.214653	-163.4300
23.000000	104.219696	-163.9614
23.299999	104.219933	-164.4731
23.600000	104.216423	-164.9604
24.000000	104.208344	-165.5739
24.299999	104.201683	-166.0110
24.700001	104.194832	-166.5680
25.000000	104.193169	-166.9706
25.400000	104.197495	-167.4978
25.799999	104.208588	-168.0330
26.200001	104.221573	-168.5898
26.500000	104.228294	-169.0176
26.900000	104.229118	-169.5764
27.200001	104.223236	-169.9673
27.600000	104.210426	-170.4348
28.000000	104.197670	-170.8526
28.500000	104.187790	-171.3622
29.000000	104.182426	-171.9166
29.500000	104.175270	-172.5093
30.000000	104.165009	-173.0848
30.400000	104.157440	-173.5117
30.700001	104.153366	-173.8166
31.100000	104.149521	-174.2162
31.500000	104.145111	-174.6170
32.000000	104.135773	-175.1134
32.500000	104.123047	-175.5882
33.000000	104.111084	-176.0435
33.500000	104.101730	-176.5003
34.000000	104.092514	-176.9722
34.500000	104.080101	-177.4475
35.000000	104.063995	-177.9028
35.500000	104.046562	-178.3279
36.000000	104.030235	-178.7348
36.500000	104.015251	-179.1418
37.000000	104.000137	-179.5549
37.500000	103.984100	-179.9646
38.200001	103.962311	179.4857
38.700001	103.948715	179.1060
39.500000	103.927628	178.5032
40.000000	103.912926	178.1365
40.599998	103.894608	177.7134
41.200001	103.876060	177.2991
41.799999	103.855682	176.8903
42.500000	103.829910	176.4289
43.099998	103.808441	176.0319
43.700001	103.786110	175.6160
44.400002	103.757195	175.1415
45.000000	103.735153	174.7745
45.500000	103.720764	174.4780
46.200001	103.699036	174.0453
46.799999	103.672691	173.6841
47.500000	103.640640	173.3081
48.200001	103.617149	172.9286
48.700001	103.602051	172.6296
49.400002	103.573692	172.2167
50.000000	103.543320	171.9164
50.799999	103.505989	171.5604
51.500000	103.479843	171.1981
52.200001	103.452141	170.7963
53.000000	103.418533	170.4071
53.799999	103.388603	170.0511
54.500000	103.354385	169.7000
55.200001	103.319183	169.3947
56.000000	103.301392	169.0641
57.000000	103.259720	168.6251
58.000000	103.209366	168.3537
59.000000	103.173111	167.2805
60.000000	103.037109	166.3772
