* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 28, 2023 5:46:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.421135	-169.1353
20.600000	107.422333	-169.9645
20.900000	107.417664	-170.6939
21.200001	107.413445	-171.4144
21.400000	107.411911	-171.8997
21.799999	107.411125	-172.8914
22.000000	107.411057	-173.3964
22.400000	107.409683	-174.4090
22.700001	107.406685	-175.1518
23.000000	107.402313	-175.8670
23.299999	107.397507	-176.5497
23.600000	107.393219	-177.2028
24.000000	107.389114	-178.0436
24.299999	107.386650	-178.6660
24.700001	107.382133	-179.4986
25.000000	107.376167	179.8738
25.400000	107.363266	179.0403
25.799999	107.344963	178.2231
26.200001	107.323158	177.4270
26.500000	107.305832	176.8391
26.900000	107.282234	176.0549
27.200001	107.264015	175.4604
27.600000	107.238396	174.6606
28.000000	107.211563	173.8659
28.500000	107.179665	172.9074
29.000000	107.155243	171.9991
29.500000	107.139801	171.1218
30.000000	107.127235	170.2536
30.400000	107.113846	169.5697
30.700001	107.100388	169.0712
31.100000	107.078438	168.4318
31.500000	107.054153	167.8149
32.000000	107.023262	167.0486
32.500000	106.991859	166.2636
33.000000	106.958679	165.4684
33.500000	106.924622	164.6924
34.000000	106.892586	163.9527
34.500000	106.863548	163.2399
35.000000	106.834862	162.5359
35.500000	106.803253	161.8362
36.000000	106.768188	161.1461
36.500000	106.731819	160.4677
37.000000	106.696205	159.7964
37.500000	106.661758	159.1301
38.200001	106.614273	158.2171
38.700001	106.580376	157.5852
39.500000	106.525360	156.5962
40.000000	106.489662	155.9837
40.599998	106.445946	155.2584
41.200001	106.402985	154.5500
41.799999	106.361115	153.8584
