* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2023 5:25:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (2-pin) L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.985352	-170.4402
20.600000	103.983818	-171.0821
20.900000	103.973801	-171.6743
21.200001	103.960251	-172.2671
21.400000	103.950287	-172.6592
21.799999	103.929749	-173.4176
22.000000	103.919838	-173.7755
22.400000	103.901978	-174.4383
22.700001	103.891205	-174.8901
23.000000	103.882790	-175.3166
23.299999	103.875931	-175.7367
23.600000	103.869041	-176.1696
24.000000	103.856483	-176.7886
24.299999	103.842834	-177.2849
24.700001	103.818863	-177.9717
25.000000	103.798393	-178.4863
25.400000	103.771439	-179.1485
25.799999	103.748199	-179.7710
26.200001	103.728745	179.6446
26.500000	103.714706	179.2266
26.900000	103.693153	178.6927
27.200001	103.673279	178.3091
27.600000	103.642006	177.8172
28.000000	103.608032	177.3383
28.500000	103.567856	176.7313
29.000000	103.534729	176.0894
29.500000	103.507973	175.4186
30.000000	103.483566	174.7565
30.400000	103.462875	174.2555
30.700001	103.445251	173.9008
31.100000	103.417465	173.4539
31.500000	103.384262	173.0329
32.000000	103.338005	172.5381
32.500000	103.293884	172.0644
33.000000	103.258644	171.5781
33.500000	103.230713	171.0547
34.000000	103.201660	170.5191
34.500000	103.166534	170.0328
35.000000	103.129044	169.6264
35.500000	103.094566	169.2569
36.000000	103.061104	168.8538
36.500000	103.021820	168.4043
37.000000	102.975929	167.9631
37.500000	102.931488	167.5746
38.200001	102.882828	167.0704
38.700001	102.851410	166.6827
39.500000	102.788864	166.0447
40.000000	102.746056	165.6720
40.599998	102.699463	165.2353
41.200001	102.658485	164.7974
41.799999	102.621002	164.3729
42.500000	102.575310	163.8823
43.099998	102.523582	163.4628
43.700001	102.461098	163.0862
44.400002	102.395782	162.6653
45.000000	102.348053	162.2274
45.500000	102.302246	161.8562
46.200001	102.230705	161.5369
46.799999	102.184151	161.4696
47.500000	102.147018	161.3857
48.200001	102.100792	161.2023
48.700001	102.067093	161.0583
49.400002	102.040794	160.7558
50.000000	102.025269	160.3167
50.799999	101.981064	159.6727
51.500000	101.931885	159.2365
52.200001	101.884346	158.8151
53.000000	101.817703	158.3202
53.799999	101.753113	157.9320
54.500000	101.708878	157.5989
55.200001	101.656487	157.2422
56.000000	101.584694	156.9283
57.000000	101.511177	156.5702
58.000000	101.432793	156.1218
59.000000	101.349403	155.8762
60.000000	101.289162	155.6162
60.799999	101.227783	155.2905
61.500000	101.168846	155.0480
62.200001	101.119865	154.8177
63.000000	101.065582	154.5409
64.000000	100.998962	154.3000
65.000000	100.940437	154.0198
66.000000	100.866455	153.7037
67.000000	100.799057	153.4314
68.000000	100.735748	153.1396
69.000000	100.673004	152.8461
70.000000	100.603188	152.5580
71.000000	100.540283	152.3557
72.000000	100.474106	152.1010
73.000000	100.396973	151.9341
74.000000	100.348206	151.6836
75.000000	100.283936	151.3275
76.199997	100.200958	151.2247
77.500000	100.119682	151.0409
78.800003	100.031334	150.6943
80.000000	99.946320	150.4745
81.199997	99.881447	150.3502
82.500000	99.796806	150.1061
83.800003	99.716942	149.9017
85.000000	99.642113	149.7293
86.199997	99.570267	149.5737
87.500000	99.496765	149.3936
88.500000	99.434181	149.2831
90.000000	99.341293	149.1172
91.199997	99.265862	148.9958
92.500000	99.195580	148.8587
93.800003	99.116798	148.7627
95.000000	99.050102	148.6572
96.199997	98.981934	148.5386
97.500000	98.910080	148.4773
98.800003	98.835968	148.3758
100.000000	98.766876	148.3154
101.500000	98.689354	148.2250
103.000000	98.609779	148.1444
104.400002	98.537415	148.1134
106.000000	98.455124	148.0412
107.500000	98.382332	147.9954
109.000000	98.304039	148.0025
110.599998	98.226471	147.9552
112.000000	98.163559	147.9258
113.800003	98.078133	147.9036
115.000000	98.025826	147.8387
117.199997	97.927391	147.8247
118.000000	97.885117	147.8186
120.599998	97.767563	147.7142
122.000000	97.712982	147.7875
124.099998	97.613213	147.7620
125.000000	97.571976	147.7530
126.500000	97.507072	147.7802
128.000000	97.442284	147.7712
131.500000	97.295029	147.8414
132.000000	97.274689	147.8533
134.000000	97.192848	147.9048
136.000000	97.109772	147.9114
138.000000	97.031639	148.0150
140.000000	96.948555	148.0643
143.000000	96.833435	148.1749
145.000000	96.758118	148.2485
147.500000	96.666779	148.3880
150.000000	96.577415	148.4856
152.500000	96.487350	148.6356
155.000000	96.401184	148.7595
157.500000	96.318764	148.9102
160.000000	96.242340	149.0119
162.500000	96.155449	149.1844
165.000000	96.079147	149.3341
167.500000	95.996277	149.4773
170.000000	95.919373	149.6596
172.500000	95.840370	149.7846
