* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 25, 2023 4:52:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.552101	-155.5863
20.600000	99.563766	-156.1114
20.900000	99.570793	-156.5911
21.200001	99.577980	-157.0795
21.400000	99.583298	-157.4100
21.799999	99.594955	-158.0619
22.000000	99.601410	-158.3725
22.400000	99.616623	-158.9496
22.700001	99.631088	-159.3500
23.000000	99.647606	-159.7447
23.299999	99.663811	-160.1572
23.600000	99.676117	-160.6007
24.000000	99.681427	-161.2251
24.299999	99.677811	-161.6827
24.700001	99.671097	-162.2277
25.000000	99.673134	-162.5815
25.400000	99.692841	-163.0201
25.799999	99.727341	-163.4957
26.200001	99.758911	-164.0419
26.500000	99.769409	-164.4688
26.900000	99.761169	-164.9792
27.200001	99.743019	-165.2751
27.600000	99.718613	-165.5593
28.000000	99.707870	-165.8033
28.500000	99.715919	-166.2302
29.000000	99.725273	-166.8517
29.500000	99.717514	-167.5178
30.000000	99.700493	-168.0371
30.400000	99.693970	-168.3309
30.700001	99.697014	-168.5237
31.100000	99.708801	-168.8063
31.500000	99.721062	-169.1528
32.000000	99.726410	-169.6491
32.500000	99.719467	-170.1394
33.000000	99.708176	-170.5699
33.500000	99.699860	-170.9442
34.000000	99.696892	-171.3025
34.500000	99.696793	-171.6859
35.000000	99.695587	-172.1058
35.500000	99.691483	-172.5330
36.000000	99.688507	-172.9296
36.500000	99.690880	-173.2951
37.000000	99.694939	-173.6573
37.500000	99.691269	-174.0178
38.200001	99.669327	-174.4589
38.700001	99.652802	-174.7416
39.500000	99.635773	-175.3017
40.000000	99.622375	-175.7084
40.599998	99.604507	-176.1146
41.200001	99.598877	-176.3990
41.799999	99.605980	-176.6732
42.500000	99.608597	-177.0839
43.099998	99.597939	-177.4685
43.700001	99.584671	-177.8201
44.400002	99.576889	-178.1752
45.000000	99.572670	-178.4739
45.500000	99.562096	-178.7495
46.200001	99.532822	-179.1687
46.799999	99.508087	-179.5298
47.500000	99.496582	-179.9290
48.200001	99.497154	179.7482
48.700001	99.494980	179.5667
49.400002	99.476517	179.2909
50.000000	99.453758	178.9965
50.799999	99.456673	178.4863
51.500000	99.469215	177.9439
52.200001	99.431534	177.7478
53.000000	99.395935	177.9155
53.799999	99.375969	177.1990
54.500000	99.304176	176.4948
55.200001	99.348053	176.7324
56.000000	99.470322	176.4749
57.000000	99.137520	176.3268
58.000000	99.322815	175.8786
59.000000	99.583145	168.7715
60.000000	99.005981	169.3861
60.799999	99.231827	174.7250
61.500000	99.427238	174.9654
62.200001	99.162933	173.9294
63.000000	99.008041	174.0344
64.000000	99.181671	173.0896
65.000000	99.104797	173.0188
66.000000	99.066322	172.9914
67.000000	99.003532	172.1991
68.000000	99.021873	172.1086
69.000000	99.002487	171.9186
70.000000	98.940109	171.6347
71.000000	98.922012	171.2335
72.000000	98.906822	170.9659
73.000000	98.871475	170.8199
74.000000	98.846252	170.5855
75.000000	98.820633	170.2758
76.199997	98.783005	169.9343
77.500000	98.751213	169.5703
78.800003	98.710236	169.1886
80.000000	98.667206	168.9026
81.199997	98.644188	168.6426
82.500000	98.620605	168.3145
83.800003	98.564507	168.0367
85.000000	98.525986	167.7920
86.199997	98.485336	167.6057
87.500000	98.454445	167.3804
88.500000	98.429039	167.1198
90.000000	98.382881	166.6954
91.199997	98.337883	166.4771
92.500000	98.301064	166.2206
93.800003	98.251030	165.9572
95.000000	98.215401	165.7316
96.199997	98.167305	165.4733
97.500000	98.137833	165.2267
98.800003	98.081718	164.9955
100.000000	98.050217	164.9018
101.500000	97.989746	164.5113
103.000000	97.931114	164.3085
104.400002	97.883987	164.1534
106.000000	97.814896	163.9572
107.500000	97.748436	163.7090
109.000000	97.691589	163.5756
110.599998	97.597893	163.4483
112.000000	97.537033	163.3099
113.800003	97.439972	163.4438
115.000000	97.368500	163.4156
117.199997	97.344971	163.5754
118.000000	97.270638	163.9128
120.599998	97.262314	164.6545
122.000000	97.280533	164.9339
124.099998	97.330536	164.8314
125.000000	97.352402	164.7031
126.500000	97.353828	164.3830
128.000000	97.361877	164.0902
131.500000	97.307709	163.3108
132.000000	97.298935	163.2307
134.000000	97.253693	162.8459
136.000000	97.200195	162.5835
138.000000	97.150856	162.3112
140.000000	97.089218	162.0723
143.000000	97.008118	161.7281
145.000000	96.952850	161.5897
147.500000	96.873695	161.3968
150.000000	96.806580	161.1906
152.500000	96.737846	161.0606
155.000000	96.665451	160.9145
157.500000	96.601349	160.8193
160.000000	96.526428	160.7614
162.500000	96.460541	160.6797
165.000000	96.403961	160.6187
167.500000	96.346344	160.5894
170.000000	96.280441	160.4850
172.500000	96.222755	160.4617
175.000000	96.160187	160.3955
177.500000	96.097855	160.3257
180.000000	96.040718	160.3256
182.500000	95.981262	160.2619
185.000000	95.921181	160.2718
187.500000	95.864960	160.2800
190.000000	95.799232	160.2961
192.500000	95.744881	160.2653
195.000000	95.690536	160.2878
197.500000	95.631187	160.3361
200.000000	95.579681	160.3420
203.000000	95.503578	160.3903
206.000000	95.440552	160.3921
209.000000	95.367210	160.4493
212.000000	95.302277	160.5339
214.000000	95.247871	160.6191
218.000000	95.154785	160.7449
220.000000	95.125160	160.9670
224.000000	95.033203	161.2874
227.000000	94.995857	161.5623
230.000000	94.973618	161.7257
233.000000	94.960297	161.7192
236.000000	94.904373	161.5984
240.000000	94.834229	161.9163
243.000000	94.812248	161.7526
247.000000	94.732849	161.9698
250.000000	94.682274	161.9297
254.000000	94.610138	162.0465
258.000000	94.542938	162.2763
262.000000	94.473274	162.2344
265.000000	94.425575	162.2108
269.000000	94.365280	162.6628
272.000000	94.318787	162.6679
276.000000	94.243698	162.8940
280.000000	94.188843	163.0995
285.000000	94.113617	163.3270
290.000000	94.036102	163.5962
295.000000	93.962410	163.9003
300.000000	93.876602	164.1732
304.000000	93.842972	164.3655
307.000000	93.800034	164.4769
311.000000	93.734879	164.7426
315.000000	93.682526	164.9541
320.000000	93.621841	165.2596
