* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2023 4:11:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (null EQ) R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.958534	-160.5377
20.600000	100.957443	-161.3065
20.900000	100.963356	-161.9558
21.200001	100.978111	-162.5901
21.400000	100.990570	-163.0183
21.799999	101.010788	-163.8792
22.000000	101.014267	-164.2966
22.400000	101.004295	-165.0625
22.700001	100.984467	-165.5528
23.000000	100.960037	-165.9858
23.299999	100.936386	-166.4050
23.600000	100.916183	-166.8668
24.000000	100.892311	-167.6234
24.299999	100.872505	-168.2990
24.700001	100.840591	-169.2774
25.000000	100.815559	-169.9991
25.400000	100.789452	-170.8739
25.799999	100.779442	-171.6399
26.200001	100.782509	-172.3455
26.500000	100.785423	-172.8619
26.900000	100.778702	-173.5292
27.200001	100.762421	-173.9939
27.600000	100.730453	-174.5437
28.000000	100.697372	-175.0334
28.500000	100.666824	-175.6584
29.000000	100.643829	-176.3877
29.500000	100.614594	-177.1799
30.000000	100.576065	-177.9086
30.400000	100.545380	-178.4090
30.700001	100.525841	-178.7548
31.100000	100.504379	-179.2191
31.500000	100.483566	-179.7188
32.000000	100.450920	179.6193
32.500000	100.410034	178.9795
33.000000	100.368744	178.4106
33.500000	100.334106	177.8963
34.000000	100.305283	177.3826
34.500000	100.275452	176.8366
35.000000	100.239021	176.2740
35.500000	100.197372	175.7364
36.000000	100.157570	175.2448
36.500000	100.124329	174.7768
37.000000	100.093864	174.2968
37.500000	100.058052	173.8050
38.200001	99.996506	173.1607
38.700001	99.953163	172.7377
39.500000	99.891113	172.0344
40.000000	99.849480	171.6002
