* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2023 7:00:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.668266	-154.9908
20.600000	99.688202	-155.7895
20.900000	99.697380	-156.5099
21.200001	99.702469	-157.2213
21.400000	99.705238	-157.6941
21.799999	99.710579	-158.6406
22.000000	99.713104	-159.1134
22.400000	99.716736	-160.0482
22.700001	99.717346	-160.7274
23.000000	99.716110	-161.3789
23.299999	99.713524	-162.0004
23.600000	99.710258	-162.5960
24.000000	99.705429	-163.3645
24.299999	99.701355	-163.9319
24.700001	99.694969	-164.6837
25.000000	99.689545	-165.2438
25.400000	99.682144	-165.9834
25.799999	99.675217	-166.7157
26.200001	99.668198	-167.4435
26.500000	99.661911	-167.9852
26.900000	99.651192	-168.6933
27.200001	99.641594	-169.2066
27.600000	99.628403	-169.8625
28.000000	99.616714	-170.4923
28.500000	99.604630	-171.2660
29.000000	99.591232	-172.0389
29.500000	99.572212	-172.7942
30.000000	99.548103	-173.5056
30.400000	99.527702	-174.0429
30.700001	99.512688	-174.4349
31.100000	99.493080	-174.9511
31.500000	99.473648	-175.4603
32.000000	99.450714	-176.0805
32.500000	99.431892	-176.6908
33.000000	99.416061	-177.3265
33.500000	99.395859	-178.0092
34.000000	99.363503	-178.7032
34.500000	99.320297	-179.3391
35.000000	99.277344	-179.8796
35.500000	99.245026	179.6434
36.000000	99.223312	179.1643
36.500000	99.203720	178.6501
37.000000	99.178612	178.1181
37.500000	99.146713	177.5981
38.200001	99.096214	176.9044
38.700001	99.058670	176.4278
39.500000	98.999512	175.7067
40.000000	98.966583	175.2755
40.599998	98.931709	174.7430
41.200001	98.896461	174.1907
41.799999	98.857605	173.6740
42.500000	98.812485	173.1721
43.099998	98.773750	172.7770
43.700001	98.722878	172.3487
44.400002	98.642365	171.8439
45.000000	98.576622	171.4534
45.500000	98.539787	171.1198
46.200001	98.507248	170.5898
46.799999	98.474937	170.1676
47.500000	98.429688	169.8286
48.200001	98.388214	169.5087
48.700001	98.354790	169.2128
49.400002	98.300690	168.8490
50.000000	98.269310	168.6806
50.799999	98.254120	168.4159
51.500000	98.217323	167.9760
52.200001	98.148132	167.5401
53.000000	98.096169	167.2278
53.799999	98.101730	166.8856
54.500000	98.089272	166.3700
55.200001	98.012306	165.8560
56.000000	97.930878	165.5569
57.000000	97.937767	164.9138
58.000000	97.819397	164.7535
59.000000	97.765739	165.9595
60.000000	97.798309	164.8449
60.799999	97.653061	163.2955
61.500000	97.564102	162.9366
62.200001	97.575783	162.8666
63.000000	97.552971	162.5654
64.000000	97.446121	162.2628
65.000000	97.377792	161.8304
66.000000	97.335411	161.5417
67.000000	97.283348	161.3204
68.000000	97.205208	161.0332
69.000000	97.149055	160.6143
70.000000	97.089394	160.2662
71.000000	97.031364	160.0859
72.000000	96.971703	159.8818
73.000000	96.918159	159.6124
74.000000	96.859970	159.2772
75.000000	96.798607	159.0220
76.199997	96.729599	158.7899
77.500000	96.651413	158.4871
78.800003	96.572769	158.2266
80.000000	96.513123	158.0295
81.199997	96.445572	157.7924
82.500000	96.379089	157.5564
83.800003	96.307419	157.3522
85.000000	96.232185	157.1939
86.199997	96.164185	156.9824
87.500000	96.093697	156.8237
88.500000	96.044502	156.7105
90.000000	95.962296	156.4785
91.199997	95.906303	156.3744
92.500000	95.844002	156.2539
93.800003	95.774551	156.1371
95.000000	95.710190	156.0126
96.199997	95.651192	155.9159
97.500000	95.589546	155.7962
98.800003	95.520432	155.6921
100.000000	95.465416	155.6874
101.500000	95.399132	155.5616
103.000000	95.323433	155.5122
104.400002	95.258675	155.4391
106.000000	95.193275	155.4004
107.500000	95.119057	155.3223
109.000000	95.067123	155.2926
110.599998	94.988144	155.2740
112.000000	94.933784	155.3025
113.800003	94.861420	155.2888
115.000000	94.813873	155.3340
117.199997	94.736710	155.3465
118.000000	94.708824	155.2928
120.599998	94.666817	155.3899
122.000000	94.574921	155.5012
124.099998	94.537025	155.3745
125.000000	94.503693	155.4182
126.500000	94.461990	155.4272
128.000000	94.422424	155.3755
131.500000	94.313293	155.3675
132.000000	94.298828	155.3745
134.000000	94.221672	155.2560
136.000000	94.187546	155.2906
138.000000	94.113869	155.3301
140.000000	94.061127	155.3457
143.000000	93.979660	155.3983
145.000000	93.919327	155.4436
147.500000	93.859329	155.4391
150.000000	93.787575	155.3784
152.500000	93.716171	155.5021
155.000000	93.660934	155.4560
157.500000	93.598846	155.5334
160.000000	93.539383	155.5996
162.500000	93.471390	155.6707
165.000000	93.416840	155.7087
167.500000	93.363220	155.8089
170.000000	93.305199	155.8846
172.500000	93.254593	155.8730
175.000000	93.200462	155.9761
177.500000	93.146576	156.0207
180.000000	93.094994	156.0725
182.500000	93.038803	156.0966
185.000000	92.993042	156.1622
187.500000	92.935944	156.2632
190.000000	92.890923	156.2954
192.500000	92.834335	156.4302
195.000000	92.787506	156.4946
197.500000	92.731529	156.5773
200.000000	92.682877	156.6763
203.000000	92.629128	156.7759
206.000000	92.574120	156.9049
209.000000	92.518547	157.0058
212.000000	92.462914	157.1487
214.000000	92.426895	157.2379
218.000000	92.357590	157.3723
220.000000	92.328445	157.4780
224.000000	92.259659	157.6696
227.000000	92.213699	157.8210
230.000000	92.162903	157.9638
233.000000	92.119881	158.1085
236.000000	92.075256	158.2186
240.000000	92.015884	158.4127
243.000000	91.973671	158.5630
247.000000	91.917252	158.7343
250.000000	91.878922	158.8828
254.000000	91.825333	159.0918
258.000000	91.774338	159.2306
262.000000	91.730209	159.4496
265.000000	91.690353	159.5933
269.000000	91.637505	159.7343
272.000000	91.597939	159.8651
276.000000	91.550217	160.1012
280.000000	91.501953	160.2875
285.000000	91.443367	160.5466
290.000000	91.387901	160.8121
295.000000	91.338547	161.0534
300.000000	91.284668	161.3194
304.000000	91.247131	161.5353
307.000000	91.214706	161.6516
311.000000	91.175888	161.8676
315.000000	91.141525	162.0671
320.000000	91.096245	162.3041
325.000000	91.054131	162.5310
330.000000	91.006607	162.7711
335.000000	90.963982	163.0133
340.000000	90.921005	163.2756
345.000000	90.879547	163.4848
350.000000	90.842598	163.7479
355.000000	90.801460	163.9819
360.000000	90.760162	164.2244
365.000000	90.728348	164.4570
370.000000	90.689880	164.7245
375.000000	90.657990	164.9729
382.000000	90.604256	165.2954
387.000000	90.575638	165.5518
395.000000	90.519302	165.9124
400.000000	90.490242	166.1603
406.000000	90.452164	166.4193
412.000000	90.413971	166.7332
418.000000	90.376358	167.0121
425.000000	90.333572	167.3518
431.000000	90.297493	167.6078
437.000000	90.269203	167.8940
444.000000	90.235443	168.2150
450.000000	90.202209	168.5041
455.000000	90.172333	168.7103
462.000000	90.140747	169.0921
468.000000	90.108864	169.3588
475.000000	90.078453	169.6749
482.000000	90.047394	169.9930
487.000000	90.022339	170.2262
494.000000	89.997955	170.5633
500.000000	89.967880	170.8260
508.000000	89.934029	171.1973
515.000000	89.905014	171.5174
522.000000	89.877319	171.8349
530.000000	89.841423	172.2404
538.000000	89.811562	172.5727
545.000000	89.787262	172.9417
552.000000	89.759514	173.2586
560.000000	89.731827	173.6424
570.000000	89.696594	174.1459
580.000000	89.665787	174.5857
590.000000	89.636612	175.0831
600.000000	89.603401	175.5539
608.000000	89.577148	175.9629
615.000000	89.557388	176.2849
622.000000	89.542778	176.6426
630.000000	89.518715	177.0687
640.000000	89.496170	177.5762
650.000000	89.469048	178.0747
660.000000	89.458008	178.6263
670.000000	89.435974	179.1408
680.000000	89.423073	179.6489
690.000000	89.413193	-179.7942
700.000000	89.400246	-179.2678
710.000000	89.390617	-178.7784
720.000000	89.382538	-178.2799
730.000000	89.374084	-177.7419
740.000000	89.364761	-177.2282
750.000000	89.361877	-176.7326
762.000000	89.355545	-176.0920
775.000000	89.356255	-175.4215
788.000000	89.355095	-174.7224
800.000000	89.356796	-174.0927
812.000000	89.363747	-173.4540
825.000000	89.369957	-172.6846
838.000000	89.386398	-171.9760
850.000000	89.405304	-171.3165
862.000000	89.428871	-170.6278
875.000000	89.454742	-169.8763
885.000000	89.482201	-169.3342
900.000000	89.528717	-168.5039
912.000000	89.569496	-167.8735
925.000000	89.612694	-167.2185
938.000000	89.667877	-166.5498
950.000000	89.720749	-165.9611
962.000000	89.774811	-165.3841
975.000000	89.835640	-164.7824
988.000000	89.899567	-164.2361
1000.000000	89.962479	-163.6940
1015.000000	90.046516	-163.0539
1030.000000	90.134422	-162.5172
1044.000000	90.219803	-162.0072
1060.000000	90.314331	-161.4710
1075.000000	90.403450	-160.9981
1090.000000	90.488953	-160.5701
