* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 13, 2023 5:38:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.281502	-95.4533
20.600000	85.414131	-96.1425
20.900000	85.533379	-96.7633
21.200001	85.631454	-97.3003
21.400000	85.684319	-97.5573
21.799999	85.778656	-97.7478
22.000000	85.832115	-97.6944
22.400000	85.973503	-97.4647
22.700001	86.114868	-97.4313
23.000000	86.271820	-97.6993
23.299999	86.421623	-98.3296
23.600000	86.543633	-99.2609
24.000000	86.649193	-100.6997
24.299999	86.696762	-101.7152
24.700001	86.751114	-102.8064
25.000000	86.805176	-103.4454
25.400000	86.900345	-104.1924
25.799999	86.997635	-104.9409
26.200001	87.067314	-105.6426
26.500000	87.098877	-106.0372
26.900000	87.138748	-106.3061
27.200001	87.190643	-106.3552
27.600000	87.310974	-106.4332
28.000000	87.479996	-106.7611
28.500000	87.701241	-107.6331
29.000000	87.869759	-108.6879
29.500000	87.978409	-109.4849
30.000000	88.068176	-109.8833
30.400000	88.150108	-110.0677
30.700001	88.219147	-110.2496
31.100000	88.313171	-110.6486
31.500000	88.397316	-111.2391
32.000000	88.479378	-112.1219
32.500000	88.543411	-112.9626
33.000000	88.610435	-113.6258
33.500000	88.693344	-114.1359
34.000000	88.783844	-114.5929
34.500000	88.864677	-115.0276
35.000000	88.933548	-115.3967
35.500000	89.006912	-115.7148
36.000000	89.095810	-116.1115
36.500000	89.187843	-116.6807
37.000000	89.264381	-117.3290
37.500000	89.329277	-117.8737
38.200001	89.442780	-118.4316
38.700001	89.541969	-118.8886
39.500000	89.662163	-119.8205
40.000000	89.703377	-120.3122
40.599998	89.754715	-120.7570
41.200001	89.820450	-121.2591
41.799999	89.878273	-121.8626
42.500000	89.936836	-122.4360
43.099998	90.012238	-122.8090
43.700001	90.102745	-123.2960
44.400002	90.175293	-123.9627
45.000000	90.217987	-124.3728
45.500000	90.273033	-124.6541
46.200001	90.376022	-125.2876
46.799999	90.436409	-126.0082
47.500000	90.467270	-126.5276
48.200001	90.531067	-126.6664
48.700001	90.601524	-126.8888
49.400002	90.667778	-127.5175
50.000000	90.686966	-128.0217
50.799999	90.742271	-128.4931
51.500000	90.822929	-129.0100
52.200001	90.883827	-129.4652
53.000000	90.961197	-129.7142
53.799999	91.054276	-130.1984
54.500000	91.092621	-130.8133
55.200001	91.112877	-131.2538
56.000000	91.165291	-131.7030
57.000000	91.223511	-132.4892
58.000000	91.263107	-133.1324
59.000000	91.332870	-133.4553
60.000000	91.430580	-133.7724
60.799999	91.465683	-134.2886
61.500000	91.462975	-134.7014
62.200001	91.483086	-135.0261
63.000000	91.537376	-135.4669
64.000000	91.594894	-135.9325
65.000000	91.652878	-136.3357
66.000000	91.695786	-136.8916
67.000000	91.741135	-137.3297
68.000000	91.788109	-137.7630
69.000000	91.818283	-138.1810
70.000000	91.862022	-138.5901
71.000000	91.910187	-139.0040
72.000000	91.946571	-139.3586
73.000000	91.982643	-139.7545
74.000000	92.014061	-140.2105
75.000000	92.045792	-140.5507
76.199997	92.087936	-140.9229
77.500000	92.127411	-141.3766
78.800003	92.155579	-141.8583
80.000000	92.218033	-142.3094
81.199997	92.252029	-142.8328
82.500000	92.277954	-143.0666
83.800003	92.305122	-143.4731
85.000000	92.351448	-143.8293
86.199997	92.378845	-144.2133
87.500000	92.405243	-144.5343
88.500000	92.427238	-144.8630
90.000000	92.461349	-145.2737
91.199997	92.483032	-145.5734
92.500000	92.515732	-145.9100
93.800003	92.535675	-146.2712
95.000000	92.566010	-146.5128
96.199997	92.589394	-146.8527
97.500000	92.604813	-147.1093
98.800003	92.640404	-147.4208
100.000000	92.656837	-147.7260
101.500000	92.686340	-148.0854
103.000000	92.709908	-148.3664
104.400002	92.732491	-148.6542
106.000000	92.754753	-148.9895
107.500000	92.774910	-149.2941
109.000000	92.793930	-149.5837
110.599998	92.819725	-149.8864
112.000000	92.836357	-150.1169
113.800003	92.862701	-150.4883
115.000000	92.870110	-150.6272
117.199997	92.897064	-151.0565
118.000000	92.923996	-151.1558
120.599998	92.911438	-151.3448
122.000000	92.953804	-151.9406
124.099998	92.977592	-152.1727
125.000000	92.978462	-152.3084
126.500000	93.003670	-152.5398
128.000000	93.012627	-152.7374
131.500000	93.042244	-153.1971
132.000000	93.046692	-153.2552
134.000000	93.062286	-153.5790
136.000000	93.080704	-153.8134
138.000000	93.087357	-154.0901
140.000000	93.105713	-154.2839
143.000000	93.112106	-154.6427
145.000000	93.131241	-154.9325
147.500000	93.143494	-155.1708
150.000000	93.147224	-155.4147
152.500000	93.152351	-155.7699
155.000000	93.157631	-156.0043
157.500000	93.156921	-156.2719
160.000000	93.142143	-156.4884
162.500000	93.118912	-156.6571
165.000000	93.092392	-156.6332
167.500000	93.083755	-156.3986
170.000000	93.114883	-156.1276
172.500000	93.170128	-155.9776
175.000000	93.238968	-156.0634
177.500000	93.294426	-156.3149
180.000000	93.335892	-156.5231
182.500000	93.356979	-156.8467
185.000000	93.380890	-157.1066
187.500000	93.397827	-157.3031
190.000000	93.414246	-157.5121
192.500000	93.423218	-157.7969
195.000000	93.436554	-157.9452
197.500000	93.442505	-158.0756
200.000000	93.457458	-158.2666
203.000000	93.469826	-158.4151
206.000000	93.478607	-158.6039
209.000000	93.491882	-158.7676
212.000000	93.498451	-158.9417
214.000000	93.507477	-159.0286
218.000000	93.516174	-159.2492
220.000000	93.527481	-159.3333
224.000000	93.529907	-159.5414
227.000000	93.545639	-159.6823
230.000000	93.552063	-159.7936
233.000000	93.557465	-159.9332
236.000000	93.564735	-160.0411
240.000000	93.566986	-159.9831
243.000000	93.585167	-160.3348
247.000000	93.587105	-160.4895
250.000000	93.591888	-160.5959
254.000000	93.594063	-160.7331
258.000000	93.600739	-160.8988
262.000000	93.607162	-160.9963
265.000000	93.609062	-161.1221
269.000000	93.609299	-161.2340
272.000000	93.618538	-161.3207
276.000000	93.621445	-161.4995
280.000000	93.624374	-161.5942
285.000000	93.622299	-161.7451
290.000000	93.630768	-161.8774
295.000000	93.627243	-162.0096
300.000000	93.624504	-162.1952
304.000000	93.620865	-162.2609
307.000000	93.614403	-162.3036
311.000000	93.611847	-162.3869
315.000000	93.611534	-162.4778
320.000000	93.605309	-162.5857
325.000000	93.597931	-162.6958
330.000000	93.583473	-162.7844
335.000000	93.575623	-162.8376
340.000000	93.566994	-162.8945
345.000000	93.562241	-162.9591
350.000000	93.560326	-163.0183
355.000000	93.551750	-163.0939
360.000000	93.539391	-163.2821
365.000000	93.536179	-163.2678
370.000000	93.528427	-163.3307
375.000000	93.522644	-163.4269
382.000000	93.500992	-163.5312
387.000000	93.485077	-163.5872
395.000000	93.455200	-163.6980
400.000000	93.436180	-163.7431
406.000000	93.413696	-163.7964
412.000000	93.391052	-163.8426
418.000000	93.363800	-163.9120
425.000000	93.336685	-163.9339
431.000000	93.305946	-163.9593
437.000000	93.276276	-163.9829
444.000000	93.241173	-163.9661
450.000000	93.206879	-163.9722
455.000000	93.181427	-163.9807
462.000000	93.140160	-163.9462
468.000000	93.102943	-163.9214
475.000000	93.064278	-163.8763
482.000000	93.025040	-163.7817
487.000000	92.989044	-163.7425
494.000000	92.945908	-163.6742
500.000000	92.906342	-163.6144
508.000000	92.853401	-163.4863
515.000000	92.806175	-163.3404
522.000000	92.753510	-163.2040
530.000000	92.697800	-163.0265
538.000000	92.640274	-162.7898
545.000000	92.589661	-162.6387
552.000000	92.542709	-162.4415
560.000000	92.485016	-162.1801
570.000000	92.409592	-161.8368
580.000000	92.342041	-161.4711
