* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2023 5:06:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (DD) L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.907684	31.0321
20.600000	104.929642	30.4010
20.900000	104.944763	29.8472
21.200001	104.959816	29.3033
21.400000	104.971260	28.9394
21.799999	104.998146	28.1978
22.000000	105.013123	27.8186
22.400000	105.043823	27.0486
22.700001	105.065170	26.4723
23.000000	105.083717	25.9095
23.299999	105.099251	25.3704
23.600000	105.112617	24.8601
24.000000	105.129662	24.2201
24.299999	105.143478	23.7565
24.700001	105.163605	23.1359
25.000000	105.178505	22.6585
25.400000	105.195312	22.0102
25.799999	105.206894	21.3743
26.200001	105.215096	20.7798
26.500000	105.221619	20.3661
26.900000	105.233551	19.8404
27.200001	105.245094	19.4477
27.600000	105.261238	18.9063
28.000000	105.274551	18.3447
28.500000	105.284386	17.6449
29.000000	105.289864	16.9815
29.500000	105.295380	16.3523
30.000000	105.300880	15.7390
30.400000	105.304039	15.2617
30.700001	105.306190	14.9166
31.100000	105.310829	14.4725
31.500000	105.319168	14.0305
32.000000	105.332504	13.4508
32.500000	105.341827	12.8430
33.000000	105.342850	12.2624
33.500000	105.340469	11.7543
34.000000	105.342491	11.2952
34.500000	105.348907	10.8216
35.000000	105.352112	10.3060
35.500000	105.347366	9.7805
36.000000	105.338676	9.2863
36.500000	105.333084	8.8230
37.000000	105.332451	8.3601
37.500000	105.333282	7.8827
38.200001	105.331306	7.2181
38.700001	105.328003	6.7653
39.500000	105.321609	6.0756
40.000000	105.316711	5.6616
40.599998	105.310600	5.1779
41.200001	105.304352	4.6938
41.799999	105.296387	4.2034
42.500000	105.284744	3.6401
43.099998	105.275505	3.1744
43.700001	105.267899	2.7168
44.400002	105.258385	2.1911
45.000000	105.248413	1.7551
45.500000	105.239349	1.4008
46.200001	105.226227	0.9074
46.799999	105.214775	0.4829
47.500000	105.201752	-0.0075
48.200001	105.189392	-0.4872
48.700001	105.180267	-0.8230
49.400002	105.165657	-1.2829
50.000000	105.151505	-1.6663
50.799999	105.132378	-2.1680
51.500000	105.116318	-2.6058
52.200001	105.100288	-3.0377
53.000000	105.082458	-3.5165
53.799999	105.064575	-3.9968
54.500000	105.045601	-4.4212
55.200001	105.024040	-4.8279
56.000000	105.001617	-5.2738
57.000000	104.974312	-5.8414
58.000000	104.943390	-6.3639
59.000000	104.919510	-6.8716
60.000000	104.891144	-7.4377
60.799999	104.863495	-7.8578
61.500000	104.842720	-8.2020
62.200001	104.822281	-8.5534
63.000000	104.795410	-8.9464
64.000000	104.763351	-9.4208
65.000000	104.732018	-9.9036
66.000000	104.700027	-10.3434
67.000000	104.670723	-10.7962
68.000000	104.634186	-11.2917
69.000000	104.597961	-11.7451
70.000000	104.568489	-12.1808
71.000000	104.532799	-12.5947
72.000000	104.494560	-12.9747
73.000000	104.457855	-13.3868
74.000000	104.419510	-13.8081
75.000000	104.382263	-14.2022
76.199997	104.338821	-14.6755
77.500000	104.289986	-15.1798
78.800003	104.243210	-15.6560
80.000000	104.197121	-16.0804
81.199997	104.150261	-16.4955
82.500000	104.098587	-16.9545
83.800003	104.041138	-17.3878
85.000000	103.997528	-17.7882
86.199997	103.951118	-18.2029
