* Measurement data measured by REW V5.20.13
* Source: Microfone (6- USB Sound Device        ), MICROPHONE (Volume geral), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 7/ago/2023 15:05:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Juzear 41T L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.254	163.5727
20.600000	67.238	163.4182
20.900000	67.200	163.0925
21.200001	67.158	162.7381
21.400000	67.131	162.5008
21.799999	67.079	162.0276
22.000000	67.055	161.7932
22.400000	67.009	161.3306
22.700001	66.975	160.9954
23.000000	66.942	160.6735
23.299999	66.910	160.3586
23.600000	66.879	160.0411
24.000000	66.838	159.6032
24.299999	66.805	159.2665
24.700001	66.759	158.8288
25.000000	66.723	158.5297
25.400000	66.677	158.1856
25.799999	66.636	157.8912
26.200001	66.600	157.6080
26.500000	66.574	157.3799
26.900000	66.537	157.0440
27.200001	66.507	156.7749
27.600000	66.464	156.4135
28.000000	66.424	156.0701
28.500000	66.384	155.6769
29.000000	66.357	155.3127
29.500000	66.334	154.9651
30.000000	66.302	154.6307
30.400000	66.265	154.3708
30.700001	66.228	154.1768
31.100000	66.170	153.9129
31.500000	66.106	153.6363
32.000000	66.026	153.2663
32.500000	65.957	152.8680
33.000000	65.903	152.4474
33.500000	65.863	152.0181
34.000000	65.826	151.6028
34.500000	65.784	151.2278
35.000000	65.735	150.9099
35.500000	65.684	150.6452
36.000000	65.641	150.4050
36.500000	65.608	150.1537
37.000000	65.580	149.8774
37.500000	65.549	149.6043
38.200001	65.483	149.3289
38.700001	65.424	149.2362
39.500000	65.331	149.1040
40.000000	65.282	148.8907
40.599998	65.229	148.4473
41.200001	65.175	147.8944
41.799999	65.118	147.3795
42.500000	65.053	146.9323
43.099998	65.000	146.6607
43.700001	64.949	146.4379
44.400002	64.891	146.2013
45.000000	64.844	146.0073
45.500000	64.807	145.8452
46.200001	64.753	145.6053
46.799999	64.700	145.3798
47.500000	64.633	145.0946
48.200001	64.566	144.7989
48.700001	64.523	144.5925
49.400002	64.471	144.3249
50.000000	64.433	144.1223
50.799999	64.380	143.8806
51.500000	64.328	143.6643
52.200001	64.270	143.4150
53.000000	64.201	143.0899
53.799999	64.134	142.7521
54.500000	64.079	142.4713
55.200001	64.023	142.2218
56.000000	63.953	141.9895
57.000000	63.863	141.7727
58.000000	63.782	141.5650
59.000000	63.716	141.2661
60.000000	63.655	140.8671
60.799999	63.600	140.5546
61.500000	63.548	140.3412
62.200001	63.499	140.1833
63.000000	63.452	140.0230
64.000000	63.401	139.7986
65.000000	63.347	139.5709
66.000000	63.283	139.3644
67.000000	63.208	139.1317
68.000000	63.128	138.8452
69.000000	63.050	138.5789
70.000000	62.983	138.3902
71.000000	62.919	138.2163
72.000000	62.850	138.0004
73.000000	62.780	137.7828
74.000000	62.718	137.6068
75.000000	62.661	137.4655
76.199997	62.592	137.2636
77.500000	62.521	136.9447
78.800003	62.454	136.6524
80.000000	62.392	136.5060
81.199997	62.324	136.3921
82.500000	62.246	136.1803
83.800003	62.173	135.8948
85.000000	62.112	135.6469
86.199997	62.053	135.4480
87.500000	61.992	135.2402
88.500000	61.940	135.0479
90.000000	61.846	134.7296
91.199997	61.771	134.5228
92.500000	61.701	134.3820
93.800003	61.641	134.2615
95.000000	61.587	134.1090
96.199997	61.529	133.9306
97.500000	61.460	133.7757
98.800003	61.389	133.6902
100.000000	61.321	133.6589
101.500000	61.236	133.6844
103.000000	61.165	133.7924
104.400002	61.119	133.9527
106.000000	61.076	134.0960
107.500000	61.013	134.0227
109.000000	60.913	133.6639
110.599998	60.801	133.0895
112.000000	60.741	132.6821
113.800003	60.711	132.4955
115.000000	60.686	132.4936
117.199997	60.616	132.5076
118.000000	60.591	132.5219
120.599998	60.511	132.6467
122.000000	60.460	132.7168
124.099998	60.391	132.8247
125.000000	60.367	132.9033
126.500000	60.332	133.0832
128.000000	60.303	133.3103
131.500000	60.292	133.9260
132.000000	60.302	133.9895
134.000000	60.369	134.1082
136.000000	60.450	133.9611
138.000000	60.505	133.3635
140.000000	60.522	132.1606
143.000000	60.485	129.8663
145.000000	60.440	128.8773
147.500000	60.406	128.9428
150.000000	60.382	129.5241
152.500000	60.328	129.7395
155.000000	60.261	129.6738
157.500000	60.210	129.5433
160.000000	60.174	129.4486
162.500000	60.148	129.3436
165.000000	60.118	129.0238
167.500000	60.069	128.5224
170.000000	60.009	128.0605
172.500000	59.953	127.6936
175.000000	59.906	127.3638
177.500000	59.858	127.0603
180.000000	59.810	126.8257
182.500000	59.767	126.6171
185.000000	59.728	126.3487
187.500000	59.691	126.0452
190.000000	59.659	125.7924
192.500000	59.636	125.6189
195.000000	59.616	125.4941
197.500000	59.591	125.3807
200.000000	59.562	125.2216
203.000000	59.525	124.9456
206.000000	59.494	124.6597
209.000000	59.473	124.4330
212.000000	59.461	124.2882
214.000000	59.458	124.2466
218.000000	59.452	124.1848
220.000000	59.440	124.0732
224.000000	59.398	123.6929
227.000000	59.362	123.3943
230.000000	59.333	123.1342
233.000000	59.313	122.9089
236.000000	59.295	122.7039
240.000000	59.260	122.3907
243.000000	59.228	122.1223
247.000000	59.188	121.7932
250.000000	59.166	121.5678
254.000000	59.145	121.2823
258.000000	59.128	121.0379
262.000000	59.111	120.8416
265.000000	59.095	120.7066
269.000000	59.063	120.5444
272.000000	59.037	120.4613
276.000000	59.004	120.4254
280.000000	58.973	120.4698
285.000000	58.953	120.6035
290.000000	58.972	120.7458
295.000000	59.017	120.7244
300.000000	59.076	120.4712
304.000000	59.121	120.1353
307.000000	59.144	119.8028
311.000000	59.159	119.2917
315.000000	59.161	118.8079
320.000000	59.154	118.3273
325.000000	59.145	117.9236
330.000000	59.137	117.5424
335.000000	59.135	117.1902
340.000000	59.126	116.9057
345.000000	59.099	116.6640
350.000000	59.066	116.4046
355.000000	59.042	116.1261
360.000000	59.032	115.8731
365.000000	59.027	115.6594
370.000000	59.017	115.4624
375.000000	58.997	115.2923
382.000000	58.972	115.1112
387.000000	58.964	114.9706
395.000000	58.954	114.7220
400.000000	58.944	114.5979
406.000000	58.932	114.4595
412.000000	58.924	114.3132
418.000000	58.921	114.1818
425.000000	58.913	114.0402
431.000000	58.896	113.9025
437.000000	58.875	113.7893
444.000000	58.852	113.7115
450.000000	58.838	113.6943
455.000000	58.829	113.7009
462.000000	58.819	113.6991
468.000000	58.812	113.6797
475.000000	58.805	113.6531
482.000000	58.799	113.6708
487.000000	58.794	113.7349
494.000000	58.786	113.8685
500.000000	58.783	113.9632
508.000000	58.783	114.0419
515.000000	58.782	114.1260
522.000000	58.776	114.2514
530.000000	58.765	114.3990
538.000000	58.756	114.5384
545.000000	58.753	114.6835
552.000000	58.750	114.8620
