* Measurement data measured by REW V5.20.13
* Source: Microfone (6- USB Sound Device        ), MICROPHONE (Volume geral), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 5/jun/2023 0:12:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.215	-10.2579
20.600000	68.215	-10.3162
20.900000	68.221	-10.4768
21.200001	68.237	-10.7759
21.400000	68.249	-11.0740
21.799999	68.252	-11.8624
22.000000	68.236	-12.3016
22.400000	68.161	-13.1041
22.700001	68.080	-13.5112
23.000000	67.999	-13.6936
23.299999	67.939	-13.7056
23.600000	67.907	-13.6454
24.000000	67.902	-13.6186
24.299999	67.908	-13.7215
24.700001	67.902	-14.0195
25.000000	67.876	-14.3030
25.400000	67.813	-14.6776
25.799999	67.737	-15.0226
26.200001	67.669	-15.3889
26.500000	67.629	-15.7133
26.900000	67.589	-16.2103
27.200001	67.565	-16.5875
27.600000	67.538	-17.0110
28.000000	67.516	-17.2707
28.500000	67.502	-17.3890
29.000000	67.505	-17.4932
29.500000	67.512	-17.8483
30.000000	67.505	-18.5821
30.400000	67.479	-19.3598
30.700001	67.449	-19.9572
31.100000	67.399	-20.6326
31.500000	67.352	-21.0855
32.000000	67.306	-21.3634
32.500000	67.262	-21.5060
33.000000	67.185	-21.6767
33.500000	67.056	-21.8457
34.000000	66.897	-21.8940
34.500000	66.769	-21.8378
35.000000	66.710	-21.8675
35.500000	66.712	-22.1753
36.000000	66.729	-22.7502
36.500000	66.725	-23.4134
37.000000	66.693	-23.9879
37.500000	66.643	-24.4327
38.200001	66.574	-24.9401
38.700001	66.532	-25.2691
39.500000	66.479	-25.6858
40.000000	66.450	-25.8664
40.599998	66.402	-26.0704
41.200001	66.318	-26.3412
41.799999	66.184	-26.6521
42.500000	65.994	-26.9116
43.099998	65.861	-27.0066
43.700001	65.795	-27.1341
44.400002	65.785	-27.4931
45.000000	65.789	-27.9062
45.500000	65.780	-28.1753
46.200001	65.750	-28.3341
46.799999	65.710	-28.3454
47.500000	65.630	-28.3646
48.200001	65.504	-28.3495
48.700001	65.401	-28.2335
49.400002	65.296	-27.9779
50.000000	65.271	-27.9517
50.799999	65.278	-28.5484
51.500000	65.239	-29.4122
52.200001	65.143	-30.0372
53.000000	65.031	-30.1908
53.799999	64.963	-29.9905
54.500000	64.923	-29.7387
55.200001	64.872	-29.5224
56.000000	64.785	-29.4677
57.000000	64.656	-29.8285
58.000000	64.578	-30.4720
59.000000	64.562	-31.0619
60.000000	64.520	-31.5389
60.799999	64.434	-31.9634
61.500000	64.352	-32.4336
62.200001	64.298	-32.9559
63.000000	64.278	-33.3948
64.000000	64.275	-33.3062
65.000000	64.245	-32.6437
66.000000	64.162	-32.1568
67.000000	64.027	-32.2823
68.000000	63.857	-32.8015
69.000000	63.670	-33.2727
70.000000	63.504	-33.4778
71.000000	63.412	-33.5103
72.000000	63.404	-33.4644
73.000000	63.430	-33.2181
74.000000	63.422	-32.7162
75.000000	63.345	-32.2153
76.199997	63.193	-32.1250
77.500000	63.044	-32.7800
78.800003	62.922	-33.4577
80.000000	62.810	-33.3980
81.199997	62.728	-32.8598
82.500000	62.677	-32.3954
83.800003	62.625	-32.4153
85.000000	62.544	-32.7918
86.199997	62.424	-33.0579
87.500000	62.280	-32.9152
88.500000	62.189	-32.5963
90.000000	62.103	-32.1011
91.199997	62.043	-31.9134
92.500000	61.949	-31.8759
93.800003	61.829	-31.8223
95.000000	61.709	-31.7299
96.199997	61.597	-31.7426
97.500000	61.509	-31.9631
98.800003	61.463	-32.1867
100.000000	61.416	-32.2413
101.500000	61.290	-32.2448
103.000000	61.165	-32.3567
104.400002	61.123	-32.4613
106.000000	61.110	-32.3169
107.500000	61.114	-31.9527
109.000000	61.105	-31.2558
110.599998	61.046	-29.8349
112.000000	61.001	-28.7247
113.800003	60.956	-28.7716
115.000000	60.897	-29.3598
117.199997	60.734	-30.1351
118.000000	60.667	-30.3570
120.599998	60.418	-30.6857
122.000000	60.295	-30.1834
124.099998	60.121	-29.1426
125.000000	60.031	-28.8508
126.500000	59.865	-28.5295
128.000000	59.711	-28.1451
131.500000	59.488	-26.6602
132.000000	59.473	-26.4687
134.000000	59.443	-25.8675
136.000000	59.410	-25.0954
138.000000	59.329	-24.3101
140.000000	59.211	-24.3267
143.000000	58.999	-25.2364
145.000000	58.870	-25.3504
147.500000	58.736	-24.8702
150.000000	58.620	-23.8214
152.500000	58.535	-22.0117
155.000000	58.534	-20.2017
157.500000	58.602	-18.8959
160.000000	58.653	-17.9845
162.500000	58.654	-17.6720
165.000000	58.643	-17.7637
167.500000	58.627	-17.7286
170.000000	58.565	-17.4578
172.500000	58.519	-17.0739
175.000000	58.527	-16.5176
177.500000	58.532	-15.8918
180.000000	58.557	-15.7135
182.500000	58.578	-16.0216
185.000000	58.502	-16.2390
