* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -16.0 dBFS, measurement signal peak level -16.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 7, 2023 2:50:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0976 ms (-33 mm, -1.32 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.238731	34.6996
20.600000	94.260033	34.2345
20.900000	94.279106	33.8229
21.200001	94.305229	33.3975
21.400000	94.327835	33.0940
21.799999	94.382645	32.4400
22.000000	94.412506	32.0983
22.400000	94.470734	31.4247
22.700001	94.509186	30.9667
23.000000	94.541283	30.5748
23.299999	94.566971	30.2461
23.600000	94.586273	29.9604
24.000000	94.601830	29.6007
24.299999	94.605927	29.3126
24.700001	94.603470	28.8799
25.000000	94.600029	28.5181
25.400000	94.601570	27.9952
25.799999	94.619217	27.4371
26.200001	94.656235	26.8533
26.500000	94.693481	26.4100
26.900000	94.747940	25.8368
27.200001	94.786247	25.4430
27.600000	94.828300	24.9890
28.000000	94.857994	24.6175
28.500000	94.880348	24.2237
29.000000	94.892570	23.8293
29.500000	94.901535	23.3884
30.000000	94.914833	22.9077
30.400000	94.932144	22.5152
30.700001	94.949028	22.2241
31.100000	94.973892	21.8456
31.500000	94.997009	21.4828
32.000000	95.017776	21.0616
32.500000	95.029846	20.6817
33.000000	95.040855	20.3226
33.500000	95.057892	19.9431
34.000000	95.081085	19.5158
34.500000	95.104416	19.0630
35.000000	95.123329	18.6346
35.500000	95.138252	18.2576
36.000000	95.151299	17.9052
36.500000	95.161797	17.5367
37.000000	95.168571	17.1514
37.500000	95.175285	16.7873
38.200001	95.197495	16.3429
38.700001	95.222229	16.0323
39.500000	95.249695	15.5032
40.000000	95.252640	15.1950
40.599998	95.252739	14.8554
41.200001	95.258774	14.4840
41.799999	95.267143	14.0716
42.500000	95.277641	13.6353
43.099998	95.294846	13.3233
43.700001	95.318565	12.9951
44.400002	95.340919	12.5596
45.000000	95.349350	12.1922
45.500000	95.348938	11.9222
46.200001	95.337753	11.6258
46.799999	95.326767	11.4513
47.500000	95.332581	11.2175
48.200001	95.355110	10.7710
48.700001	95.365929	10.3522
49.400002	95.366028	9.8458
50.000000	95.365479	9.5803
50.799999	95.374359	9.3133
51.500000	95.380608	9.0176
52.200001	95.384949	8.6673
53.000000	95.393684	8.2394
53.799999	95.397102	7.8602
54.500000	95.393326	7.6180
55.200001	95.389648	7.3954
56.000000	95.389603	7.0847
57.000000	95.401382	6.6309
58.000000	95.409103	6.1649
59.000000	95.399658	5.8215
60.000000	95.401344	5.4801
60.799999	95.403778	5.1373
61.500000	95.404716	4.8755
62.200001	95.408821	4.6353
63.000000	95.408173	4.3346
64.000000	95.399597	3.9871
65.000000	95.399933	3.6346
66.000000	95.396477	3.2863
67.000000	95.395699	2.9829
68.000000	95.392738	2.6270
69.000000	95.385216	2.3103
70.000000	95.385254	2.0191
71.000000	95.382988	1.7027
72.000000	95.375351	1.3842
73.000000	95.368919	1.0699
74.000000	95.366127	0.7558
75.000000	95.361809	0.4638
76.199997	95.353760	0.1464
77.500000	95.346367	-0.2193
78.800003	95.338326	-0.6110
80.000000	95.330559	-0.9111
81.199997	95.323235	-1.2410
82.500000	95.312370	-1.5924
83.800003	95.302742	-1.9259
85.000000	95.290329	-2.2261
86.199997	95.280838	-2.5192
87.500000	95.272354	-2.8363
88.500000	95.262108	-3.0839
90.000000	95.245934	-3.4514
91.199997	95.236465	-3.7352
92.500000	95.223236	-4.0262
93.800003	95.208099	-4.3232
95.000000	95.197006	-4.5748
96.199997	95.186279	-4.8470
97.500000	95.172264	-5.1248
98.800003	95.155769	-5.4227
100.000000	95.144096	-5.6650
101.500000	95.126335	-5.9949
103.000000	95.107925	-6.2651
104.400002	95.091614	-6.5640
106.000000	95.073975	-6.8860
107.500000	95.055618	-7.1616
109.000000	95.038422	-7.4644
110.599998	95.015373	-7.7653
112.000000	94.999695	-8.0170
113.800003	94.976006	-8.3371
115.000000	94.957314	-8.5547
117.199997	94.930260	-8.9381
118.000000	94.919800	-9.0794
