* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -18.8 dBFS, measurement signal peak level -14.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 18, 2023 7:08:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0888 ms (-30 mm, -1.2 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.426231	157.5584
20.600000	102.377998	157.0654
20.900000	102.325005	156.6226
21.200001	102.272392	156.1799
21.400000	102.238129	155.8833
21.799999	102.171356	155.2931
22.000000	102.138733	155.0043
22.400000	102.075043	154.4515
22.700001	102.029205	154.0607
23.000000	101.985626	153.6830
23.299999	101.943863	153.3040
23.600000	101.902519	152.9125
24.000000	101.844986	152.3649
24.299999	101.798103	151.9455
24.700001	101.730812	151.4028
25.000000	101.679276	151.0273
25.400000	101.613907	150.5757
25.799999	101.555939	150.1574
26.200001	101.503510	149.7353
26.500000	101.463715	149.4046
26.900000	101.405014	148.9546
27.200001	101.355614	148.6297
27.600000	101.285515	148.2350
28.000000	101.217659	147.8784
28.500000	101.142944	147.4226
29.000000	101.073471	146.8896
29.500000	100.996277	146.3165
30.000000	100.909813	145.8244
30.400000	100.843102	145.5262
30.700001	100.798668	145.3334
31.100000	100.744423	145.0559
31.500000	100.686295	144.7251
32.000000	100.594818	144.2988
32.500000	100.491379	144.0058
33.000000	100.411400	143.8749
33.500000	100.376884	143.7159
34.000000	100.367119	143.3165
34.500000	100.338982	142.7143
35.000000	100.274719	142.1408
35.500000	100.194000	141.7641
36.000000	100.124268	141.5088
36.500000	100.067650	141.1983
37.000000	100.006287	140.7778
37.500000	99.931511	140.3496
38.200001	99.825089	139.8986
38.700001	99.761307	139.6368
39.500000	99.663910	139.1650
40.000000	99.596252	138.8612
40.599998	99.514015	138.5211
41.200001	99.437263	138.1843
41.799999	99.363319	137.8465
42.500000	99.276924	137.4910
43.099998	99.203934	137.2177
43.700001	99.130829	136.9332
44.400002	99.042114	136.5745
45.000000	98.964828	136.2772
45.500000	98.903847	136.0556
46.200001	98.826241	135.7632
46.799999	98.760666	135.4980
47.500000	98.676903	135.1965
48.200001	98.594055	134.9350
48.700001	98.541359	134.7380
49.400002	98.468979	134.4101
50.000000	98.399673	134.1506
50.799999	98.308228	133.9281
51.500000	98.238693	133.7462
52.200001	98.166840	133.4990
53.000000	98.077698	133.2174
53.799999	97.994003	132.9592
54.500000	97.922859	132.7229
55.200001	97.849503	132.5035
56.000000	97.767471	132.2791
57.000000	97.670357	131.9837
58.000000	97.572632	131.6679
59.000000	97.474220	131.4135
60.000000	97.382431	131.1819
60.799999	97.304886	130.9977
61.500000	97.240189	130.8480
62.200001	97.177269	130.6498
63.000000	97.095070	130.4702
64.000000	97.013702	130.4245
65.000000	96.927490	130.1025
66.000000	96.787697	129.9273
67.000000	96.725258	129.8861
68.000000	96.673615	129.4577
69.000000	96.584930	129.2818
70.000000	96.510765	129.1321
71.000000	96.424248	128.9007
72.000000	96.349670	128.7475
73.000000	96.273384	128.5797
74.000000	96.190834	128.4353
75.000000	96.115623	128.2623
76.199997	96.030991	128.0632
77.500000	95.934372	127.8935
78.800003	95.840576	127.7306
80.000000	95.756195	127.5685
81.199997	95.675316	127.4204
82.500000	95.577637	127.2421
83.800003	95.494957	127.1348
85.000000	95.421570	126.9401
86.199997	95.341919	126.8157
87.500000	95.261452	126.6623
88.500000	95.197685	126.5915
90.000000	95.107185	126.4057
91.199997	95.028526	126.2933
92.500000	94.962738	126.1993
93.800003	94.887581	126.0751
95.000000	94.815887	125.9452
96.199997	94.745926	125.8445
97.500000	94.676826	125.7665
98.800003	94.602127	125.6729
100.000000	94.539452	125.5979
101.500000	94.465317	125.4441
103.000000	94.388947	125.3293
104.400002	94.315506	125.2476
106.000000	94.236359	125.1022
107.500000	94.167557	125.0074
109.000000	94.094353	124.9112
110.599998	94.021942	124.8073
112.000000	93.959946	124.7255
113.800003	93.882545	124.6398
115.000000	93.826012	124.5602
117.199997	93.731987	124.4442
118.000000	93.697983	124.3749
120.599998	93.586334	124.2674
122.000000	93.539032	124.1451
124.099998	93.454056	124.0544
125.000000	93.415245	124.0263
126.500000	93.368347	123.9530
128.000000	93.305908	123.9076
131.500000	93.184547	123.6889
132.000000	93.158493	123.7213
134.000000	93.101814	123.6578
136.000000	93.029976	123.5287
138.000000	92.963142	123.4396
140.000000	92.898552	123.3409
143.000000	92.804352	123.2275
145.000000	92.744331	123.1496
147.500000	92.675812	123.0558
150.000000	92.603455	122.9725
152.500000	92.531044	122.8690
155.000000	92.463844	122.7881
157.500000	92.399940	122.7046
160.000000	92.340141	122.6337
162.500000	92.276131	122.5078
165.000000	92.215614	122.4580
167.500000	92.158752	122.3631
170.000000	92.103569	122.2536
172.500000	92.045502	122.1845
175.000000	91.993660	122.0960
177.500000	91.943649	122.0379
180.000000	91.881371	121.9796
182.500000	91.834488	121.9429
185.000000	91.778908	121.8666
187.500000	91.736183	121.7867
190.000000	91.683334	121.7088
192.500000	91.648384	121.6749
195.000000	91.592072	121.6772
197.500000	91.550186	121.6776
200.000000	91.497810	121.6550
203.000000	91.464027	121.6831
206.000000	91.433594	121.6406
209.000000	91.397285	121.5992
212.000000	91.349899	121.6012
214.000000	91.320747	121.6127
218.000000	91.261444	121.7046
220.000000	91.240433	121.8401
224.000000	91.216286	122.1621
227.000000	91.237297	122.4188
230.000000	91.294334	122.5527
233.000000	91.354774	122.3817
236.000000	91.401169	121.9399
240.000000	91.406906	121.2047
243.000000	91.389771	120.8033
247.000000	91.346916	120.3593
250.000000	91.322121	120.0960
254.000000	91.285263	119.8161
258.000000	91.239182	119.4919
262.000000	91.207016	119.3066
265.000000	91.194656	119.1391
269.000000	91.159973	118.9382
272.000000	91.138603	118.8468
276.000000	91.118393	118.6243
280.000000	91.102219	118.4348
285.000000	91.076355	118.2741
290.000000	91.060661	118.0493
295.000000	91.046951	117.8311
300.000000	91.031952	117.6153
304.000000	91.032211	117.4524
307.000000	91.022797	117.3342
311.000000	91.021980	117.1641
