* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Oct 31, 2023 12:47:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Kefine Klanar L
* Measurement: Kefine Klanar L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.076	-164.1577
20.299999	108.070	-164.8336
20.600000	108.058	-165.4427
20.900000	108.045	-165.9755
21.200001	108.037	-166.4439
21.400000	108.036	-166.7383
21.799999	108.042	-167.3197
22.000000	108.048	-167.6218
22.400000	108.060	-168.2628
22.700001	108.065	-168.7645
23.000000	108.065	-169.2639
23.299999	108.062	-169.7454
23.600000	108.057	-170.2043
24.000000	108.049	-170.7868
24.299999	108.044	-171.2131
24.700001	108.038	-171.7793
25.000000	108.032	-172.2032
25.400000	108.023	-172.7616
25.799999	108.014	-173.3075
26.200001	108.006	-173.8480
26.500000	108.002	-174.2586
26.900000	107.996	-174.8204
27.200001	107.990	-175.2505
27.600000	107.980	-175.8231
28.000000	107.968	-176.3771
28.500000	107.954	-177.0317
29.000000	107.944	-177.6604
29.500000	107.938	-178.2881
30.000000	107.931	-178.9183
30.400000	107.922	-179.4103
30.700001	107.914	-179.7643
31.100000	107.902	179.7891
31.500000	107.889	179.3726
32.000000	107.871	178.8918
32.500000	107.854	178.4480
33.000000	107.840	178.0198
33.500000	107.826	177.5754
34.000000	107.809	177.0953
34.500000	107.784	176.5956
35.000000	107.753	176.1058
35.500000	107.721	175.6256
36.000000	107.690	175.1159
36.500000	107.657	174.5521
37.000000	107.612	173.9752
37.500000	107.560	173.4665
38.200001	107.500	172.9240
38.700001	107.483	172.5649
39.500000	107.482	171.7759
40.000000	107.473	171.1547
40.599998	107.437	170.4354
41.200001	107.386	169.9011
41.799999	107.346	169.5654
42.500000	107.333	169.2484
43.099998	107.341	168.8554
43.700001	107.340	168.3110
44.400002	107.310	167.6229
45.000000	107.267	167.1175
45.500000	107.230	166.7656
46.200001	107.184	166.3133
46.799999	107.145	165.9337
47.500000	107.097	165.5366
48.200001	107.047	165.2221
48.700001	107.014	165.0443
49.400002	106.971	164.8360
50.000000	106.935	164.6576
50.799999	106.876	164.3873
51.500000	106.806	164.1965
52.200001	106.734	164.1161
53.000000	106.678	163.9920
53.799999	106.634	163.5946
54.500000	106.579	163.1023
55.200001	106.518	162.6564
56.000000	106.471	162.2162
57.000000	106.454	161.5497
58.000000	106.432	160.6802
59.000000	106.351	159.9257
60.000000	106.233	159.6115
60.799999	106.143	159.5457
61.500000	106.067	159.4681
62.200001	105.988	159.3351
63.000000	105.901	159.1293
64.000000	105.825	158.7825
65.000000	105.812	158.2446
66.000000	105.849	157.4990
67.000000	105.906	156.8090
68.000000	105.981	156.4371
69.000000	106.067	156.3583
70.000000	106.129	156.3600
71.000000	106.117	156.3608
72.000000	106.029	156.4095
73.000000	105.896	156.2821
74.000000	105.718	155.8097
75.000000	105.510	155.0829
76.199997	105.253	154.1240
77.500000	105.039	153.5605
78.800003	104.990	153.3568
80.000000	105.033	153.0982
81.199997	105.075	152.8176
82.500000	105.068	152.6044
83.800003	104.995	152.5554
85.000000	104.881	152.7177
86.199997	104.761	153.1199
87.500000	104.681	153.5294
88.500000	104.647	153.4271
90.000000	104.536	152.5069
91.199997	104.381	151.6339
92.500000	104.224	150.8751
93.800003	104.142	150.1743
95.000000	104.114	149.4478
96.199997	104.083	148.8632
97.500000	104.039	148.6840
98.800003	103.998	148.9103
100.000000	103.962	149.2486
101.500000	103.915	149.5640
103.000000	103.860	149.6617
104.400002	103.798	149.6722
106.000000	103.712	149.7914
107.500000	103.617	150.0676
109.000000	103.520	150.3669
110.599998	103.447	150.4868
112.000000	103.440	150.3122
113.800003	103.509	149.8734
115.000000	103.577	149.7584
117.199997	103.709	150.5142
118.000000	103.760	150.9579
120.599998	103.784	151.0070
122.000000	103.589	150.0737
124.099998	103.141	148.8034
125.000000	102.969	148.5106
126.500000	102.774	148.3314
128.000000	102.680	148.3811
131.500000	102.564	148.8827
132.000000	102.547	148.9767
134.000000	102.486	149.2741
136.000000	102.442	149.2600
138.000000	102.396	149.0359
140.000000	102.377	148.7296
143.000000	102.423	147.7710
145.000000	102.420	146.9940
147.500000	102.299	146.7023
150.000000	102.081	147.2082
152.500000	101.853	147.9438
155.000000	101.738	148.2588
157.500000	101.703	147.9734
160.000000	101.640	147.7742
162.500000	101.547	147.9954
165.000000	101.450	148.2554
167.500000	101.349	148.3093
170.000000	101.238	148.2875
172.500000	101.137	148.3946
175.000000	101.068	148.5966
177.500000	101.010	148.7432
180.000000	100.941	148.8229
182.500000	100.867	148.8342
185.000000	100.801	148.7316
187.500000	100.742	148.5543
190.000000	100.682	148.4247
192.500000	100.616	148.4511
195.000000	100.536	148.6528
197.500000	100.449	148.9348
200.000000	100.364	149.1885
203.000000	100.271	149.4217
206.000000	100.183	149.6029
209.000000	100.098	149.7389
212.000000	100.015	149.8825
214.000000	99.960	150.0081
218.000000	99.854	150.3051
220.000000	99.806	150.4586
224.000000	99.719	150.7632
227.000000	99.657	150.9907
230.000000	99.591	151.2085
233.000000	99.523	151.4131
236.000000	99.454	151.6083
240.000000	99.359	151.8534
243.000000	99.281	152.0332
247.000000	99.174	152.2991
250.000000	99.101	152.5508
254.000000	99.019	152.9716
258.000000	98.953	153.4337
262.000000	98.892	153.8358
265.000000	98.845	154.0754
269.000000	98.778	154.3610
272.000000	98.725	154.5957
276.000000	98.655	154.9572
280.000000	98.589	155.3595
285.000000	98.516	155.8843
290.000000	98.451	156.3214
295.000000	98.379	156.6229
300.000000	98.294	156.9154
304.000000	98.225	157.1877
307.000000	98.176	157.4023
311.000000	98.117	157.6834
315.000000	98.060	157.9642
320.000000	97.984	158.3512
325.000000	97.907	158.7908
330.000000	97.835	159.2535
335.000000	97.769	159.7120
340.000000	97.707	160.1561
345.000000	97.645	160.5966
350.000000	97.583	161.0455
355.000000	97.522	161.4955
360.000000	97.463	161.9411
365.000000	97.405	162.3905
370.000000	97.347	162.8528
375.000000	97.291	163.3247
382.000000	97.217	163.9896
387.000000	97.168	164.4688
395.000000	97.094	165.2466
400.000000	97.050	165.7311
406.000000	96.998	166.3030
412.000000	96.948	166.8660
418.000000	96.897	167.4347
425.000000	96.841	168.1299
431.000000	96.798	168.7476
437.000000	96.762	169.3615
444.000000	96.726	170.0564
450.000000	96.700	170.6140
455.000000	96.680	171.0330
462.000000	96.644	171.5643
468.000000	96.605	172.0263
475.000000	96.557	172.6179
482.000000	96.511	173.2440
487.000000	96.479	173.6937
494.000000	96.434	174.3389
500.000000	96.396	174.9210
508.000000	96.355	175.7107
515.000000	96.324	176.3894
522.000000	96.293	177.0662
530.000000	96.257	177.8619
538.000000	96.227	178.6794
545.000000	96.205	179.3975
552.000000	96.186	-179.8849
560.000000	96.168	-179.0734
570.000000	96.147	-178.0803
580.000000	96.127	-177.0916
590.000000	96.110	-176.0847
600.000000	96.098	-175.0377
608.000000	96.093	-174.1907
615.000000	96.092	-173.4610
622.000000	96.092	-172.7316
630.000000	96.095	-171.8702
640.000000	96.108	-170.7528
650.000000	96.134	-169.6286
660.000000	96.174	-168.5358
670.000000	96.225	-167.5342
680.000000	96.276	-166.6250
690.000000	96.322	-165.7500
700.000000	96.365	-164.8658
710.000000	96.411	-163.9620
720.000000	96.463	-163.0584
730.000000	96.519	-162.1705
740.000000	96.579	-161.2998
750.000000	96.642	-160.4457
762.000000	96.724	-159.4394
775.000000	96.819	-158.3733
788.000000	96.922	-157.3375
800.000000	97.022	-156.3996
812.000000	97.132	-155.4814
825.000000	97.265	-154.5667
838.000000	97.403	-153.7950
850.000000	97.522	-153.1838
862.000000	97.632	-152.6118
875.000000	97.747	-152.0003
885.000000	97.834	-151.5310
900.000000	97.964	-150.8424
912.000000	98.069	-150.3012
925.000000	98.185	-149.7274
938.000000	98.304	-149.1857
950.000000	98.413	-148.7256
962.000000	98.520	-148.2968
975.000000	98.632	-147.8493
988.000000	98.743	-147.4085
1000.000000	98.844	-147.0003
1015.000000	98.973	-146.4716
1030.000000	99.112	-145.9395
1044.000000	99.252	-145.4986
1060.000000	99.414	-145.1198
1075.000000	99.556	-144.8570
1090.000000	99.689	-144.6252
1106.000000	99.824	-144.3877
1120.000000	99.938	-144.1853
1138.000000	100.080	-143.9233
1150.000000	100.172	-143.7429
1172.000000	100.341	-143.3928
1180.000000	100.403	-143.2588
1206.000000	100.620	-142.8651
1220.000000	100.739	-142.7325
1241.000000	100.906	-142.6230
1250.000000	100.973	-142.5865
1265.000000	101.078	-142.5173
1280.000000	101.178	-142.4275
1315.000000	101.407	-142.1266
1320.000000	101.439	-142.0774
1340.000000	101.569	-141.8734
1360.000000	101.699	-141.6441
1380.000000	101.830	-141.3620
1400.000000	101.971	-141.0137
1430.000000	102.217	-140.4951
1450.000000	102.395	-140.2607
1475.000000	102.619	-140.0877
1500.000000	102.838	-139.9974
1525.000000	103.055	-139.9491
1550.000000	103.274	-139.9109
1575.000000	103.505	-139.8904
1600.000000	103.748	-139.9748
1625.000000	103.991	-140.2138
1650.000000	104.224	-140.5615
1675.000000	104.450	-140.9679
1700.000000	104.671	-141.4204
1725.000000	104.889	-141.9257
1750.000000	105.100	-142.4637
1775.000000	105.309	-142.9941
1800.000000	105.527	-143.5254
1825.000000	105.755	-144.1334
1850.000000	105.987	-144.8671
1875.000000	106.214	-145.7196
1900.000000	106.436	-146.6665
1925.000000	106.653	-147.6853
1950.000000	106.871	-148.7760
1975.000000	107.091	-149.9850
2000.000000	107.306	-151.3660
2030.000000	107.545	-153.2553
2060.000000	107.754	-155.3500
2090.000000	107.929	-157.6045
2120.000000	108.065	-159.9764
2140.000000	108.132	-161.5871
2180.000000	108.217	-164.7878
2200.000000	108.240	-166.3753
2240.000000	108.244	-169.5467
2270.000000	108.205	-171.8799
2300.000000	108.132	-174.0971
2330.000000	108.032	-176.1455
2360.000000	107.920	-178.0417
2400.000000	107.759	179.5569
2430.000000	107.624	177.8007
2470.000000	107.412	175.5197
2500.000000	107.221	173.8955
2540.000000	106.919	171.9827
2580.000000	106.573	170.5192
2620.000000	106.209	169.5678
2650.000000	105.937	169.1973
2690.000000	105.598	169.1486
2720.000000	105.379	169.3853
2760.000000	105.155	169.8572
2800.000000	105.001	170.2358
2850.000000	104.857	170.3455
2900.000000	104.705	170.1145
2950.000000	104.516	169.8382
3000.000000	104.306	169.7256
3040.000000	104.133	169.7728
3070.000000	104.005	169.8931
3110.000000	103.842	170.1714
3150.000000	103.695	170.5424
3200.000000	103.539	171.0153
3250.000000	103.398	171.3991
3300.000000	103.250	171.6991
3350.000000	103.079	172.0459
3400.000000	102.887	172.5862
3450.000000	102.689	173.4293
