* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Oct 8, 2023 3:09:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Mangird Xenns Top R
* Measurement: Mangird Xenns Top R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.051	-156.3977
20.299999	109.070	-156.9979
20.600000	109.089	-157.5903
20.900000	109.107	-158.1735
21.200001	109.126	-158.7482
21.400000	109.138	-159.1293
21.799999	109.163	-159.8924
22.000000	109.175	-160.2757
22.400000	109.194	-161.0429
22.700001	109.206	-161.6082
23.000000	109.214	-162.1520
23.299999	109.222	-162.6675
23.600000	109.230	-163.1560
24.000000	109.244	-163.7785
24.299999	109.257	-164.2396
24.700001	109.277	-164.8639
25.000000	109.291	-165.3428
25.400000	109.306	-165.9890
25.799999	109.318	-166.6283
26.200001	109.325	-167.2470
26.500000	109.328	-167.6940
26.900000	109.332	-168.2668
27.200001	109.334	-168.6807
27.600000	109.338	-169.2147
28.000000	109.343	-169.7355
28.500000	109.350	-170.3843
29.000000	109.357	-171.0458
29.500000	109.360	-171.7155
30.000000	109.358	-172.3689
30.400000	109.354	-172.8660
30.700001	109.352	-173.2241
31.100000	109.350	-173.6914
31.500000	109.351	-174.1588
32.000000	109.352	-174.7534
32.500000	109.350	-175.3523
33.000000	109.347	-175.9388
33.500000	109.343	-176.5078
34.000000	109.339	-177.0683
34.500000	109.335	-177.6272
35.000000	109.327	-178.1759
35.500000	109.318	-178.6977
36.000000	109.310	-179.1888
36.500000	109.305	-179.6660
37.000000	109.301	179.8470
37.500000	109.297	179.3428
38.200001	109.283	178.6363
38.700001	109.268	178.1552
39.500000	109.245	177.4260
40.000000	109.230	176.9770
40.599998	109.211	176.4368
41.200001	109.188	175.9056
41.799999	109.163	175.3936
42.500000	109.135	174.8167
43.099998	109.113	174.3273
43.700001	109.091	173.8351
44.400002	109.067	173.2537
45.000000	109.048	172.7449
45.500000	109.030	172.3143
46.200001	109.004	171.7177
46.799999	108.980	171.2301
47.500000	108.956	170.6857
48.200001	108.935	170.1438
48.700001	108.919	169.7565
49.400002	108.893	169.2323
50.000000	108.870	168.8102
50.799999	108.838	168.2880
51.500000	108.808	167.8781
