* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 22, 2023 1:51:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: QoA Vesper 2 L
* Measurement: QoA Vesper 2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.339	26.7938
20.299999	109.357	26.2941
20.600000	109.375	25.8181
20.900000	109.392	25.3716
21.200001	109.410	24.9559
21.400000	109.424	24.6917
21.799999	109.454	24.1801
22.000000	109.471	23.9246
22.400000	109.505	23.3998
22.700001	109.529	22.9913
23.000000	109.549	22.5751
23.299999	109.565	22.1624
23.600000	109.576	21.7634
24.000000	109.586	21.2642
24.299999	109.592	20.9159
24.700001	109.600	20.4788
25.000000	109.606	20.1624
25.400000	109.616	19.7441
25.799999	109.626	19.3212
26.200001	109.635	18.8898
26.500000	109.642	18.5609
26.900000	109.650	18.1182
27.200001	109.655	17.7872
27.600000	109.660	17.3544
28.000000	109.667	16.9397
28.500000	109.678	16.4494
29.000000	109.695	15.9756
29.500000	109.719	15.4962
30.000000	109.744	15.0013
30.400000	109.763	14.5996
30.700001	109.775	14.2997
31.100000	109.789	13.9067
31.500000	109.798	13.5281
32.000000	109.800	13.0938
32.500000	109.794	12.7377
33.000000	109.785	12.4863
33.500000	109.784	12.3161
34.000000	109.797	12.1451
34.500000	109.816	11.8835
35.000000	109.829	11.5032
35.500000	109.824	11.0586
36.000000	109.802	10.6426
36.500000	109.774	10.3127
37.000000	109.754	10.0556
37.500000	109.748	9.8099
38.200001	109.758	9.3940
38.700001	109.771	9.0511
39.500000	109.804	8.5093
40.000000	109.839	8.1624
40.599998	109.892	7.6567
41.200001	109.937	7.0135
41.799999	109.953	6.3370
42.500000	109.934	5.7471
43.099998	109.915	5.4878
43.700001	109.909	5.3218
44.400002	109.906	5.0852
45.000000	109.889	4.8842
45.500000	109.870	4.7820
46.200001	109.859	4.6652
46.799999	109.859	4.4324
47.500000	109.842	3.9875
