* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 12:13:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Conch Black 400 Tape
* Measurement: Conch Black 400 Tape
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.526 103.1823
0.732422 45.865 79.9476
1.098633 52.870 59.7310
1.464844 58.236 41.0606
1.831055 62.369 23.9642
2.197266 65.553 8.4889
2.563477 67.999 -5.2694
2.929688 69.879 -17.1864
3.295898 71.346 -27.1855
3.662109 72.540 -35.3417
4.028320 73.582 -41.9560
4.394531 74.549 -47.5138
4.760742 75.465 -52.5067
5.126953 76.317 -57.2436
5.493164 77.083 -61.7951
5.859375 77.755 -66.0757
6.225586 78.345 -69.9745
6.591797 78.880 -73.4541
6.958008 79.385 -76.5826
7.324219 79.874 -79.4987
7.690430 80.345 -82.3381
8.056641 80.788 -85.1737
8.422852 81.192 -87.9991
8.789062 81.550 -90.7537
9.155273 81.867 -93.3683
9.521484 82.154 -95.8039
9.887695 82.421 -98.0700
10.253906 82.676 -100.2139
10.620117 82.920 -102.2880
10.986328 83.150 -104.3185
11.352539 83.363 -106.2951
11.718750 83.558 -108.1891
12.084961 83.741 -109.9846
12.451172 83.920 -111.6992
12.817383 84.095 -113.3770
13.183594 84.264 -115.0575
13.549805 84.421 -116.7446
13.916016 84.560 -118.4030
14.282227 84.683 -119.9837
14.648438 84.798 -121.4622
15.014648 84.912 -122.8595
15.380859 85.029 -124.2284
15.747070 85.143 -125.6136
16.113281 85.247 -127.0177
16.479492 85.336 -128.3991
16.845703 85.412 -129.7036
17.211914 85.482 -130.9058
17.578125 85.555 -132.0290
17.944336 85.634 -133.1294
18.310547 85.713 -134.2549
18.676758 85.785 -135.4106
19.042969 85.844 -136.5570
19.409180 85.892 -137.6411
19.775391 85.935 -138.6351
20.141602 85.982 -139.5569
20.507812 86.036 -140.4580
20.874023 86.093 -141.3874
21.240234 86.146 -142.3582
21.606445 86.189 -143.3424
21.972656 86.221 -144.2918
22.338867 86.246 -145.1716
22.705078 86.272 -145.9825
23.071289 86.304 -146.7579
23.437500 86.340 -147.5396
23.803711 86.375 -148.3498
24.169922 86.404 -149.1789
24.536133 86.425 -149.9952
24.902344 86.440 -150.7678
25.268555 86.453 -151.4860
25.634766 86.468 -152.1633
26.000977 86.486 -152.8253
26.367188 86.506 -153.4924
26.733398 86.525 -154.1691
27.099609 86.541 -154.8472
27.465820 86.555 -155.5156
27.832031 86.566 -156.1701
28.198242 86.577 -156.8142
28.564453 86.588 -157.4545
28.930664 86.597 -158.0943
29.296875 86.604 -158.7313
29.663086 86.608 -159.3589
30.029297 86.610 -159.9682
30.395508 86.610 -160.5497
30.761719 86.610 -161.0955
31.127930 86.613 -161.6053
31.494141 86.621 -162.0928
31.860352 86.636 -162.5853
32.226562 86.654 -163.1122
32.592773 86.671 -163.6851
32.958984 86.679 -164.2841
33.325195 86.677 -164.8629
33.691406 86.668 -165.3751
34.057617 86.659 -165.8076
34.423828 86.660 -166.1958
34.790039 86.670 -166.6054
35.156250 86.681 -167.0871
35.522461 86.684 -167.6378
35.888672 86.672 -168.1982
36.254883 86.646 -168.6928
36.621094 86.618 -169.0864
36.987305 86.601 -169.4151
37.353516 86.597 -169.7650
37.719727 86.598 -170.2061
38.085938 86.591 -170.7355
38.452148 86.567 -171.2747
38.818359 86.531 -171.7264
39.184570 86.498 -172.0513
39.550781 86.483 -172.3051
39.916992 86.488 -172.6009
40.283203 86.500 -173.0190
40.649414 86.503 -173.5391
41.015625 86.485 -174.0518
41.381836 86.457 -174.4414
41.748047 86.437 -174.6802
42.114258 86.442 -174.8626
42.480469 86.468 -175.1406
42.846680 86.496 -175.6056
43.212891 86.501 -176.2129
43.579102 86.470 -176.8058
43.945312 86.414 -177.2177
44.311523 86.359 -177.3860
44.677734 86.329 -177.4004
45.043945 86.330 -177.4411
45.410156 86.347 -177.6456
45.776367 86.354 -178.0124
46.142578 86.339 -178.4179
46.508789 86.311 -178.7263
46.875000 86.293 -178.9108
47.241211 86.303 -179.0945
47.607422 86.335 -179.4638
47.973633 86.361 179.8870
48.339844 86.347 179.0538
48.706055 86.278 178.2883
49.072266 86.174 177.8564
49.438477 86.079 177.8635
49.804688 86.037 178.1576
50.170898 86.059 178.4139
50.537109 86.116 178.3698
50.903320 86.160 178.0092
51.269531 86.158 177.5516
51.635742 86.117 177.2820
52.001953 86.074 177.3468
52.368164 86.071 177.6383
52.734375 86.122 177.8598
53.100586 86.202 177.7411
53.466797 86.264 177.2219
53.833008 86.274 176.4663
54.199219 86.223 175.7405
54.565430 86.132 175.2566
54.931641 86.038 175.0671
55.297852 85.967 175.0602
55.664062 85.926 175.0598
56.030273 85.902 174.9560
56.396484 85.880 174.7605
56.762695 85.857 174.5544
57.128906 85.844 174.3826
57.495117 85.854 174.1874
57.861328 85.884 173.8456
58.227539 85.913 173.2863
58.593750 85.913 172.5865
58.959961 85.873 171.9543
59.326172 85.810 171.5977
59.692383 85.758 171.5636
60.058594 85.745 171.6794
60.424805 85.763 171.6897
60.791016 85.772 171.4917
61.157227 85.736 171.2444
61.523438 85.656 171.2447
61.889648 85.573 171.6649
62.255859 85.535 172.3603
62.622070 85.554 172.9620
62.988281 85.589 173.2151
63.354492 85.596 173.2036
63.720703 85.570 173.2084
64.086914 85.557 173.3301
64.453125 85.601 173.2377
64.819336 85.671 172.3868
65.185547 85.659 170.5762
65.551758 85.451 168.2964
65.917969 85.004 166.6564
66.284180 84.426 166.9645
66.650391 84.003 169.7610
67.016602 84.031 173.6080
67.382812 84.485 175.8913
67.749023 85.046 175.4604
68.115234 85.443 173.1198
68.481445 85.599 170.3516
68.847656 85.605 168.3203
69.213867 85.631 167.2731
69.580078 85.794 166.4078
69.946289 86.038 164.6536
70.312500 86.190 161.7098
70.678711 86.097 158.2565
71.044922 85.707 155.5515
71.411133 85.118 154.9312
71.777344 84.578 157.0635
72.143555 84.373 160.9955
72.509766 84.559 164.5122
72.875977 84.915 166.1970
73.242188 85.200 166.2763
73.608398 85.317 165.7288
73.974609 85.295 165.4013
74.340820 85.224 165.6267
74.707031 85.180 166.2177
75.073242 85.184 166.7621
75.439453 85.207 166.9837
75.805664 85.211 166.8727
76.171875 85.177 166.5818
76.538086 85.108 166.2775
76.904297 85.020 166.0620
77.270508 84.934 165.9614
77.636719 84.866 165.9317
78.002930 84.827 165.8752
78.369141 84.810 165.6881
78.735352 84.800 165.3356
79.101562 84.779 164.8958
79.467773 84.745 164.5178
79.833984 84.715 164.3103
80.200195 84.712 164.2446
80.566406 84.745 164.1663
80.932617 84.799 163.9240
81.298828 84.846 163.4963
81.665039 84.866 162.9970
82.031250 84.860 162.5663
82.397461 84.842 162.2554
82.763672 84.819 162.0118
83.129883 84.785 161.7787
83.496094 84.727 161.6031
83.862305 84.649 161.6251
84.228516 84.577 161.9330
84.594727 84.549 162.4081
84.960938 84.574 162.7435
85.327148 84.617 162.6797
85.693359 84.625 162.2488
86.059570 84.565 161.7892
86.425781 84.464 161.7151
86.791992 84.395 162.1714
87.158203 84.431 162.8105
87.524414 84.572 162.9812
87.890625 84.738 162.2478
88.256836 84.822 160.7253
88.623047 84.758 158.9903
88.989258 84.558 157.7711
89.355469 84.304 157.5853
89.721680 84.118 158.4041
90.087891 84.077 159.6010
90.454102 84.155 160.4167
90.820312 84.257 160.5448
91.186523 84.302 160.2405
91.552734 84.271 159.9988
91.918945 84.208 160.1608
92.285156 84.177 160.6804
92.651367 84.204 161.1956
93.017578 84.260 161.3664
93.383789 84.291 161.1602
93.750000 84.265 160.8365
94.116211 84.195 160.7025
94.482422 84.128 160.8490
94.848633 84.102 161.0616
95.214844 84.110 161.0053
95.581055 84.104 160.5337
95.947266 84.036 159.8315
96.313477 83.898 159.2933
96.679688 83.732 159.2490
97.045898 83.608 159.7029
97.412109 83.572 160.2917
97.778320 83.608 160.5656
98.144531 83.654 160.3574
98.510742 83.656 159.8831
98.876953 83.606 159.5417
99.243164 83.546 159.6071
99.609375 83.536 160.0114
99.975586 83.602 160.3892
100.341797 83.713 160.3774
100.708008 83.808 159.8972
101.074219 83.842 159.1769
101.440430 83.806 158.5640
101.806641 83.733 158.3013
102.172852 83.665 158.3945
102.539062 83.627 158.6511
102.905273 83.613 158.8603
103.271484 83.600 158.9590
103.637695 83.574 159.0364
104.003906 83.546 159.1946
104.370117 83.539 159.3959
104.736328 83.565 159.4395
105.102539 83.601 159.1111
105.468750 83.600 158.3835
105.834961 83.525 157.4976
106.201172 83.370 156.8676
106.567383 83.183 156.8594
106.933594 83.044 157.5279
107.299805 83.021 158.4966
107.666016 83.113 159.1751
108.032227 83.256 159.1850
108.398438 83.368 158.5826
108.764648 83.402 157.7436
109.130859 83.361 157.1052
109.497070 83.285 156.9485
109.863281 83.228 157.2906
110.229492 83.228 157.9133
110.595703 83.289 158.5001
110.961914 83.386 158.7902
111.328125 83.473 158.6822
111.694336 83.505 158.2793
112.060547 83.455 157.8726
112.426758 83.337 157.8282
112.792969 83.210 158.3519
113.159180 83.147 159.2388
113.525391 83.171 159.9092
113.891602 83.218 159.8765
114.257812 83.187 159.2241
114.624023 83.027 158.6133
114.990234 82.801 158.8141
115.356445 82.671 159.9558
115.722656 82.760 161.0694
116.088867 83.002 160.8384
116.455078 83.183 158.9333
116.821289 83.133 156.3193
117.187500 82.849 154.6513
117.553711 82.564 155.2470
117.919922 82.649 157.4807
118.286133 83.224 158.4564
118.652344 83.959 155.9753
119.018555 84.433 150.3537
119.384766 84.390 143.3185
119.750977 83.728 137.1071
120.117188 82.516 134.5175
120.483398 81.201 138.5537
120.849609 80.748 148.4141
121.215820 81.491 156.4248
121.582031 82.542 158.3470
121.948242 83.216 156.3668
122.314453 83.375 153.5848
122.680664 83.156 152.2079
123.046875 82.844 153.1938
123.413086 82.727 155.7987
123.779297 82.872 158.1721
124.145508 83.108 159.1692
124.511719 83.253 159.0346
124.877930 83.249 158.6169
125.244141 83.153 158.5332
125.610352 83.056 158.8137
125.976562 82.997 159.0619
126.342773 82.948 158.9463
126.708984 82.858 158.5320
127.075195 82.717 158.1818
127.441406 82.573 158.1985
127.807617 82.498 158.5050
128.173828 82.528 158.6375
128.540039 82.623 158.1267
128.906250 82.696 156.9178
129.272461 82.679 155.4509
129.638672 82.577 154.4092
130.004883 82.476 154.2829
130.371094 82.507 154.8872
130.737305 82.732 155.2778
131.103516 83.064 154.4496
131.469727 83.320 152.1532
131.835938 83.341 149.0121
132.202148 83.057 146.1949
132.568359 82.522 145.0567
132.934570 81.945 146.5753
133.300781 81.636 150.3240
133.666992 81.744 154.1634
134.033203 82.086 156.1620
134.399414 82.370 156.2407
134.765625 82.451 155.5555
135.131836 82.365 155.3238
135.498047 82.265 156.0231
135.864258 82.287 157.0699
136.230469 82.420 157.4183
136.596680 82.523 156.6584
136.962891 82.468 155.3734
137.329102 82.252 154.6479
137.695312 82.020 155.2541
138.061523 81.978 156.8198
138.427734 82.197 157.8527
138.793945 82.518 157.1334
139.160156 82.708 154.7641
139.526367 82.628 151.8588
139.892578 82.282 149.8434
140.258789 81.829 149.8143
140.625000 81.519 151.7617
140.991211 81.510 154.2706
141.357422 81.710 155.7668
141.723633 81.904 155.9505
142.089844 81.964 155.6270
142.456055 81.909 155.7516
142.822266 81.859 156.6784
143.188477 81.916 157.9338
143.554688 82.071 158.7280
143.920898 82.228 158.7151
144.287109 82.304 158.1626
144.653320 82.283 157.5692
145.019531 82.209 157.2532
145.385742 82.133 157.2020
145.751953 82.079 157.2141
146.118164 82.043 157.1311
146.484375 82.016 156.9039
146.850586 81.996 156.4953
147.216797 81.969 155.8467
147.583008 81.906 155.0142
147.949219 81.786 154.3037
148.315430 81.642 154.1523
148.681641 81.571 154.6949
149.047852 81.667 155.3513
149.414062 81.905 155.1000
