* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 27, 2023 12:50:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Thieaudio Hype 2 R
* Measurement: Thieaudio Hype 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.543	13.2201
20.299999	107.558	12.8220
20.600000	107.571	12.4160
20.900000	107.580	11.9911
21.200001	107.583	11.5442
21.400000	107.581	11.2402
21.799999	107.569	10.6370
22.000000	107.560	10.3451
22.400000	107.543	9.7818
22.700001	107.535	9.3513
23.000000	107.532	8.8723
23.299999	107.530	8.3137
23.600000	107.521	7.6771
24.000000	107.487	6.7664
24.299999	107.444	6.1298
24.700001	107.369	5.4720
25.000000	107.318	5.1685
25.400000	107.279	4.9756
25.799999	107.290	4.8548
26.200001	107.343	4.6069
26.500000	107.392	4.2764
26.900000	107.451	3.6699
27.200001	107.480	3.1636
27.600000	107.501	2.5252
28.000000	107.511	1.9928
28.500000	107.527	1.4427
29.000000	107.548	0.9042
29.500000	107.563	0.3223
30.000000	107.562	-0.2642
30.400000	107.551	-0.7024
30.700001	107.540	-1.0104
31.100000	107.524	-1.4047
31.500000	107.507	-1.7912
32.000000	107.483	-2.2687
32.500000	107.459	-2.7382
33.000000	107.439	-3.2072
33.500000	107.422	-3.6913
34.000000	107.407	-4.1982
34.500000	107.393	-4.7211
35.000000	107.379	-5.2466
35.500000	107.364	-5.7615
36.000000	107.348	-6.2551
36.500000	107.332	-6.7227
37.000000	107.316	-7.1663
37.500000	107.301	-7.5900
38.200001	107.276	-8.1506
38.700001	107.258	-8.5260
39.500000	107.227	-9.0958
40.000000	107.208	-9.4456
40.599998	107.183	-9.8652
41.200001	107.156	-10.2834
41.799999	107.129	-10.7020
42.500000	107.099	-11.2028
43.099998	107.073	-11.6560
43.700001	107.046	-12.1362
44.400002	107.010	-12.7162
45.000000	106.975	-13.2053
45.500000	106.945	-13.5928
46.200001	106.904	-14.1005
46.799999	106.873	-14.5138
47.500000	106.841	-14.9829
48.200001	106.812	-15.4303
48.700001	106.796	-15.7335
49.400002	106.781	-16.1669
50.000000	106.773	-16.5978
50.799999	106.748	-17.2739
51.500000	106.699	-17.8475
52.200001	106.633	-18.2670
53.000000	106.564	-18.5482
53.799999	106.520	-18.7875
54.500000	106.493	-19.0894
55.200001	106.462	-19.4898
56.000000	106.413	-19.9969
57.000000	106.338	-20.5928
58.000000	106.268	-21.1401
59.000000	106.203	-21.7137
60.000000	106.133	-22.2828
60.799999	106.078	-22.6749
61.500000	106.036	-22.9789
62.200001	106.000	-23.2762
63.000000	105.963	-23.6306
64.000000	105.915	-24.0961
65.000000	105.858	-24.5408
66.000000	105.794	-24.8990
67.000000	105.734	-25.1658
68.000000	105.677	-25.3849
69.000000	105.616	-25.5539
70.000000	105.549	-25.6289
71.000000	105.480	-25.6074
72.000000	105.409	-25.5535
73.000000	105.330	-25.4841
74.000000	105.260	-25.4438
75.000000	105.206	-25.6588
76.199997	105.130	-26.3759
77.500000	105.022	-27.3712
78.800003	104.929	-28.2229
80.000000	104.893	-28.7966
81.199997	104.890	-29.2321
82.500000	104.882	-29.5367
83.800003	104.844	-29.6976
85.000000	104.779	-29.8136
86.199997	104.708	-30.1067
87.500000	104.614	-30.8535
88.500000	104.506	-31.5451
