* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Oct 1, 2023 2:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio Völur R M15
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.870	-31.7762
20.299999	102.855	-32.8167
20.600000	102.786	-33.5182
20.900000	102.705	-33.7371
21.200001	102.662	-33.5721
21.400000	102.668	-33.4246
21.799999	102.737	-33.3373
22.000000	102.781	-33.4945
22.400000	102.830	-34.1906
22.700001	102.811	-34.8009
23.000000	102.751	-35.2153
23.299999	102.684	-35.3314
23.600000	102.642	-35.2259
24.000000	102.656	-35.0455
24.299999	102.708	-35.1614
24.700001	102.781	-35.8286
25.000000	102.803	-36.6256
25.400000	102.766	-37.7822
25.799999	102.676	-38.6978
26.200001	102.584	-39.2519
26.500000	102.537	-39.5220
26.900000	102.512	-39.8767
27.200001	102.509	-40.2356
27.600000	102.507	-40.8539
28.000000	102.492	-41.5380
28.500000	102.454	-42.3383
29.000000	102.408	-43.0334
29.500000	102.355	-43.6329
30.000000	102.298	-44.0983
30.400000	102.261	-44.3782
30.700001	102.243	-44.5827
31.100000	102.230	-44.9497
31.500000	102.211	-45.4833
32.000000	102.152	-46.3043
32.500000	102.045	-47.0232
33.000000	101.929	-47.4185
33.500000	101.853	-47.5687
34.000000	101.841	-47.7727
34.500000	101.872	-48.2896
35.000000	101.910	-49.1841
35.500000	101.921	-50.3463
36.000000	101.888	-51.5481
36.500000	101.817	-52.5304
37.000000	101.743	-53.1300
37.500000	101.706	-53.4151
38.200001	101.735	-53.7715
38.700001	101.783	-54.2754
39.500000	101.809	-55.4783
40.000000	101.772	-56.2384
40.599998	101.688	-56.9280
41.200001	101.598	-57.3270
41.799999	101.535	-57.6260
42.500000	101.487	-58.1647
43.099998	101.435	-58.7990
43.700001	101.374	-59.4385
44.400002	101.314	-60.1992
45.000000	101.264	-60.9439
45.500000	101.211	-61.5362
46.200001	101.145	-62.1425
46.799999	101.131	-62.6054
47.500000	101.129	-63.4580
48.200001	101.068	-64.4235
48.700001	100.998	-64.8534
49.400002	100.938	-65.1061
50.000000	100.942	-65.4520
50.799999	100.943	-66.4173
51.500000	100.894	-67.3857
52.200001	100.826	-68.2450
53.000000	100.744	-69.1340
53.799999	100.663	-69.8347
54.500000	100.616	-70.3079
55.200001	100.593	-70.7875
56.000000	100.578	-71.3740
57.000000	100.565	-72.2148
58.000000	100.521	-73.1881
59.000000	100.448	-74.1113
60.000000	100.361	-75.0972
60.799999	100.273	-75.8491
61.500000	100.203	-76.4173
62.200001	100.151	-76.9795
63.000000	100.107	-77.6863
64.000000	100.059	-78.6404
65.000000	100.002	-79.5676
66.000000	99.943	-80.3448
67.000000	99.897	-81.0724
68.000000	99.845	-81.8818
69.000000	99.778	-82.6771
70.000000	99.713	-83.4790
71.000000	99.643	-84.3138
72.000000	99.574	-85.0411
73.000000	99.532	-85.7132
74.000000	99.506	-86.4856
75.000000	99.471	-87.3386
76.199997	99.409	-88.3685
77.500000	99.327	-89.4109
78.800003	99.243	-90.4445
80.000000	99.151	-91.3437
81.199997	99.066	-91.9680
82.500000	99.023	-92.5128
83.800003	99.001	-93.2484
85.000000	98.960	-94.1458
86.199997	98.886	-95.0247
87.500000	98.820	-95.8824
88.500000	98.781	-96.6350
90.000000	98.715	-97.7700
91.199997	98.655	-98.5149
92.500000	98.593	-99.1752
93.800003	98.529	-99.8016
95.000000	98.475	-100.5464
96.199997	98.402	-101.5788
97.500000	98.286	-102.7956
98.800003	98.155	-103.5875
100.000000	98.121	-103.9069
101.500000	98.164	-104.6806
103.000000	98.156	-105.6595
104.400002	98.102	-106.4270
106.000000	98.017	-107.1941
107.500000	97.941	-107.9255
109.000000	97.870	-108.6993
110.599998	97.807	-109.4256
112.000000	97.775	-110.0756
113.800003	97.726	-111.0653
115.000000	97.683	-111.6975
117.199997	97.615	-112.7693
118.000000	97.590	-113.1415
120.599998	97.497	-114.3129
122.000000	97.423	-115.0449
124.099998	97.300	-115.9933
125.000000	97.279	-116.3895
126.500000	97.274	-117.2328
128.000000	97.262	-118.1446
131.500000	97.139	-119.4510
132.000000	97.119	-119.5792
134.000000	97.046	-120.3167
136.000000	96.954	-121.4094
138.000000	96.862	-122.3161
140.000000	96.810	-123.0661
143.000000	96.710	-124.2086
145.000000	96.630	-124.8725
147.500000	96.534	-125.7058
150.000000	96.447	-126.3142
152.500000	96.425	-126.9972
155.000000	96.391	-127.8359
157.500000	96.336	-128.3142
160.000000	96.275	-129.0094
