* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 6, 2023 7:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cosmos5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.457	25.9576
20.299999	109.479	25.2723
20.600000	109.498	24.6502
20.900000	109.518	24.0934
21.200001	109.540	23.5940
21.400000	109.556	23.2845
21.799999	109.591	22.7117
22.000000	109.608	22.4478
22.400000	109.643	21.9783
22.700001	109.672	21.6960
23.000000	109.707	21.4778
23.299999	109.756	21.2871
23.600000	109.822	21.0591
24.000000	109.925	20.5774
24.299999	109.999	20.0190
24.700001	110.066	19.0366
25.000000	110.079	18.2314
25.400000	110.044	17.2745
25.799999	109.977	16.6476
26.200001	109.917	16.3738
26.500000	109.898	16.2932
26.900000	109.908	16.1641
27.200001	109.932	15.9521
27.600000	109.961	15.4949
28.000000	109.972	14.9459
28.500000	109.965	14.3352
29.000000	109.967	13.8579
29.500000	109.994	13.3455
30.000000	110.027	12.6312
30.400000	110.037	11.9382
30.700001	110.028	11.4099
31.100000	110.001	10.7807
31.500000	109.969	10.2794
32.000000	109.939	9.8002
32.500000	109.935	9.3611
33.000000	109.948	8.8340
33.500000	109.963	8.1799
34.000000	109.962	7.4695
34.500000	109.943	6.8602
35.000000	109.924	6.4860
35.500000	109.936	6.3266
36.000000	109.997	6.1758
36.500000	110.085	5.8255
37.000000	110.160	5.2614
37.500000	110.203	4.6534
38.200001	110.228	3.9748
38.700001	110.236	3.5732
39.500000	110.213	2.9280
40.000000	110.169	2.5753
40.599998	110.091	2.2594
41.200001	110.000	2.1334
41.799999	109.944	2.2445
42.500000	110.010	2.1160
43.099998	110.126	0.8696
43.700001	110.124	-1.3810
44.400002	109.888	-3.6160
45.000000	109.640	-3.9906
45.500000	109.560	-3.4493
46.200001	109.702	-2.5757
46.799999	109.978	-2.4855
47.500000	110.318	-3.5239
48.200001	110.496	-5.4634
48.700001	110.471	-6.6396
49.400002	110.328	-6.9833
50.000000	110.263	-6.3245
50.799999	110.296	-5.5881
51.500000	110.304	-5.5150
52.200001	110.254	-5.5582
53.000000	110.184	-5.6375
53.799999	110.126	-5.9468
54.500000	110.083	-6.4391
55.200001	110.046	-7.0294
56.000000	110.035	-7.6685
57.000000	110.092	-8.6399
58.000000	110.129	-9.8018
