* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 5, 2023 7:34:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: diva R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.408	-170.4071
20.299999	102.320	-171.2527
20.600000	102.231	-171.2374
20.900000	102.244	-170.5358
21.200001	102.424	-169.8634
21.400000	102.597	-169.8891
21.799999	102.932	-171.2754
22.000000	103.024	-172.4935
22.400000	102.971	-175.0213
22.700001	102.764	-175.9742
23.000000	102.546	-175.5264
23.299999	102.491	-174.1532
23.600000	102.656	-172.8714
24.000000	103.102	-172.9647
24.299999	103.387	-174.9707
24.700001	103.453	-179.4504
25.000000	103.200	177.2411
25.400000	102.531	174.9272
25.799999	101.815	176.1539
26.200001	101.534	179.5817
26.500000	101.706	-178.2861
26.900000	102.204	-177.8518
27.200001	102.532	-179.4835
27.600000	102.718	176.8482
28.000000	102.608	173.3290
28.500000	102.259	171.0981
29.000000	102.065	171.2606
29.500000	102.237	171.7714
30.000000	102.564	170.4974
30.400000	102.677	168.1721
30.700001	102.598	166.3353
31.100000	102.300	164.9756
31.500000	101.941	165.4894
32.000000	101.735	167.6807
32.500000	101.797	168.7591
33.000000	101.677	168.1132
33.500000	101.212	168.7852
34.000000	100.950	172.4018
34.500000	101.413	174.8015
35.000000	102.054	171.1984
35.500000	102.086	162.6718
36.000000	101.414	154.9209
36.500000	100.727	150.5551
37.000000	100.922	144.5374
37.500000	101.594	129.3160
38.200001	101.562	86.2269
38.700001	100.482	38.8578
39.500000	99.016	-59.2156
40.000000	99.642	-117.9320
40.599998	100.447	-168.7296
41.200001	100.287	165.6084
41.799999	100.118	159.0567
42.500000	101.059	158.2750
43.099998	101.688	154.1966
43.700001	101.642	151.6433
44.400002	101.730	154.3259
45.000000	102.403	155.8463
45.500000	102.839	153.7079
46.200001	102.778	148.8825
46.799999	102.295	146.7130
47.500000	101.709	146.4699
48.200001	101.239	147.4600
48.700001	101.048	148.8740
49.400002	101.164	150.5328
50.000000	101.448	149.8756
50.799999	101.583	146.7987
51.500000	101.462	144.8068
52.200001	101.351	143.9056
53.000000	101.227	143.3744
53.799999	101.086	144.0810
54.500000	101.132	145.2773
55.200001	101.282	145.4561
56.000000	101.334	144.4935
57.000000	101.271	143.0924
58.000000	101.148	140.8112
59.000000	100.825	139.2202
60.000000	100.748	139.9554
60.799999	101.060	140.1146
61.500000	101.359	138.9504
62.200001	101.505	137.6357
63.000000	101.646	137.5075
64.000000	102.105	137.3011
65.000000	102.282	133.9934
66.000000	101.786	132.0479
67.000000	101.277	133.3268
68.000000	101.042	134.2338
69.000000	100.866	134.0833
70.000000	100.734	133.2139
71.000000	100.647	131.9571
72.000000	100.642	130.4486
73.000000	100.621	128.5777
74.000000	100.479	127.3226
