* Measurement data measured by REW V5.20.8
* Source: Line (2- Komplete Audio 2), LINE_IN (Master Volume), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 28, 2023 6:05:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Radon LRadon janus cable R
* Measurement: radon R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.264	-143.3790
20.299999	108.315	-144.0182
20.600000	108.365	-144.6716
20.900000	108.412	-145.3358
21.200001	108.456	-146.0045
21.400000	108.482	-146.4488
21.799999	108.530	-147.3220
22.000000	108.552	-147.7459
22.400000	108.591	-148.5586
22.700001	108.619	-149.1337
23.000000	108.647	-149.6796
23.299999	108.676	-150.2007
23.600000	108.708	-150.7046
24.000000	108.755	-151.3670
24.299999	108.793	-151.8701
24.700001	108.847	-152.5659
25.000000	108.888	-153.1138
25.400000	108.939	-153.8808
25.799999	108.983	-154.6814
26.200001	109.019	-155.4979
26.500000	109.039	-156.1073
26.900000	109.058	-156.8976
27.200001	109.067	-157.4636
27.600000	109.075	-158.1734
28.000000	109.080	-158.8285
28.500000	109.087	-159.5784
29.000000	109.099	-160.2741
29.500000	109.116	-160.9459
30.000000	109.138	-161.6218
30.400000	109.158	-162.1772
30.700001	109.172	-162.6044
31.100000	109.188	-163.1860
31.500000	109.202	-163.7752
32.000000	109.215	-164.5097
32.500000	109.222	-165.2274
33.000000	109.225	-165.9185
33.500000	109.227	-166.5808
34.000000	109.228	-167.2174
34.500000	109.228	-167.8327
35.000000	109.228	-168.4294
35.500000	109.229	-169.0086
36.000000	109.230	-169.5719
36.500000	109.232	-170.1239
37.000000	109.236	-170.6720
37.500000	109.240	-171.2236
38.200001	109.244	-172.0075
38.700001	109.243	-172.5705
39.500000	109.234	-173.4502
40.000000	109.225	-173.9709
40.599998	109.211	-174.5545
41.200001	109.198	-175.0915
41.799999	109.187	-175.5897
42.500000	109.181	-176.1440
43.099998	109.180	-176.6203
43.700001	109.182	-177.1165
44.400002	109.183	-177.7272
45.000000	109.179	-178.2652
45.500000	109.171	-178.7085
46.200001	109.157	-179.3013
46.799999	109.143	-179.7775
47.500000	109.128	179.6944
48.200001	109.117	179.1770
48.700001	109.109	178.8053
49.400002	109.099	178.2761
50.000000	109.091	177.8123
50.799999	109.077	177.1773
51.500000	109.062	176.6085
52.200001	109.043	176.0372
53.000000	109.016	175.4012
53.799999	108.986	174.8013
54.500000	108.960	174.3051
55.200001	108.938	173.8200
56.000000	108.917	173.2547
57.000000	108.890	172.5133
58.000000	108.857	171.7541
59.000000	108.820	171.0093
60.000000	108.780	170.2854
60.799999	108.745	169.7202
61.500000	108.711	169.2447
62.200001	108.675	168.7999
63.000000	108.634	168.3412
64.000000	108.588	167.8367
65.000000	108.552	167.3724
66.000000	108.525	166.9014
