* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 6, 2023 8:04:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tz700 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	117.630	-160.9422
20.299999	117.625	-161.5675
20.600000	117.618	-162.1792
20.900000	117.612	-162.7865
21.200001	117.604	-163.3971
21.400000	117.599	-163.8067
21.799999	117.587	-164.6284
22.000000	117.581	-165.0392
22.400000	117.570	-165.8612
22.700001	117.563	-166.4856
23.000000	117.558	-167.1278
23.299999	117.552	-167.7916
23.600000	117.542	-168.4677
24.000000	117.521	-169.3537
24.299999	117.500	-169.9693
24.700001	117.472	-170.6891
25.000000	117.456	-171.1555
25.400000	117.450	-171.7230
25.799999	117.460	-172.3078
26.200001	117.477	-172.9708
26.500000	117.485	-173.5201
26.900000	117.484	-174.2831
27.200001	117.471	-174.8362
27.600000	117.442	-175.4983
28.000000	117.409	-176.0485
28.500000	117.375	-176.6058
29.000000	117.358	-177.1173
29.500000	117.353	-177.6828
30.000000	117.348	-178.3265
30.400000	117.338	-178.8565
30.700001	117.330	-179.2409
31.100000	117.323	-179.7429
31.500000	117.321	-180.2741
32.000000	117.313	-181.0299
32.500000	117.278	-181.8020
33.000000	117.216	-182.3559
33.500000	117.166	-182.5724
34.000000	117.165	-182.6405
34.500000	117.207	-182.9064
35.000000	117.245	-183.5099
35.500000	117.241	-184.2950
36.000000	117.195	-185.0352
36.500000	117.127	-185.6596
37.000000	117.049	-186.2111
37.500000	116.962	-186.7035
38.200001	116.846	-187.2703
38.700001	116.785	-187.6866
39.500000	116.711	-188.6935
40.000000	116.652	-189.4906
40.599998	116.564	-190.3850
41.200001	116.488	-191.0690
41.799999	116.449	-191.6211
42.500000	116.441	-192.2626
43.099998	116.437	-192.6752
43.700001	116.467	-192.6869
44.400002	116.636	-192.5507
45.000000	116.861	-193.2389
45.500000	116.976	-194.6227
46.200001	116.892	-196.6940
46.799999	116.660	-197.2666
47.500000	116.467	-196.5440
48.200001	116.439	-195.8956
48.700001	116.432	-195.9130
49.400002	116.362	-196.1516
50.000000	116.286	-196.2307
50.799999	116.218	-196.4242
51.500000	116.166	-196.8757
52.200001	116.102	-197.4251
53.000000	116.034	-198.0445
53.799999	115.977	-198.6867
54.500000	115.929	-199.2119
55.200001	115.885	-199.6384
56.000000	115.849	-200.0641
57.000000	115.801	-200.5860
58.000000	115.745	-201.0306
59.000000	115.685	-201.5330
60.000000	115.602	-202.0505
60.799999	115.539	-202.3866
61.500000	115.497	-202.7172
62.200001	115.456	-203.1067
63.000000	115.408	-203.5321
64.000000	115.359	-204.0124
65.000000	115.310	-204.4919
66.000000	115.252	-204.9059
67.000000	115.181	-205.2477
68.000000	115.105	-205.4728
69.000000	115.044	-205.7207
70.000000	114.981	-206.1102
71.000000	114.909	-206.5242
72.000000	114.840	-206.9009
73.000000	114.783	-207.2317
74.000000	114.735	-207.5691
75.000000	114.683	-207.8703
76.199997	114.624	-208.1436
77.500000	114.565	-208.4944
78.800003	114.494	-208.9617
80.000000	114.414	-209.4126
81.199997	114.334	-209.7903
82.500000	114.265	-210.1190
83.800003	114.207	-210.4662
85.000000	114.148	-210.7447
86.199997	114.086	-211.0228
87.500000	114.003	-211.3420
88.500000	113.935	-211.5485
90.000000	113.842	-211.8852
91.199997	113.773	-212.1743
92.500000	113.706	-212.4644
93.800003	113.644	-212.7282
95.000000	113.588	-212.9401
96.199997	113.533	-213.1485
97.500000	113.467	-213.4186
98.800003	113.388	-213.6703
100.000000	113.317	-213.8223
101.500000	113.248	-214.0054
103.000000	113.184	-214.2656
104.400002	113.117	-214.5071
106.000000	113.036	-214.7360
107.500000	112.960	-214.9400
109.000000	112.883	-215.1746
110.599998	112.797	-215.4359
112.000000	112.719	-215.6395
113.800003	112.632	-215.8467
115.000000	112.578	-215.9888
117.199997	112.483	-216.2074
118.000000	112.449	-216.2752
120.599998	112.338	-216.4484
122.000000	112.279	-216.5634
124.099998	112.186	-216.7646
125.000000	112.145	-216.8543
126.500000	112.076	-216.9890
128.000000	112.009	-217.1110
131.500000	111.848	-217.4386
132.000000	111.823	-217.4927
134.000000	111.714	-217.6618
136.000000	111.618	-217.6416
138.000000	111.561	-217.6540
140.000000	111.492	-217.8183
143.000000	111.373	-217.9766
145.000000	111.300	-218.1909
147.500000	111.198	-218.4736
150.000000	111.098	-218.6240
152.500000	111.011	-218.6799
155.000000	110.931	-218.7237
157.500000	110.844	-218.7843
160.000000	110.744	-218.8717
162.500000	110.648	-218.9851
165.000000	110.564	-219.0808
167.500000	110.485	-219.1076
170.000000	110.402	-219.0961
172.500000	110.316	-219.0962
175.000000	110.230	-219.1349
177.500000	110.145	-219.2065
180.000000	110.068	-219.2924
182.500000	110.001	-219.3728
185.000000	109.928	-219.3596
187.500000	109.848	-219.2372
190.000000	109.767	-219.1436
192.500000	109.691	-219.1487
195.000000	109.621	-219.2105
197.500000	109.553	-219.2651
200.000000	109.486	-219.2850
203.000000	109.407	-219.2656
206.000000	109.324	-219.2109
209.000000	109.233	-219.1606
212.000000	109.145	-219.1335
214.000000	109.091	-219.1188
218.000000	108.993	-219.0738
220.000000	108.947	-219.0346
224.000000	108.856	-218.9281
227.000000	108.788	-218.8595
230.000000	108.714	-218.7980
233.000000	108.637	-218.7367
236.000000	108.565	-218.7102
240.000000	108.476	-218.6835
243.000000	108.418	-218.6692
247.000000	108.363	-218.7155
250.000000	108.297	-218.6194
254.000000	108.177	-218.2399
258.000000	108.080	-218.0737
262.000000	108.001	-218.0243
265.000000	107.944	-217.9351
269.000000	107.871	-217.7578
272.000000	107.819	-217.6188
276.000000	107.746	-217.4719
280.000000	107.671	-217.3517
285.000000	107.586	-217.1932
290.000000	107.499	-217.0117
295.000000	107.422	-216.8280
300.000000	107.344	-216.6039
304.000000	107.280	-216.3812
307.000000	107.239	-216.2850
311.000000	107.187	-216.2280
315.000000	107.131	-216.1053
320.000000	107.062	-215.8811
325.000000	106.993	-215.7174
330.000000	106.927	-215.5420
335.000000	106.865	-215.3146
340.000000	106.806	-215.0769
345.000000	106.750	-214.9088
350.000000	106.691	-214.7553
355.000000	106.634	-214.6153
360.000000	106.582	-214.4887
365.000000	106.531	-214.3553
370.000000	106.473	-214.2310
375.000000	106.416	-214.0898
382.000000	106.349	-213.8479
387.000000	106.299	-213.6907
395.000000	106.211	-213.4209
400.000000	106.162	-213.2168
406.000000	106.105	-213.0002
412.000000	106.046	-212.7970
418.000000	105.985	-212.6052
425.000000	105.913	-212.4084
431.000000	105.856	-212.1755
437.000000	105.812	-211.9043
444.000000	105.764	-211.5963
450.000000	105.719	-211.3163
455.000000	105.682	-211.0778
462.000000	105.631	-210.7731
468.000000	105.584	-210.5487
475.000000	105.527	-210.3028
482.000000	105.474	-210.0487
487.000000	105.440	-209.8522
494.000000	105.399	-209.5595
500.000000	105.363	-209.2932
508.000000	105.314	-208.9206
515.000000	105.272	-208.6234
522.000000	105.229	-208.3698
530.000000	105.181	-208.0748
538.000000	105.135	-207.7561
545.000000	105.099	-207.4696
552.000000	105.066	-207.1631
560.000000	105.033	-206.7875
570.000000	104.987	-206.3283
580.000000	104.941	-205.9049
590.000000	104.896	-205.5241
600.000000	104.855	-205.1334
608.000000	104.824	-204.8091
615.000000	104.798	-204.5212
622.000000	104.772	-204.2208
630.000000	104.745	-203.8485
640.000000	104.713	-203.3819
650.000000	104.683	-202.9501
660.000000	104.654	-202.5312
670.000000	104.628	-202.1047
680.000000	104.605	-201.6766
690.000000	104.584	-201.2454
700.000000	104.565	-200.8037
710.000000	104.550	-200.3442
720.000000	104.537	-199.8833
730.000000	104.526	-199.4162
740.000000	104.517	-198.9490
750.000000	104.510	-198.4841
762.000000	104.504	-197.9226
775.000000	104.504	-197.2974
788.000000	104.507	-196.6674
800.000000	104.515	-196.0916
812.000000	104.528	-195.5355
