* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 8, 2023 12:33:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u18ts2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.327	55.5043
20.299999	110.366	54.6409
20.600000	110.406	53.9450
20.900000	110.461	53.3663
21.200001	110.540	52.7825
21.400000	110.603	52.3071
21.799999	110.726	51.0711
22.000000	110.773	50.3100
22.400000	110.808	48.6248
22.700001	110.778	47.4280
23.000000	110.710	46.5037
23.299999	110.637	45.9475
23.600000	110.592	45.7128
24.000000	110.617	45.6389
24.299999	110.703	45.4594
24.700001	110.873	44.7358
25.000000	110.998	43.7724
25.400000	111.115	42.0886
25.799999	111.158	40.3170
26.200001	111.145	38.7985
26.500000	111.126	37.9074
26.900000	111.115	36.9915
27.200001	111.128	36.3980
27.600000	111.168	35.5891
28.000000	111.214	34.6902
28.500000	111.254	33.5099
29.000000	111.275	32.4197
29.500000	111.291	31.4567
30.000000	111.314	30.5258
30.400000	111.330	29.7467
30.700001	111.338	29.1438
31.100000	111.339	28.3450
31.500000	111.335	27.5770
32.000000	111.327	26.6604
32.500000	111.321	25.7579
33.000000	111.316	24.8568
33.500000	111.311	23.9757
34.000000	111.311	23.1125
34.500000	111.312	22.2375
35.000000	111.307	21.3616
35.500000	111.293	20.5652
36.000000	111.281	19.9016
36.500000	111.286	19.3040
37.000000	111.302	18.6407
37.500000	111.310	17.8773
38.200001	111.291	16.8175
38.700001	111.269	16.1475
39.500000	111.236	15.0596
40.000000	111.202	14.3595
40.599998	111.151	13.6498
41.200001	111.125	13.0714
41.799999	111.129	12.3801
42.500000	111.125	11.3402
43.099998	111.098	10.5249
43.700001	111.086	9.8703
44.400002	111.103	8.9935
45.000000	111.094	8.0403
45.500000	111.048	7.3406
46.200001	110.974	6.7979
46.799999	110.959	6.5299
47.500000	110.978	5.8871
48.200001	110.949	4.9128
48.700001	110.887	4.3218
49.400002	110.798	3.8523
50.000000	110.761	3.5557
50.799999	110.741	2.9216
51.500000	110.708	2.2268
52.200001	110.664	1.6107
53.000000	110.626	0.9847
53.799999	110.596	0.3256
54.500000	110.563	-0.2698
55.200001	110.523	-0.8313
56.000000	110.472	-1.4028
57.000000	110.412	-2.0719
58.000000	110.349	-2.7659
59.000000	110.281	-3.4417
60.000000	110.219	-4.0693
