* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 8, 2023 1:14:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: u4s R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.243	16.0433
20.299999	113.275	15.0380
20.600000	113.315	14.1161
20.900000	113.361	13.2681
21.200001	113.409	12.4873
21.400000	113.439	12.0038
21.799999	113.494	11.1227
22.000000	113.518	10.7198
22.400000	113.557	9.9673
22.700001	113.578	9.4203
23.000000	113.587	8.8620
23.299999	113.579	8.2881
23.600000	113.552	7.7155
24.000000	113.487	7.0033
24.299999	113.424	6.5448
24.700001	113.335	6.0407
25.000000	113.276	5.6994
25.400000	113.219	5.1930
25.799999	113.182	4.5194
26.200001	113.152	3.6467
26.500000	113.128	2.8989
26.900000	113.095	1.8506
27.200001	113.074	1.0670
27.600000	113.055	0.0417
28.000000	113.051	-0.9761
28.500000	113.056	-2.2396
29.000000	113.060	-3.4139
29.500000	113.062	-4.4060
30.000000	113.068	-5.2137
30.400000	113.075	-5.7788
30.700001	113.078	-6.1765
31.100000	113.074	-6.6748
31.500000	113.059	-7.1302
32.000000	113.031	-7.6525
32.500000	112.995	-8.1755
33.000000	112.952	-8.7516
33.500000	112.903	-9.4010
34.000000	112.851	-10.1501
34.500000	112.792	-11.0175
35.000000	112.715	-11.9208
35.500000	112.627	-12.6530
36.000000	112.567	-13.0939
36.500000	112.575	-13.4152
37.000000	112.643	-13.9934
37.500000	112.712	-15.0093
38.200001	112.705	-16.6916
38.700001	112.630	-17.5487
39.500000	112.515	-18.1412
40.000000	112.476	-18.4052
40.599998	112.433	-18.8701
41.200001	112.370	-19.4265
41.799999	112.299	-20.0083
42.500000	112.219	-20.7987
43.099998	112.147	-21.5885
43.700001	112.073	-22.3856
44.400002	111.997	-23.2456
45.000000	111.949	-23.9325
45.500000	111.917	-24.4778
46.200001	111.874	-25.1520
46.799999	111.840	-25.5862
47.500000	111.818	-25.9658
48.200001	111.814	-26.4222
48.700001	111.806	-26.8867
49.400002	111.763	-27.6712
50.000000	111.702	-28.3539
50.799999	111.610	-29.2519
51.500000	111.528	-30.0637
52.200001	111.447	-30.8403
53.000000	111.376	-31.6425
53.799999	111.330	-32.4394
54.500000	111.293	-33.1272
55.200001	111.252	-33.7223
56.000000	111.206	-34.2836
57.000000	111.151	-34.9432
58.000000	111.086	-35.6390
59.000000	111.017	-36.4076
60.000000	110.950	-37.2878
60.799999	110.896	-38.0459
61.500000	110.848	-38.6991
62.200001	110.800	-39.3065
63.000000	110.747	-39.9266
64.000000	110.681	-40.5868
65.000000	110.616	-41.1808
66.000000	110.547	-41.7849
67.000000	110.475	-42.4098
68.000000	110.410	-43.1074
69.000000	110.348	-43.8663
70.000000	110.295	-44.6556
71.000000	110.239	-45.4625
72.000000	110.173	-46.1648
73.000000	110.109	-46.7478
74.000000	110.048	-47.3206
75.000000	109.977	-47.8964
76.199997	109.890	-48.5151
77.500000	109.809	-49.1870
78.800003	109.730	-49.8835
80.000000	109.659	-50.5322
81.199997	109.586	-51.2165
82.500000	109.504	-51.9933
83.800003	109.426	-52.8141
85.000000	109.355	-53.5635
86.199997	109.289	-54.2356
87.500000	109.218	-54.8751
88.500000	109.159	-55.3077
90.000000	109.058	-55.9052
91.199997	108.970	-56.3809
92.500000	108.878	-56.9501
93.800003	108.795	-57.5720
95.000000	108.729	-58.1530
96.199997	108.675	-58.7345
97.500000	108.619	-59.3923
98.800003	108.554	-60.0485
100.000000	108.486	-60.6543
101.500000	108.396	-61.4055
103.000000	108.310	-62.1424
104.400002	108.236	-62.7780
106.000000	108.157	-63.3968
107.500000	108.081	-63.8747
109.000000	108.001	-64.2966
110.599998	107.908	-64.7979
112.000000	107.822	-65.3172
113.800003	107.721	-66.0894
115.000000	107.665	-66.6552
117.199997	107.576	-67.6586
118.000000	107.544	-67.9836
120.599998	107.423	-68.8821
122.000000	107.346	-69.2966
124.099998	107.232	-69.9108
125.000000	107.185	-70.1822
126.500000	107.112	-70.6433
128.000000	107.042	-71.1172
131.500000	106.889	-72.3275
132.000000	106.869	-72.5153
134.000000	106.796	-73.2645
136.000000	106.722	-73.9354
138.000000	106.636	-74.4897
140.000000	106.532	-74.9957
143.000000	106.365	-75.8708
145.000000	106.272	-76.5589
147.500000	106.197	-77.4120
150.000000	106.148	-78.0932
152.500000	106.088	-78.5836
155.000000	105.998	-79.0717
157.500000	105.890	-79.7384
160.000000	105.782	-80.5589
162.500000	105.683	-81.3925
165.000000	105.595	-82.1414
167.500000	105.516	-82.7833
170.000000	105.442	-83.3307
172.500000	105.365	-83.8192
175.000000	105.285	-84.2959
177.500000	105.203	-84.7980
180.000000	105.121	-85.3438
182.500000	105.040	-85.9445
