* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 2023-aug-31 21:24:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock tips M + stock cable 3.5mm (mic)  Left
* Measurement: KitSound Mini L
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.491	-5.7568
20.600000	101.463	-6.0773
20.900000	101.429	-6.3820
21.200001	101.399	-6.6877
21.400000	101.385	-6.9008
21.799999	101.363	-7.3493
22.000000	101.354	-7.5807
22.400000	101.335	-8.0381
22.700001	101.320	-8.3590
23.000000	101.304	-8.6508
23.299999	101.288	-8.9174
23.600000	101.271	-9.1698
24.000000	101.247	-9.5064
24.299999	101.229	-9.7737
24.700001	101.201	-10.1562
25.000000	101.179	-10.4572
25.400000	101.151	-10.8631
25.799999	101.127	-11.2595
26.200001	101.109	-11.6433
26.500000	101.099	-11.9269
26.900000	101.085	-12.3040
27.200001	101.071	-12.5830
27.600000	101.045	-12.9378
28.000000	101.011	-13.2573
28.500000	100.964	-13.6098
29.000000	100.925	-13.9674
29.500000	100.894	-14.4013
30.000000	100.868	-14.9239
30.400000	100.847	-15.3605
30.700001	100.830	-15.6680
31.100000	100.807	-16.0276
31.500000	100.784	-16.3327
32.000000	100.758	-16.6769
32.500000	100.732	-17.0290
33.000000	100.702	-17.4085
33.500000	100.669	-17.8051
34.000000	100.635	-18.2057
34.500000	100.604	-18.6044
35.000000	100.574	-18.9959
35.500000	100.544	-19.3724
36.000000	100.513	-19.7321
36.500000	100.481	-20.0832
37.000000	100.450	-20.4372
37.500000	100.419	-20.7994
38.200001	100.378	-21.3136
38.700001	100.349	-21.6780
39.500000	100.299	-22.2467
40.000000	100.265	-22.5895
40.599998	100.222	-22.9842
41.200001	100.182	-23.3672
41.799999	100.147	-23.7554
42.500000	100.107	-24.2201
43.099998	100.072	-24.6060
43.700001	100.035	-24.9714
44.400002	99.993	-25.4021
45.000000	99.957	-25.7890
45.500000	99.927	-26.1061
46.200001	99.890	-26.5278
46.799999	99.860	-26.8914
47.500000	99.815	-27.3219
48.200001	99.760	-27.7016
48.700001	99.723	-27.9413
49.400002	99.684	-28.3101
50.000000	99.652	-28.6903
50.799999	99.602	-29.1928
51.500000	99.554	-29.5573
52.200001	99.512	-29.9071
53.000000	99.465	-30.3508
53.799999	99.414	-30.7977
54.500000	99.368	-31.1629
55.200001	99.320	-31.5158
56.000000	99.262	-31.9115
57.000000	99.191	-32.4012
58.000000	99.124	-32.8917
59.000000	99.056	-33.3485
60.000000	98.990	-33.7995
60.799999	98.938	-34.1856
61.500000	98.893	-34.5205
62.200001	98.849	-34.8385
63.000000	98.797	-35.1937
64.000000	98.729	-35.6386
65.000000	98.661	-36.0634
66.000000	98.598	-36.4715
67.000000	98.534	-36.8869
68.000000	98.465	-37.2838
69.000000	98.400	-37.6706
70.000000	98.337	-38.0671
71.000000	98.274	-38.4552
72.000000	98.209	-38.8367
73.000000	98.140	-39.1946
74.000000	98.077	-39.5647
75.000000	98.014	-39.9577
76.199997	97.939	-40.3803
77.500000	97.864	-40.8159
78.800003	97.788	-41.2595
80.000000	97.716	-41.6548
81.199997	97.646	-42.0390
82.500000	97.569	-42.4620
83.800003	97.488	-42.8658
85.000000	97.418	-43.2193
86.199997	97.347	-43.5628
87.500000	97.264	-43.9411
88.500000	97.202	-44.2164
90.000000	97.120	-44.6285
91.199997	97.046	-44.9630
92.500000	96.961	-45.3332
93.800003	96.882	-45.6676
95.000000	96.813	-45.9530
96.199997	96.738	-46.2577
97.500000	96.661	-46.5828
98.800003	96.585	-46.9065
100.000000	96.512	-47.1849
101.500000	96.426	-47.5403
103.000000	96.339	-47.8988
104.400002	96.259	-48.2123
