* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 2023-aug-31 21:26:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock tips M + stock cable 3.5mm (mic)  Right
* Measurement: KitSound Mini R
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.636	-2.5930
20.600000	101.612	-2.9435
20.900000	101.582	-3.2828
21.200001	101.553	-3.6201
21.400000	101.539	-3.8493
21.799999	101.519	-4.3214
22.000000	101.511	-4.5641
22.400000	101.496	-5.0563
22.700001	101.485	-5.4222
23.000000	101.472	-5.7771
23.299999	101.458	-6.1179
23.600000	101.443	-6.4460
24.000000	101.421	-6.8703
24.299999	101.404	-7.1859
24.700001	101.381	-7.6097
25.000000	101.363	-7.9305
25.400000	101.341	-8.3578
25.799999	101.319	-8.7776
26.200001	101.298	-9.1869
26.500000	101.283	-9.4889
26.900000	101.262	-9.8885
27.200001	101.243	-10.1865
27.600000	101.215	-10.5778
28.000000	101.185	-10.9549
28.500000	101.148	-11.4046
29.000000	101.115	-11.8504
29.500000	101.086	-12.3209
30.000000	101.057	-12.8209
30.400000	101.034	-13.2230
30.700001	101.016	-13.5138
31.100000	100.990	-13.8809
31.500000	100.966	-14.2301
32.000000	100.938	-14.6615
32.500000	100.911	-15.1002
33.000000	100.884	-15.5373
33.500000	100.856	-15.9581
34.000000	100.828	-16.3647
34.500000	100.801	-16.7724
35.000000	100.772	-17.1880
35.500000	100.740	-17.6008
36.000000	100.705	-17.9956
36.500000	100.672	-18.3715
37.000000	100.642	-18.7421
37.500000	100.613	-19.1200
38.200001	100.572	-19.6591
38.700001	100.541	-20.0378
39.500000	100.489	-20.6209
40.000000	100.458	-20.9777
40.599998	100.420	-21.4055
41.200001	100.382	-21.8336
41.799999	100.343	-22.2587
42.500000	100.297	-22.7424
43.099998	100.263	-23.1461
43.700001	100.231	-23.5521
44.400002	100.192	-24.0317
45.000000	100.156	-24.4276
45.500000	100.126	-24.7407
46.200001	100.088	-25.1792
46.799999	100.055	-25.5672
47.500000	100.013	-25.9916
48.200001	99.972	-26.3658
48.700001	99.944	-26.6363
49.400002	99.903	-27.0616
50.000000	99.862	-27.4520
50.799999	99.806	-27.9624
51.500000	99.761	-28.3898
52.200001	99.717	-28.7927
53.000000	99.669	-29.2278
53.799999	99.618	-29.6679
54.500000	99.570	-30.0548
55.200001	99.521	-30.4284
56.000000	99.467	-30.8442
57.000000	99.399	-31.3512
58.000000	99.332	-31.8569
59.000000	99.264	-32.3618
60.000000	99.197	-32.8376
60.799999	99.145	-33.2120
61.500000	99.099	-33.5420
62.200001	99.054	-33.8737
63.000000	99.001	-34.2518
64.000000	98.934	-34.7122
65.000000	98.868	-35.1644
66.000000	98.803	-35.6051
67.000000	98.738	-36.0238
68.000000	98.674	-36.4461
69.000000	98.610	-36.8614
70.000000	98.547	-37.2640
71.000000	98.482	-37.6639
72.000000	98.417	-38.0511
73.000000	98.355	-38.4448
74.000000	98.292	-38.8242
75.000000	98.230	-39.1820
76.199997	98.158	-39.6220
77.500000	98.081	-40.0912
78.800003	98.006	-40.5480
80.000000	97.934	-40.9514
81.199997	97.864	-41.3244
82.500000	97.791	-41.7646
83.800003	97.715	-42.2026
85.000000	97.639	-42.6197
86.199997	97.560	-42.9517
87.500000	97.488	-43.3035
88.500000	97.427	-43.6309
90.000000	97.326	-44.1005
91.199997	97.264	-44.4202
92.500000	97.189	-44.7715
93.800003	97.108	-45.1073
95.000000	97.043	-45.4611
96.199997	96.976	-45.7698
97.500000	96.899	-46.0771
98.800003	96.818	-46.3942
100.000000	96.746	-46.6819
101.500000	96.661	-47.0643
103.000000	96.577	-47.4128
104.400002	96.499	-47.7266
106.000000	96.403	-48.0795
107.500000	96.318	-48.3862
109.000000	96.243	-48.7294
110.599998	96.162	-49.0839
112.000000	96.090	-49.3788
113.800003	95.997	-49.7288
115.000000	95.941	-49.9576
117.199997	95.830	-50.4188
118.000000	95.789	-50.5639
120.599998	95.669	-50.9856
122.000000	95.590	-51.2633
124.099998	95.477	-51.6081
125.000000	95.429	-51.7599
126.500000	95.352	-52.0127
128.000000	95.279	-52.2769
131.500000	95.099	-52.8212
132.000000	95.072	-52.8947
134.000000	94.964	-53.1846
136.000000	94.862	-53.4773
138.000000	94.771	-53.7394
140.000000	94.664	-54.0179
143.000000	94.514	-54.4264
145.000000	94.422	-54.7234
147.500000	94.305	-54.9846
150.000000	94.185	-55.3060
152.500000	94.070	-55.5752
155.000000	93.965	-55.8700
157.500000	93.861	-56.1481
160.000000	93.758	-56.4320
162.500000	93.657	-56.6937
165.000000	93.556	-56.8896
167.500000	93.453	-57.1237
