* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Oct-2023 19:30:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Antlion Audio Kimura Duo L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.490	153.1244
20.600000	79.472	152.9328
20.900000	79.424	152.5229
21.200001	79.365	152.0609
21.400000	79.320	151.7535
21.799999	79.223	151.1804
22.000000	79.174	150.9289
22.400000	79.087	150.4991
22.700001	79.034	150.2152
23.000000	78.994	149.9286
23.299999	78.960	149.6159
23.600000	78.930	149.2736
24.000000	78.885	148.7898
24.299999	78.845	148.4344
24.700001	78.786	148.0000
25.000000	78.739	147.7093
25.400000	78.675	147.3559
25.799999	78.612	147.0167
26.200001	78.549	146.6734
26.500000	78.502	146.4106
26.900000	78.439	146.0556
27.200001	78.392	145.7891
27.600000	78.330	145.4370
28.000000	78.269	145.0931
28.500000	78.193	144.6821
29.000000	78.117	144.2975
29.500000	78.039	143.9384
30.000000	77.960	143.6001
30.400000	77.897	143.3405
30.700001	77.850	143.1496
31.100000	77.791	142.8940
31.500000	77.735	142.6323
32.000000	77.669	142.2955
32.500000	77.605	141.9593
33.000000	77.542	141.6392
33.500000	77.479	141.3369
34.000000	77.414	141.0416
34.500000	77.345	140.7438
35.000000	77.274	140.4428
35.500000	77.201	140.1424
36.000000	77.131	139.8452
36.500000	77.061	139.5561
37.000000	76.991	139.2835
37.500000	76.918	139.0307
38.200001	76.812	138.6958
38.700001	76.735	138.4579
39.500000	76.619	138.0865
40.000000	76.554	137.8728
40.599998	76.484	137.6421
41.200001	76.415	137.4395
41.799999	76.344	137.2508
42.500000	76.259	136.9943
43.099998	76.189	136.6952
43.700001	76.124	136.3307
44.400002	76.048	135.8969
45.000000	75.976	135.5875
45.500000	75.904	135.4044
46.200001	75.782	135.2687
46.799999	75.667	135.2294
47.500000	75.539	135.1926
48.200001	75.435	135.1087
48.700001	75.377	135.0134
49.400002	75.313	134.8383
50.000000	75.261	134.6653
50.799999	75.179	134.4467
51.500000	75.095	134.2947
52.200001	75.009	134.1682
53.000000	74.918	134.0275
53.799999	74.840	133.8784
54.500000	74.775	133.7496
55.200001	74.709	133.6456
56.000000	74.629	133.5577
57.000000	74.526	133.4161
58.000000	74.418	133.2209
59.000000	74.309	133.0650
60.000000	74.206	132.9641
60.799999	74.125	132.8987
61.500000	74.056	132.8496
62.200001	73.990	132.8178
63.000000	73.920	132.8079
64.000000	73.839	132.7776
65.000000	73.742	132.6627
66.000000	73.619	132.5561
67.000000	73.491	132.5354
68.000000	73.379	132.5273
69.000000	73.284	132.4740
70.000000	73.201	132.3883
71.000000	73.129	132.2951
72.000000	73.063	132.1949
73.000000	72.984	132.1085
74.000000	72.886	132.0870
75.000000	72.782	132.1151
76.199997	72.667	132.1287
77.500000	72.557	132.1113
78.800003	72.447	132.1055
80.000000	72.341	132.0866
81.199997	72.237	132.0598
82.500000	72.131	132.0827
83.800003	72.030	132.1450
85.000000	71.937	132.1959
86.199997	71.846	132.2608
87.500000	71.744	132.3765
88.500000	71.663	132.4638
90.000000	71.542	132.5048
91.199997	71.450	132.4853
92.500000	71.354	132.5011
93.800003	71.261	132.6060
95.000000	71.179	132.7649
96.199997	71.096	132.9356
97.500000	71.005	133.0915
98.800003	70.913	133.2058
100.000000	70.833	133.2729
101.500000	70.742	133.2979
103.000000	70.657	133.3204
104.400002	70.574	133.4080
106.000000	70.475	133.5459
107.500000	70.378	133.6517
109.000000	70.288	133.7516
110.599998	70.196	133.8916
112.000000	70.114	134.0713
113.800003	70.003	134.5639
115.000000	69.916	135.3004
117.199997	69.662	138.2201
118.000000	69.533	139.6664
120.599998	69.240	141.7791
122.000000	69.260	140.2549
124.099998	69.327	137.5310
125.000000	69.328	136.7945
126.500000	69.299	136.1088
128.000000	69.241	135.8275
131.500000	69.064	135.7074
132.000000	69.040	135.7271
134.000000	68.947	135.8895
136.000000	68.858	136.1498
138.000000	68.761	136.4339
140.000000	68.667	136.6836
143.000000	68.550	136.9973
145.000000	68.471	137.2193
147.500000	68.357	137.5274
150.000000	68.238	137.8353
152.500000	68.128	138.1170
155.000000	68.030	138.3798
157.500000	67.936	138.6736
160.000000	67.838	138.9925
162.500000	67.737	139.2794
165.000000	67.631	139.5590
167.500000	67.526	139.8848
170.000000	67.428	140.2503
172.500000	67.344	140.6069
175.000000	67.264	140.9281
177.500000	67.176	141.2161
180.000000	67.073	141.4994
182.500000	66.965	141.8140
185.000000	66.860	142.1481
187.500000	66.763	142.4535
190.000000	66.679	142.7546
192.500000	66.607	143.1390
195.000000	66.535	143.6207
197.500000	66.455	144.1771
200.000000	66.364	144.7822
203.000000	66.255	145.5046
206.000000	66.164	146.1850
209.000000	66.092	146.8347
212.000000	66.028	147.4705
214.000000	65.985	147.8758
218.000000	65.909	148.5363
220.000000	65.885	148.7667
224.000000	65.856	149.0964
227.000000	65.833	149.3216
230.000000	65.792	149.5809
233.000000	65.734	149.8738
236.000000	65.667	150.1725
240.000000	65.577	150.5441
243.000000	65.511	150.8084
247.000000	65.424	151.1865
250.000000	65.360	151.5154
254.000000	65.276	151.9989
258.000000	65.193	152.4700
262.000000	65.108	152.8998
265.000000	65.044	153.2149
269.000000	64.957	153.6727
272.000000	64.891	154.0683
276.000000	64.802	154.6210
280.000000	64.718	155.1287
285.000000	64.628	155.7278
290.000000	64.552	156.3206
295.000000	64.476	156.8904
300.000000	64.388	157.5054
