* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05-Sep-2023 22:54:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hidizs MP145 High R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.632	-155.5169
20.600000	75.640	-155.6538
20.900000	75.660	-155.9463
21.200001	75.681	-156.2780
21.400000	75.695	-156.5089
21.799999	75.721	-156.9879
22.000000	75.733	-157.2361
22.400000	75.757	-157.7579
22.700001	75.774	-158.1812
23.000000	75.790	-158.6387
23.299999	75.803	-159.1218
23.600000	75.812	-159.6088
24.000000	75.820	-160.2197
24.299999	75.827	-160.6244
24.700001	75.847	-161.1010
25.000000	75.871	-161.4474
25.400000	75.908	-161.9497
25.799999	75.936	-162.5146
26.200001	75.944	-163.0835
26.500000	75.939	-163.4596
26.900000	75.927	-163.8646
27.200001	75.926	-164.1247
27.600000	75.939	-164.4983
28.000000	75.963	-164.9910
28.500000	75.982	-165.7587
29.000000	75.975	-166.4799
29.500000	75.961	-166.9739
30.000000	75.971	-167.3223
30.400000	75.999	-167.6729
30.700001	76.021	-168.0412
31.100000	76.033	-168.6499
31.500000	76.019	-169.2795
32.000000	75.975	-169.8816
32.500000	75.942	-170.1850
33.000000	75.957	-170.3542
33.500000	76.014	-170.6663
34.000000	76.071	-171.2775
34.500000	76.081	-172.0599
35.000000	76.033	-172.7003
35.500000	75.957	-172.9243
36.000000	75.913	-172.7680
36.500000	75.933	-172.5865
37.000000	75.999	-172.8261
37.500000	76.051	-173.6570
38.200001	76.009	-175.3259
38.700001	75.901	-176.2597
39.500000	75.738	-176.5626
40.000000	75.726	-176.2278
40.599998	75.812	-175.8857
41.200001	75.931	-176.0726
41.799999	76.004	-176.7990
42.500000	75.993	-177.8979
43.099998	75.932	-178.7000
43.700001	75.865	-179.2858
44.400002	75.796	-179.7402
45.000000	75.746	-179.9435
45.500000	75.714	-179.9964
46.200001	75.690	179.9949
46.799999	75.683	179.9375
47.500000	75.674	179.8097
48.200001	75.669	179.6821
48.700001	75.676	179.5645
49.400002	75.700	179.2608
50.000000	75.722	178.8535
50.799999	75.738	178.2292
51.500000	75.747	177.7055
52.200001	75.754	177.1847
53.000000	75.748	176.5665
53.799999	75.719	176.0131
54.500000	75.687	175.6707
55.200001	75.665	175.4454
56.000000	75.654	175.1968
57.000000	75.632	174.7533
58.000000	75.574	174.3120
59.000000	75.502	174.0538
60.000000	75.444	173.8684
60.799999	75.400	173.6339
61.500000	75.352	173.3413
62.200001	75.288	173.0122
63.000000	75.203	172.6594
64.000000	75.102	172.2750
65.000000	75.037	171.8660
66.000000	75.016	171.3406
67.000000	75.020	170.7294
68.000000	75.017	170.2037
69.000000	74.988	169.9059
70.000000	74.929	169.8116
71.000000	74.852	169.7838
72.000000	74.783	169.6801
73.000000	74.745	169.4543
74.000000	74.737	169.1848
75.000000	74.739	168.9623
76.199997	74.721	168.7058
77.500000	74.670	168.2581
78.800003	74.615	167.7023
80.000000	74.569	167.3008
81.199997	74.509	166.9942
82.500000	74.437	166.6561
83.800003	74.375	166.3831
85.000000	74.324	166.2073
86.199997	74.275	165.9987
87.500000	74.229	165.7433
88.500000	74.194	165.6010
90.000000	74.137	165.4948
91.199997	74.091	165.4633
92.500000	74.035	165.4383
93.800003	73.967	165.3566
95.000000	73.895	165.2124
96.199997	73.818	165.0236
97.500000	73.736	164.7717
98.800003	73.669	164.4857
100.000000	73.625	164.2325
101.500000	73.585	163.9930
103.000000	73.542	163.8704
104.400002	73.485	163.8184
106.000000	73.404	163.7485
107.500000	73.330	163.6495
109.000000	73.268	163.5604
110.599998	73.206	163.4898
112.000000	73.144	163.4054
113.800003	73.064	163.2393
115.000000	73.013	163.1195
117.199997	72.914	162.9055
118.000000	72.874	162.8198
120.599998	72.758	162.6776
122.000000	72.717	162.7489
124.099998	72.664	162.8482
125.000000	72.639	162.8587
126.500000	72.592	162.8479
128.000000	72.542	162.8182
131.500000	72.418	162.7454
132.000000	72.400	162.7357
134.000000	72.331	162.7032
136.000000	72.264	162.6795
138.000000	72.195	162.6513
140.000000	72.125	162.6152
143.000000	72.014	162.5865
145.000000	71.942	162.6174
147.500000	71.865	162.7383
150.000000	71.799	162.8913
152.500000	71.727	162.9893
155.000000	71.640	163.0475
157.500000	71.548	163.1054
160.000000	71.458	163.1848
162.500000	71.374	163.3126
165.000000	71.298	163.4786
167.500000	71.230	163.6559
170.000000	71.167	163.8340
172.500000	71.105	164.0194
175.000000	71.040	164.1927
177.500000	70.971	164.3210
180.000000	70.899	164.4026
182.500000	70.828	164.4779
185.000000	70.761	164.5939
187.500000	70.697	164.7693
190.000000	70.634	164.9978
192.500000	70.567	165.2474
195.000000	70.498	165.4757
197.500000	70.431	165.6699
200.000000	70.368	165.8505
203.000000	70.295	166.0720
206.000000	70.221	166.2842
209.000000	70.147	166.4811
212.000000	70.073	166.6982
214.000000	70.023	166.8619
218.000000	69.928	167.2085
220.000000	69.884	167.3829
224.000000	69.798	167.7421
227.000000	69.736	168.0363
230.000000	69.675	168.3528
233.000000	69.613	168.6688
236.000000	69.550	168.9684
240.000000	69.469	169.3746
243.000000	69.412	169.6941
247.000000	69.337	170.1118
250.000000	69.277	170.4205
254.000000	69.200	170.8403
258.000000	69.128	171.2686
262.000000	69.058	171.7000
265.000000	69.005	172.0260
269.000000	68.936	172.4688
272.000000	68.886	172.8070
276.000000	68.819	173.2580
280.000000	68.752	173.7090
285.000000	68.668	174.2917
290.000000	68.587	174.8965
295.000000	68.513	175.5178
300.000000	68.446	176.1407
304.000000	68.391	176.6319
307.000000	68.347	177.0110
311.000000	68.288	177.5575
315.000000	68.231	178.1355
320.000000	68.167	178.8663
325.000000	68.113	179.6472
330.000000	68.075	-179.5327
335.000000	68.055	-178.7684
340.000000	68.047	-178.1351
345.000000	68.040	-177.6203
350.000000	68.021	-177.1896
355.000000	67.989	-176.8065
360.000000	67.947	-176.4218
365.000000	67.901	-176.0043
370.000000	67.854	-175.5601
375.000000	67.807	-175.1011
382.000000	67.744	-174.4048
387.000000	67.699	-173.8598
395.000000	67.631	-172.9725
400.000000	67.589	-172.4369
406.000000	67.538	-171.8105
412.000000	67.490	-171.1852
418.000000	67.446	-170.5551
425.000000	67.399	-169.8086
431.000000	67.360	-169.1705
437.000000	67.322	-168.5283
444.000000	67.281	-167.7513
450.000000	67.250	-167.0659
455.000000	67.224	-166.4976
462.000000	67.186	-165.7296
468.000000	67.155	-165.0826
475.000000	67.122	-164.3016
482.000000	67.089	-163.4909
487.000000	67.067	-162.9065
494.000000	67.041	-162.1039
500.000000	67.020	-161.4442
508.000000	66.990	-160.5836
515.000000	66.965	-159.8090
522.000000	66.938	-159.0082
530.000000	66.911	-158.0930
538.000000	66.888	-157.2131
545.000000	66.871	-156.4666
552.000000	66.855	-155.7230
560.000000	66.839	-154.8707
570.000000	66.824	-153.7987
580.000000	66.807	-152.6995
590.000000	66.786	-151.5983
600.000000	66.769	-150.5686
608.000000	66.763	-149.7780
615.000000	66.762	-149.0699
622.000000	66.764	-148.3320
630.000000	66.765	-147.4586
640.000000	66.765	-146.3463
650.000000	66.764	-145.2391
660.000000	66.765	-144.1524
670.000000	66.770	-143.0982
680.000000	66.781	-142.0625
690.000000	66.796	-141.0262
700.000000	66.810	-139.9665
