* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 15-Sep-2023 21:56:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hidizs MS1 Galaxy L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.741	-141.6123
20.600000	77.763	-141.7969
20.900000	77.816	-142.1926
21.200001	77.872	-142.6443
21.400000	77.908	-142.9615
21.799999	77.976	-143.6243
22.000000	78.007	-143.9642
22.400000	78.062	-144.6490
22.700001	78.100	-145.1522
23.000000	78.136	-145.6349
23.299999	78.172	-146.0948
23.600000	78.209	-146.5359
24.000000	78.261	-147.1061
24.299999	78.301	-147.5300
24.700001	78.355	-148.0985
25.000000	78.395	-148.5299
25.400000	78.446	-149.1137
25.799999	78.493	-149.7092
26.200001	78.536	-150.3156
26.500000	78.563	-150.7715
26.900000	78.595	-151.3674
27.200001	78.616	-151.7946
27.600000	78.643	-152.3296
28.000000	78.672	-152.8304
28.500000	78.712	-153.4383
29.000000	78.754	-154.0629
29.500000	78.793	-154.7141
30.000000	78.827	-155.3712
30.400000	78.852	-155.8826
30.700001	78.870	-156.2529
31.100000	78.895	-156.7295
31.500000	78.921	-157.1914
32.000000	78.951	-157.7560
32.500000	78.977	-158.3102
33.000000	78.998	-158.8549
33.500000	79.017	-159.3972
34.000000	79.037	-159.9492
34.500000	79.059	-160.5057
35.000000	79.083	-161.0283
35.500000	79.109	-161.4633
36.000000	79.144	-161.8014
36.500000	79.188	-162.1075
37.000000	79.232	-162.4872
37.500000	79.262	-162.9972
38.200001	79.263	-163.8545
38.700001	79.241	-164.4568
39.500000	79.209	-165.2965
40.000000	79.204	-165.7744
40.599998	79.210	-166.3301
41.200001	79.220	-166.8582
41.799999	79.231	-167.3544
42.500000	79.241	-167.9180
43.099998	79.245	-168.4034
43.700001	79.246	-168.8842
44.400002	79.245	-169.4345
45.000000	79.243	-169.9035
45.500000	79.242	-170.2943
46.200001	79.239	-170.8350
46.799999	79.238	-171.2911
47.500000	79.238	-171.8231
48.200001	79.235	-172.3548
48.700001	79.232	-172.7265
49.400002	79.228	-173.2294
50.000000	79.224	-173.6512
