* Measurement data measured by REW V5.20.4
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.750
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Aug-2023 23:23:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Reference
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.585	149.9438
20.600000	69.549	149.9203
20.900000	69.467	149.8927
21.200001	69.400	149.9294
21.400000	69.376	149.9861
21.799999	69.376	150.1089
22.000000	69.395	150.1396
22.400000	69.439	150.0904
22.700001	69.452	150.0041
23.000000	69.428	149.9872
23.299999	69.371	150.1527
23.600000	69.294	150.5466
24.000000	69.191	151.3799
24.299999	69.134	152.0916
24.700001	69.088	152.9225
25.000000	69.065	153.3467
25.400000	69.025	153.6412
25.799999	68.959	153.7658
26.200001	68.875	153.8701
26.500000	68.813	153.9523
26.900000	68.743	154.0011
27.200001	68.699	153.9292
27.600000	68.641	153.6597
28.000000	68.569	153.2752
28.500000	68.459	152.8719
29.000000	68.363	152.7291
29.500000	68.317	152.7675
30.000000	68.326	152.7866
30.400000	68.353	152.7398
30.700001	68.377	152.6986
31.100000	68.405	152.6995
31.500000	68.424	152.8042
32.000000	68.430	153.0838
32.500000	68.405	153.4955
33.000000	68.347	154.0074
33.500000	68.273	154.5678
34.000000	68.208	155.0651
34.500000	68.162	155.4023
35.000000	68.129	155.6017
35.500000	68.099	155.7916
36.000000	68.073	156.0559
36.500000	68.055	156.3316
37.000000	68.045	156.4628
37.500000	68.037	156.3652
38.200001	68.026	155.9931
38.700001	68.029	155.7724
39.500000	68.053	155.7708
40.000000	68.056	155.9775
40.599998	68.022	156.3403
41.200001	67.957	156.6890
41.799999	67.897	156.8623
42.500000	67.878	156.7007
43.099998	67.900	156.3090
43.700001	67.921	155.9014
44.400002	67.907	155.6576
45.000000	67.862	155.6885
45.500000	67.817	155.7901
46.200001	67.766	155.8894
46.799999	67.742	155.8860
47.500000	67.727	155.8614
48.200001	67.704	155.9110
48.700001	67.678	155.9885
49.400002	67.632	156.0717
50.000000	67.592	156.0450
50.799999	67.551	155.8741
51.500000	67.529	155.7103
52.200001	67.519	155.5910
53.000000	67.512	155.4399
53.799999	67.494	155.2470
54.500000	67.472	155.1331
55.200001	67.456	155.1169
56.000000	67.447	155.1563
57.000000	67.436	155.1456
58.000000	67.419	154.9829
59.000000	67.397	154.7803
60.000000	67.369	154.7199
60.799999	67.343	154.7338
61.500000	67.317	154.7129
62.200001	67.292	154.6451
63.000000	67.268	154.5574
64.000000	67.243	154.5148
65.000000	67.214	154.5172
66.000000	67.176	154.4163
67.000000	67.129	154.1521
68.000000	67.068	153.8743
69.000000	67.000	153.7340
70.000000	66.947	153.6545
71.000000	66.915	153.5099
72.000000	66.889	153.3456
73.000000	66.857	153.2514
74.000000	66.819	153.2122
75.000000	66.785	153.1605
76.199997	66.755	153.0707
77.500000	66.731	152.9814
78.800003	66.694	152.9007
80.000000	66.639	152.8577
81.199997	66.582	152.8510
82.500000	66.544	152.9012
83.800003	66.524	153.0608
85.000000	66.494	153.2523
86.199997	66.442	153.3452
87.500000	66.377	153.2495
88.500000	66.333	153.1088
90.000000	66.275	153.0122
91.199997	66.234	153.0654
92.500000	66.197	153.1339
93.800003	66.164	153.1497
95.000000	66.128	153.1425
96.199997	66.085	153.1532
97.500000	66.031	153.1927
98.800003	65.967	153.2668
100.000000	65.905	153.3699
101.500000	65.838	153.4925
103.000000	65.787	153.5883
104.400002	65.741	153.6662
106.000000	65.681	153.7168
107.500000	65.618	153.7537
109.000000	65.554	153.8340
110.599998	65.495	154.0174
112.000000	65.455	154.2504
113.800003	65.410	154.5733
115.000000	65.382	154.7639
117.199997	65.357	154.9764
