* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 14-Nov-2023 13:20:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FT5 R leather
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	58.924
20.299999	59.083
20.600000	59.244
20.900000	59.409
21.200001	59.581
21.400000	59.702
21.799999	59.957
22.000000	60.088
22.400000	60.349
22.700001	60.534
23.000000	60.703
23.299999	60.858
23.600000	61.003
24.000000	61.195
24.299999	61.350
24.700001	61.581
25.000000	61.773
25.400000	62.042
25.799999	62.306
26.200001	62.545
26.500000	62.699
26.900000	62.868
27.200001	62.972
27.600000	63.086
28.000000	63.182
28.500000	63.287
29.000000	63.381
29.500000	63.468
30.000000	63.565
30.400000	63.660
30.700001	63.743
31.100000	63.868
31.500000	63.998
32.000000	64.146
32.500000	64.263
33.000000	64.351
33.500000	64.428
34.000000	64.509
34.500000	64.603
35.000000	64.705
35.500000	64.800
36.000000	64.873
36.500000	64.918
37.000000	64.939
37.500000	64.950
38.200001	64.983
38.700001	65.031
39.500000	65.135
40.000000	65.199
40.599998	65.263
41.200001	65.317
41.799999	65.369
42.500000	65.427
43.099998	65.468
43.700001	65.491
44.400002	65.497
45.000000	65.486
45.500000	65.472
46.200001	65.457
46.799999	65.461
47.500000	65.496
48.200001	65.559
48.700001	65.613
49.400002	65.692
50.000000	65.759
50.799999	65.849
51.500000	65.925
52.200001	65.995
53.000000	66.067
53.799999	66.133
54.500000	66.185
55.200001	66.231
56.000000	66.279
57.000000	66.330
58.000000	66.373
59.000000	66.409
60.000000	66.441
60.799999	66.470
61.500000	66.498
62.200001	66.526
63.000000	66.553
64.000000	66.575
65.000000	66.589
66.000000	66.601
67.000000	66.611
68.000000	66.613
69.000000	66.603
70.000000	66.584
71.000000	66.564
72.000000	66.549
73.000000	66.541
74.000000	66.540
75.000000	66.544
76.199997	66.555
77.500000	66.563
78.800003	66.558
80.000000	66.543
81.199997	66.521
82.500000	66.490
83.800003	66.454
85.000000	66.420
86.199997	66.393
87.500000	66.375
88.500000	66.370
90.000000	66.370
91.199997	66.366
92.500000	66.354
93.800003	66.333
95.000000	66.307
96.199997	66.277
97.500000	66.245
98.800003	66.215
100.000000	66.189
101.500000	66.156
103.000000	66.122
104.400002	66.091
106.000000	66.056
107.500000	66.024
109.000000	65.993
110.599998	65.963
112.000000	65.944
113.800003	65.931
115.000000	65.928
117.199997	65.930
118.000000	65.931
120.599998	65.932
122.000000	65.927
124.099998	65.911
125.000000	65.901
126.500000	65.883
128.000000	65.865
131.500000	65.838
132.000000	65.837
134.000000	65.837
136.000000	65.836
138.000000	65.829
140.000000	65.817
143.000000	65.802
145.000000	65.800
147.500000	65.806
150.000000	65.812
152.500000	65.810
155.000000	65.804
157.500000	65.802
160.000000	65.804
162.500000	65.806
165.000000	65.812
167.500000	65.822
170.000000	65.836
172.500000	65.854
175.000000	65.878
177.500000	65.901
180.000000	65.919
182.500000	65.929
185.000000	65.936
187.500000	65.942
190.000000	65.947
192.500000	65.949
195.000000	65.950
197.500000	65.951
200.000000	65.953
203.000000	65.959
206.000000	65.966
209.000000	65.973
212.000000	65.981
214.000000	65.986
218.000000	65.991
220.000000	65.991
224.000000	65.988
227.000000	65.987
230.000000	65.993
233.000000	66.005
236.000000	66.023
240.000000	66.049
243.000000	66.069
247.000000	66.092
250.000000	66.106
254.000000	66.120
258.000000	66.137
262.000000	66.161
265.000000	66.185
269.000000	66.226
272.000000	66.263
276.000000	66.316
280.000000	66.364
285.000000	66.412
290.000000	66.457
295.000000	66.500
300.000000	66.536
304.000000	66.560
307.000000	66.579
311.000000	66.610
315.000000	66.643
320.000000	66.678
