* Measurement data measured by REW V5.20.3
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 07-Jul-2023 20:48:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FX15 R switch on
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.687
20.299999	80.952
20.600000	82.603
20.900000	83.221
21.200001	83.302
21.400000	83.276
21.799999	83.266
22.000000	83.271
22.400000	83.278
22.700001	83.280
23.000000	83.284
23.299999	83.287
23.600000	83.291
24.000000	83.294
24.299999	83.295
24.700001	83.296
25.000000	83.296
25.400000	83.295
25.799999	83.293
26.200001	83.292
26.500000	83.292
26.900000	83.291
27.200001	83.291
27.600000	83.289
28.000000	83.285
28.500000	83.276
29.000000	83.267
29.500000	83.259
30.000000	83.255
30.400000	83.252
30.700001	83.249
31.100000	83.243
31.500000	83.236
32.000000	83.227
32.500000	83.218
33.000000	83.208
33.500000	83.195
34.000000	83.180
34.500000	83.163
35.000000	83.147
35.500000	83.132
36.000000	83.117
36.500000	83.103
37.000000	83.089
37.500000	83.077
38.200001	83.060
38.700001	83.046
39.500000	83.021
40.000000	83.005
40.599998	82.986
41.200001	82.966
41.799999	82.943
42.500000	82.916
43.099998	82.895
43.700001	82.875
44.400002	82.851
45.000000	82.829
45.500000	82.810
46.200001	82.778
46.799999	82.748
47.500000	82.718
48.200001	82.695
48.700001	82.681
49.400002	82.663
50.000000	82.642
50.799999	82.608
51.500000	82.576
52.200001	82.546
53.000000	82.512
53.799999	82.477
54.500000	82.446
55.200001	82.418
56.000000	82.389
57.000000	82.349
58.000000	82.300
59.000000	82.234
60.000000	82.165
60.799999	82.138
61.500000	82.133
62.200001	82.122
63.000000	82.093
64.000000	82.047
65.000000	82.003
66.000000	81.960
67.000000	81.915
68.000000	81.869
69.000000	81.824
70.000000	81.778
71.000000	81.732
72.000000	81.686
73.000000	81.642
74.000000	81.599
75.000000	81.554
76.199997	81.502
77.500000	81.448
78.800003	81.393
80.000000	81.340
81.199997	81.288
82.500000	81.233
83.800003	81.177
85.000000	81.125
86.199997	81.071
87.500000	81.012
88.500000	80.966
90.000000	80.899
91.199997	80.846
92.500000	80.788
93.800003	80.728
95.000000	80.674
96.199997	80.621
97.500000	80.563
98.800003	80.505
100.000000	80.455
101.500000	80.400
103.000000	80.351
104.400002	80.304
106.000000	80.248
107.500000	80.193
109.000000	80.137
110.599998	80.073
112.000000	80.015
113.800003	79.939
115.000000	79.887
117.199997	79.789
118.000000	79.756
120.599998	79.660
122.000000	79.602
124.099998	79.514
125.000000	79.480
126.500000	79.431
128.000000	79.391
131.500000	79.325
132.000000	79.317
134.000000	79.283
136.000000	79.244
138.000000	79.196
140.000000	79.140
143.000000	79.046
145.000000	78.980
147.500000	78.897
150.000000	78.813
152.500000	78.728
155.000000	78.644
157.500000	78.562
160.000000	78.482
162.500000	78.403
165.000000	78.325
167.500000	78.248
170.000000	78.173
172.500000	78.099
175.000000	78.029
177.500000	77.964
180.000000	77.901
182.500000	77.836
185.000000	77.773
187.500000	77.715
190.000000	77.662
192.500000	77.613
195.000000	77.565
197.500000	77.518
200.000000	77.470
203.000000	77.413
206.000000	77.353
209.000000	77.292
212.000000	77.230
214.000000	77.189
218.000000	77.106
220.000000	77.065
224.000000	76.984
227.000000	76.924
230.000000	76.864
233.000000	76.803
236.000000	76.737
240.000000	76.652
243.000000	76.601
247.000000	76.537
250.000000	76.485
254.000000	76.415
258.000000	76.347
262.000000	76.280
265.000000	76.231
269.000000	76.167
272.000000	76.122
276.000000	76.062
280.000000	76.003
285.000000	75.933
290.000000	75.868
295.000000	75.813
300.000000	75.756
304.000000	75.698
307.000000	75.654
311.000000	75.602
315.000000	75.557
320.000000	75.502
325.000000	75.449
330.000000	75.397
335.000000	75.343
340.000000	75.289
345.000000	75.236
350.000000	75.186
355.000000	75.140
360.000000	75.094
365.000000	75.047
370.000000	75.000
375.000000	74.957
382.000000	74.903
387.000000	74.868
395.000000	74.819
400.000000	74.793
406.000000	74.767
412.000000	74.743
418.000000	74.719
425.000000	74.687
431.000000	74.657
437.000000	74.625
444.000000	74.587
450.000000	74.554
455.000000	74.527
462.000000	74.489
468.000000	74.457
475.000000	74.418
482.000000	74.381
487.000000	74.356
494.000000	74.322
500.000000	74.295
508.000000	74.260
515.000000	74.229
522.000000	74.199
530.000000	74.165
538.000000	74.133
545.000000	74.107
552.000000	74.082
560.000000	74.053
570.000000	74.017
580.000000	73.983
590.000000	73.948
600.000000	73.912
608.000000	73.888
615.000000	73.869
622.000000	73.848
630.000000	73.825
640.000000	73.794
650.000000	73.754
660.000000	73.715
670.000000	73.697
680.000000	73.681
690.000000	73.659
700.000000	73.634
710.000000	73.607
720.000000	73.583
730.000000	73.561
740.000000	73.540
