* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 25-Jul-2023 13:50:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Focal Stellia R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.720
20.299999	80.736
20.600000	80.750
20.900000	80.760
21.200001	80.766
21.400000	80.768
21.799999	80.768
22.000000	80.765
22.400000	80.755
22.700001	80.744
23.000000	80.728
23.299999	80.710
23.600000	80.688
24.000000	80.653
24.299999	80.622
24.700001	80.578
25.000000	80.541
25.400000	80.491
25.799999	80.439
26.200001	80.387
26.500000	80.350
26.900000	80.303
27.200001	80.270
27.600000	80.230
28.000000	80.194
28.500000	80.158
29.000000	80.132
29.500000	80.118
30.000000	80.119
30.400000	80.130
30.700001	80.145
31.100000	80.171
31.500000	80.204
32.000000	80.250
32.500000	80.296
33.000000	80.334
33.500000	80.359
34.000000	80.366
34.500000	80.354
35.000000	80.325
35.500000	80.280
36.000000	80.223
36.500000	80.156
37.000000	80.084
37.500000	80.009
38.200001	79.907
38.700001	79.841
39.500000	79.751
40.000000	79.705
40.599998	79.657
41.200001	79.614
41.799999	79.572
42.500000	79.520
43.099998	79.472
43.700001	79.418
44.400002	79.347
45.000000	79.281
45.500000	79.222
46.200001	79.135
46.799999	79.058
47.500000	78.967
48.200001	78.874
48.700001	78.807
49.400002	78.711
50.000000	78.627
50.799999	78.511
51.500000	78.406
52.200001	78.299
53.000000	78.176
53.799999	78.057
54.500000	77.959
55.200001	77.873
56.000000	77.794
57.000000	77.732
58.000000	77.716
59.000000	77.749
60.000000	77.826
60.799999	77.912
61.500000	78.002
62.200001	78.101
63.000000	78.221
64.000000	78.380
65.000000	78.545
66.000000	78.718
67.000000	78.902
68.000000	79.099
69.000000	79.310
70.000000	79.533
71.000000	79.765
72.000000	80.001
73.000000	80.236
74.000000	80.467
75.000000	80.689
76.199997	80.941
77.500000	81.194
78.800003	81.423
80.000000	81.614
81.199997	81.786
82.500000	81.951
83.800003	82.094
85.000000	82.207
86.199997	82.303
87.500000	82.388
88.500000	82.441
90.000000	82.498
91.199997	82.527
92.500000	82.542
93.800003	82.541
95.000000	82.529
96.199997	82.505
97.500000	82.470
98.800003	82.427
100.000000	82.383
101.500000	82.322
103.000000	82.258
104.400002	82.196
106.000000	82.123
107.500000	82.052
109.000000	81.978
110.599998	81.895
112.000000	81.819
113.800003	81.718
115.000000	81.650
117.199997	81.525
118.000000	81.480
120.599998	81.336
122.000000	81.259
124.099998	81.140
125.000000	81.087
126.500000	80.995
128.000000	80.898
131.500000	80.651
132.000000	80.613
134.000000	80.457
136.000000	80.293
138.000000	80.122
140.000000	79.946
143.000000	79.675
145.000000	79.491
147.500000	79.261
150.000000	79.032
152.500000	78.807
155.000000	78.586
157.500000	78.370
160.000000	78.159
162.500000	77.951
165.000000	77.745
167.500000	77.540
170.000000	77.337
172.500000	77.133
175.000000	76.928
177.500000	76.723
180.000000	76.518
182.500000	76.313
185.000000	76.109
187.500000	75.908
190.000000	75.711
192.500000	75.517
195.000000	75.329
197.500000	75.146
200.000000	74.970
203.000000	74.771
206.000000	74.588
209.000000	74.421
212.000000	74.273
214.000000	74.183
218.000000	74.027
220.000000	73.959
224.000000	73.845
227.000000	73.778
230.000000	73.727
233.000000	73.694
236.000000	73.678
240.000000	73.686
243.000000	73.715
247.000000	73.785
250.000000	73.858
254.000000	73.962
258.000000	74.034
262.000000	74.070
265.000000	74.094
269.000000	74.135
272.000000	74.171
276.000000	74.222
280.000000	74.275
285.000000	74.341
290.000000	74.405
295.000000	74.467
300.000000	74.526
304.000000	74.572
307.000000	74.604
311.000000	74.646
315.000000	74.686
320.000000	74.732
325.000000	74.775
330.000000	74.816
335.000000	74.855
340.000000	74.892
345.000000	74.927
350.000000	74.961
355.000000	74.993
360.000000	75.024
365.000000	75.052
370.000000	75.079
375.000000	75.104
382.000000	75.136
387.000000	75.157
395.000000	75.185
400.000000	75.201
406.000000	75.217
412.000000	75.230
418.000000	75.242
425.000000	75.253
431.000000	75.261
437.000000	75.268
444.000000	75.275
450.000000	75.280
455.000000	75.284
462.000000	75.288
468.000000	75.290
475.000000	75.292
482.000000	75.293
487.000000	75.294
494.000000	75.295
500.000000	75.297
508.000000	75.300
515.000000	75.303
522.000000	75.308
530.000000	75.313
538.000000	75.320
545.000000	75.326
552.000000	75.332
560.000000	75.340
570.000000	75.349
580.000000	75.358
590.000000	75.367
600.000000	75.376
608.000000	75.383
615.000000	75.389
622.000000	75.396
630.000000	75.406
640.000000	75.422
650.000000	75.447
660.000000	75.482
670.000000	75.529
680.000000	75.588
690.000000	75.656
700.000000	75.729
710.000000	75.802
720.000000	75.868
730.000000	75.926
740.000000	75.974
750.000000	76.014
762.000000	76.053
775.000000	76.085
788.000000	76.111
800.000000	76.130
812.000000	76.144
825.000000	76.156
838.000000	76.163
850.000000	76.168
862.000000	76.171
875.000000	76.174
885.000000	76.176
900.000000	76.181
912.000000	76.187
925.000000	76.196
938.000000	76.210
950.000000	76.228
962.000000	76.251
975.000000	76.283
988.000000	76.323
1000.000000	76.369
1015.000000	76.439
1030.000000	76.526
1044.000000	76.622
1060.000000	76.752
1075.000000	76.890
1090.000000	77.041
1106.000000	77.210
1120.000000	77.360
1138.000000	77.546
1150.000000	77.660
1172.000000	77.840
1180.000000	77.893
1206.000000	78.024
1220.000000	78.067
1241.000000	78.105
1250.000000	78.115
1265.000000	78.126
1280.000000	78.137
1315.000000	78.188
1320.000000	78.200
1340.000000	78.264
1360.000000	78.350
1380.000000	78.459
1400.000000	78.588
1430.000000	78.811
1450.000000	78.976
1475.000000	79.196
1500.000000	79.423
1525.000000	79.651
1550.000000	79.876
1575.000000	80.094
1600.000000	80.307
1625.000000	80.517
1650.000000	80.726
1675.000000	80.935
1700.000000	81.141
1725.000000	81.340
1750.000000	81.526
1775.000000	81.691
1800.000000	81.830
1825.000000	81.936
1850.000000	82.006
1875.000000	82.036
1900.000000	82.027
1925.000000	81.981
1950.000000	81.902
1975.000000	81.798
2000.000000	81.678
2030.000000	81.531
2060.000000	81.403
2090.000000	81.322
2120.000000	81.311
2140.000000	81.354
2180.000000	81.569
2200.000000	81.741
2240.000000	82.191
2270.000000	82.577
2300.000000	82.936
2330.000000	83.230
2360.000000	83.488
2400.000000	83.784
2430.000000	83.943
2470.000000	84.072
2500.000000	84.121
2540.000000	84.133
2580.000000	84.065
2620.000000	83.901
2650.000000	83.718
2690.000000	83.406
2720.000000	83.124
2760.000000	82.688
2800.000000	82.213
2850.000000	81.716
2900.000000	81.561
2950.000000	81.796
3000.000000	82.212
3040.000000	82.516
3070.000000	82.687
3110.000000	82.837
3150.000000	82.925
3200.000000	83.000
3250.000000	83.056
3300.000000	83.059
3350.000000	82.953
3400.000000	82.701
3450.000000	82.294
3500.000000	81.750
3550.000000	81.106
3600.000000	80.408
3650.000000	79.702
3700.000000	79.024
3750.000000	78.377
3820.000000	77.483
3870.000000	76.832
3950.000000	75.847
4000.000000	75.359
4060.000000	74.999
4120.000000	74.937
4180.000000	75.167
4250.000000	75.718
4310.000000	76.333
4370.000000	76.995
4440.000000	77.741
4500.000000	78.297
4550.000000	78.663
4620.000000	78.980
4680.000000	79.041
4750.000000	78.857
4820.000000	78.411
4870.000000	77.953
4940.000000	77.161
5000.000000	76.393
5080.000000	75.341
5150.000000	74.502
5220.000000	73.853
5300.000000	73.476
5380.000000	73.565
5450.000000	73.992
5520.000000	74.646
5600.000000	75.550
5700.000000	76.774
5800.000000	78.004
5900.000000	79.170
6000.000000	80.232
6080.000000	80.996
6150.000000	81.598
6220.000000	82.135
6300.000000	82.668
6400.000000	83.196
6500.000000	83.524
6600.000000	83.591
6700.000000	83.360
6800.000000	82.844
6900.000000	82.100
7000.000000	81.219
7100.000000	80.297
7200.000000	79.429
7300.000000	78.693
7400.000000	78.133
7500.000000	77.749
7620.000000	77.433
7750.000000	77.107
7880.000000	76.688
8000.000000	76.241
8120.000000	75.806
8250.000000	75.383
8380.000000	74.979
8500.000000	74.575
8620.000000	74.104
8750.000000	73.489
8850.000000	72.943
9000.000000	72.102
9120.000000	71.602
9250.000000	71.446
9380.000000	71.706
9500.000000	72.172
9620.000000	72.701
9750.000000	73.228
9880.000000	73.636
10000.000000	73.883
10150.000000	74.026
10300.000000	74.009
10440.000000	73.847
10600.000000	73.460
10750.000000	72.873
10900.000000	72.068
11060.000000	71.023
11200.000000	70.035
11380.000000	68.837
11500.000000	68.199
11720.000000	67.673
11800.000000	67.755
12060.000000	69.020
12200.000000	70.088
12410.000000	71.654
12500.000000	72.206
12650.000000	72.893
