* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02-Oct-2023 12:51:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Melody L deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.397	31.6903
20.299999	76.437	31.1714
20.600000	76.477	30.6531
20.900000	76.518	30.1356
21.200001	76.560	29.6138
21.400000	76.589	29.2565
21.799999	76.647	28.5081
22.000000	76.673	28.1153
22.400000	76.719	27.3017
22.700001	76.744	26.6917
23.000000	76.761	26.1126
23.299999	76.773	25.5868
23.600000	76.784	25.1221
24.000000	76.803	24.5877
24.299999	76.824	24.2232
24.700001	76.863	23.7381
25.000000	76.896	23.3464
25.400000	76.941	22.7713
25.799999	76.978	22.1517
26.200001	77.006	21.5248
26.500000	77.021	21.0699
26.900000	77.037	20.4925
27.200001	77.047	20.0765
27.600000	77.058	19.5339
28.000000	77.065	19.0030
28.500000	77.069	18.3787
29.000000	77.073	17.8216
29.500000	77.086	17.3036
30.000000	77.109	16.7555
30.400000	77.128	16.2723
30.700001	77.141	15.8925
31.100000	77.156	15.3852
31.500000	77.170	14.8860
32.000000	77.189	14.2558
32.500000	77.205	13.5991
33.000000	77.210	12.9591
33.500000	77.207	12.4135
34.000000	77.211	11.9774
34.500000	77.228	11.5654
35.000000	77.251	11.0957
35.500000	77.265	10.5832
36.000000	77.266	10.1097
36.500000	77.265	9.7081
37.000000	77.269	9.3285
37.500000	77.272	8.9198
38.200001	77.265	8.3322
38.700001	77.256	7.9453
39.500000	77.246	7.3125
40.000000	77.235	6.8779
40.599998	77.213	6.3886
41.200001	77.194	5.9902
41.799999	77.192	5.6082
42.500000	77.201	5.0653
43.099998	77.202	4.5387
43.700001	77.196	4.0183
44.400002	77.180	3.4562
45.000000	77.160	3.0566
45.500000	77.146	2.8016
46.200001	77.141	2.4940
46.799999	77.145	2.1876
47.500000	77.146	1.7936
48.200001	77.151	1.3949
48.700001	77.159	1.0457
49.400002	77.157	0.4126
50.000000	77.128	-0.1289
50.799999	77.078	-0.6206
51.500000	77.059	-0.9568
52.200001	77.051	-1.3967
53.000000	77.028	-1.9219
53.799999	77.008	-2.3369
54.500000	77.004	-2.7286
55.200001	76.994	-3.2025
56.000000	76.966	-3.7237
57.000000	76.926	-4.2664
58.000000	76.886	-4.7837
59.000000	76.847	-5.2679
60.000000	76.817	-5.7603
60.799999	76.792	-6.1880
61.500000	76.766	-6.5351
62.200001	76.745	-6.8332
63.000000	76.730	-7.1837
64.000000	76.704	-7.6822
65.000000	76.662	-8.0343
66.000000	76.641	-8.2824
67.000000	76.627	-8.6780
68.000000	76.590	-9.1298
69.000000	76.543	-9.5259
70.000000	76.499	-9.8989
71.000000	76.457	-10.2840
72.000000	76.419	-10.6462
73.000000	76.389	-11.0290
74.000000	76.352	-11.3733
75.000000	76.329	-11.5882
76.199997	76.321	-11.9956
77.500000	76.261	-12.4863
78.800003	76.195	-12.6306
80.000000	76.164	-12.8118
81.199997	76.128	-13.1165
82.500000	76.090	-13.4796
83.800003	76.055	-13.9462
85.000000	76.006	-14.3891
86.199997	75.955	-14.7066
87.500000	75.911	-14.9834
88.500000	75.885	-15.2247
90.000000	75.836	-15.7180
91.199997	75.775	-16.0623
92.500000	75.717	-16.3327
93.800003	75.671	-16.6216
95.000000	75.633	-16.9135
96.199997	75.592	-17.2259
97.500000	75.541	-17.5247
98.800003	75.488	-17.7721
100.000000	75.441	-17.9654
101.500000	75.388	-18.2089
103.000000	75.335	-18.5198
104.400002	75.277	-18.8111
106.000000	75.212	-19.0836
107.500000	75.156	-19.3373
109.000000	75.097	-19.5848
110.599998	75.036	-19.8232
112.000000	74.986	-20.0519
113.800003	74.921	-20.3967
115.000000	74.874	-20.6254
117.199997	74.795	-20.9669
118.000000	74.767	-21.0810
120.599998	74.665	-21.3748
122.000000	74.607	-21.4854
124.099998	74.524	-21.6830
125.000000	74.491	-21.7976
126.500000	74.435	-22.0050
128.000000	74.382	-22.1827
131.500000	74.264	-22.4923
132.000000	74.247	-22.5290
134.000000	74.177	-22.6957
136.000000	74.107	-22.8898
138.000000	74.040	-23.0857
140.000000	73.969	-23.2227
143.000000	73.864	-23.3262
145.000000	73.796	-23.4266
147.500000	73.710	-23.5787
150.000000	73.627	-23.7173
152.500000	73.541	-23.8463
155.000000	73.453	-23.9406
157.500000	73.374	-24.0209
160.000000	73.299	-24.1333
162.500000	73.221	-24.2479
165.000000	73.138	-24.2907
167.500000	73.058	-24.3189
170.000000	72.973	-24.4193
172.500000	72.881	-24.5237
175.000000	72.803	-24.5784
177.500000	72.736	-24.5933
180.000000	72.671	-24.5890
182.500000	72.599	-24.5778
185.000000	72.530	-24.5709
187.500000	72.462	-24.5537
190.000000	72.393	-24.4891
192.500000	72.321	-24.4474
195.000000	72.243	-24.4464
197.500000	72.171	-24.4405
200.000000	72.103	-24.4021
203.000000	72.023	-24.3515
206.000000	71.940	-24.3568
209.000000	71.859	-24.3051
212.000000	71.786	-24.1764
214.000000	71.740	-24.1044
218.000000	71.643	-24.0150
220.000000	71.592	-23.9406
224.000000	71.488	-23.7666
227.000000	71.414	-23.6473
230.000000	71.349	-23.5167
233.000000	71.284	-23.4260
236.000000	71.211	-23.3764
240.000000	71.114	-23.2367
243.000000	71.049	-23.0889
247.000000	70.968	-22.9184
250.000000	70.908	-22.7743
254.000000	70.813	-22.5489
258.000000	70.707	-22.2838
262.000000	70.622	-22.0807
265.000000	70.563	-21.9902
269.000000	70.484	-21.8017
272.000000	70.427	-21.6012
276.000000	70.358	-21.3654
280.000000	70.290	-21.1398
285.000000	70.194	-20.8562
290.000000	70.091	-20.5644
295.000000	69.989	-20.2198
300.000000	69.902	-19.8068
304.000000	69.844	-19.5012
307.000000	69.796	-19.3007
311.000000	69.728	-19.0906
315.000000	69.651	-18.8685
320.000000	69.551	-18.4674
325.000000	69.470	-18.1046
330.000000	69.393	-17.7403
335.000000	69.307	-17.3863
340.000000	69.233	-17.0108
345.000000	69.167	-16.5830
350.000000	69.083	-16.1566
355.000000	68.998	-15.7160
360.000000	68.924	-15.2808
365.000000	68.857	-14.8654
370.000000	68.794	-14.3613
375.000000	68.736	-13.8614
382.000000	68.660	-13.1779
387.000000	68.615	-12.6927
395.000000	68.570	-12.0608
400.000000	68.537	-11.7757
406.000000	68.480	-11.4032
412.000000	68.417	-11.0094
418.000000	68.361	-10.6474
425.000000	68.290	-10.2036
431.000000	68.226	-9.7667
437.000000	68.153	-9.2807
444.000000	68.076	-8.6959
450.000000	68.020	-8.2067
455.000000	67.973	-7.8028
462.000000	67.905	-7.2473
468.000000	67.846	-6.8137
475.000000	67.783	-6.3084
482.000000	67.725	-5.7545
487.000000	67.685	-5.3451
494.000000	67.626	-4.7186
500.000000	67.570	-4.1887
508.000000	67.502	-3.5162
515.000000	67.448	-2.9435
522.000000	67.402	-2.3935
530.000000	67.338	-1.6954
538.000000	67.278	-1.0307
545.000000	67.241	-0.5063
552.000000	67.208	0.0623
560.000000	67.158	0.7908
570.000000	67.098	1.7137
580.000000	67.044	2.5544
590.000000	66.984	3.4000
600.000000	66.930	4.3051
608.000000	66.899	5.0087
615.000000	66.874	5.6259
622.000000	66.850	6.2613
630.000000	66.810	6.9789
640.000000	66.750	7.8346
650.000000	66.709	8.7323
660.000000	66.683	9.6659
670.000000	66.661	10.4965
680.000000	66.640	11.3853
690.000000	66.607	12.3553
700.000000	66.575	13.2607
710.000000	66.555	14.1418
720.000000	66.540	14.9895
730.000000	66.524	15.8890
740.000000	66.518	16.7982
750.000000	66.507	17.7557
762.000000	66.500	18.8246
775.000000	66.500	19.9394
788.000000	66.498	21.2025
800.000000	66.499	22.3576
812.000000	66.514	23.4571
825.000000	66.535	24.6037
838.000000	66.560	25.7985
850.000000	66.597	26.9306
862.000000	66.638	28.0201
875.000000	66.694	29.2063
885.000000	66.742	30.0824
900.000000	66.811	31.2889
912.000000	66.869	32.2134
925.000000	66.939	33.2110
938.000000	67.005	34.2070
950.000000	67.068	35.1116
962.000000	67.144	35.9777
975.000000	67.240	36.9019
988.000000	67.347	37.8729
1000.000000	67.445	38.7474
1015.000000	67.548	39.6504
1030.000000	67.650	40.4081
1044.000000	67.756	41.1008
1060.000000	67.878	41.8883
1075.000000	67.989	42.6104
1090.000000	68.104	43.2996
1106.000000	68.229	43.9963
1120.000000	68.340	44.5361
1138.000000	68.478	45.1538
1150.000000	68.565	45.5561
1172.000000	68.725	46.2240
1180.000000	68.781	46.4301
1206.000000	68.947	47.0985
1220.000000	69.033	47.4232
1241.000000	69.164	47.8901
1250.000000	69.221	48.0925
1265.000000	69.310	48.4371
1280.000000	69.396	48.8096
1315.000000	69.578	49.6526
1320.000000	69.604	49.7600
1340.000000	69.710	50.1592
1360.000000	69.815	50.5647
1380.000000	69.919	50.9682
1400.000000	70.022	51.3677
1430.000000	70.178	52.0153
1450.000000	70.286	52.4644
1475.000000	70.420	52.9805
1500.000000	70.548	53.4637
1525.000000	70.676	53.9365
1550.000000	70.812	54.3696
1575.000000	70.947	54.8433
1600.000000	71.086	55.2704
1625.000000	71.227	55.6319
1650.000000	71.366	56.0050
1675.000000	71.509	56.3614
1700.000000	71.654	56.6833
1725.000000	71.798	56.9353
1750.000000	71.941	57.1617
1775.000000	72.085	57.3956
1800.000000	72.233	57.5852
1825.000000	72.383	57.7216
1850.000000	72.531	57.8394
1875.000000	72.680	57.9733
1900.000000	72.825	58.0897
1925.000000	72.968	58.1540
1950.000000	73.113	58.1787
1975.000000	73.261	58.1690
2000.000000	73.410	58.1303
2030.000000	73.593	58.0915
2060.000000	73.774	58.0157
2090.000000	73.951	57.8682
2120.000000	74.131	57.6705
2140.000000	74.253	57.5192
2180.000000	74.495	57.1616
2200.000000	74.616	56.9650
2240.000000	74.856	56.5145
2270.000000	75.039	56.0975
2300.000000	75.225	55.6215
2330.000000	75.414	55.0759
2360.000000	75.600	54.4584
2400.000000	75.850	53.5260
2430.000000	76.038	52.7333
2470.000000	76.283	51.5145
2500.000000	76.463	50.4641
2540.000000	76.696	48.8839
2580.000000	76.909	47.0852
2620.000000	77.098	45.0844
2650.000000	77.219	43.4616
2690.000000	77.345	41.1646
2720.000000	77.410	39.3567
2760.000000	77.460	36.8810
2800.000000	77.464	34.3986
2850.000000	77.404	31.3780
2900.000000	77.281	28.5295
2950.000000	77.103	25.9101
3000.000000	76.883	23.5683
3040.000000	76.682	21.9270
3070.000000	76.520	20.8265
3110.000000	76.293	19.5374
3150.000000	76.059	18.4442
3200.000000	75.762	17.3119
3250.000000	75.466	16.4431
3300.000000	75.178	15.7970
3350.000000	74.897	15.3296
3400.000000	74.627	15.0527
3450.000000	74.363	14.9723
3500.000000	74.106	15.0330
3550.000000	73.859	15.2019
3600.000000	73.626	15.4992
3650.000000	73.412	15.9043
3700.000000	73.211	16.3760
3750.000000	73.020	16.9291
3820.000000	72.778	17.8552
3870.000000	72.620	18.5925
3950.000000	72.387	19.8771
4000.000000	72.257	20.7425
4060.000000	72.116	21.8408
4120.000000	71.990	23.0342
4180.000000	71.879	24.3489
4250.000000	71.778	26.0119
4310.000000	71.716	27.5261
4370.000000	71.687	29.1115
4440.000000	71.705	31.0803
4500.000000	71.774	32.8166
4550.000000	71.875	34.2321
4620.000000	72.091	36.0414
4680.000000	72.336	37.2711
4750.000000	72.658	38.1471
4820.000000	72.982	38.3806
4870.000000	73.201	38.2531
4940.000000	73.480	37.8546
5000.000000	73.702	37.3707
5080.000000	73.995	36.5011
5150.000000	74.264	35.4180
5220.000000	74.529	33.9000
5300.000000	74.786	31.5434
5380.000000	74.956	28.6588
5450.000000	75.019	25.8777
5520.000000	74.999	23.0211
5600.000000	74.877	19.8558
5700.000000	74.601	16.2492
5800.000000	74.215	13.2270
5900.000000	73.757	10.8919
6000.000000	73.261	9.2713
6080.000000	72.849	8.4467
6150.000000	72.491	8.0508
6220.000000	72.144	7.9319
6300.000000	71.769	8.0803
6400.000000	71.338	8.6038
6500.000000	70.949	9.3600
6600.000000	70.596	10.3061
6700.000000	70.282	11.4027
6800.000000	69.998	12.6585
6900.000000	69.735	13.9384
7000.000000	69.492	15.2602
7100.000000	69.268	16.7589
7200.000000	69.077	18.4376
7300.000000	68.923	20.2141
7400.000000	68.798	21.9055
7500.000000	68.671	23.5070
7620.000000	68.486	25.6924
7750.000000	68.322	28.9531
7880.000000	68.337	32.8883
8000.000000	68.537	36.4289
8120.000000	68.879	39.5916
8250.000000	69.399	42.2771
8380.000000	70.042	43.8443
8500.000000	70.658	43.9164
8620.000000	71.204	42.7744
8750.000000	71.693	40.7480
8850.000000	72.021	38.8713
9000.000000	72.464	35.4004
9120.000000	72.725	31.7000
9250.000000	72.817	26.9375
9380.000000	72.667	22.2336
9500.000000	72.347	18.6736
