* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 11-Jun-2023 01:29:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cadenza 12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.570	177.9940
20.299999	79.585	177.7928
20.600000	79.597	177.5036
20.900000	79.599	177.1382
21.200001	79.586	176.7383
21.400000	79.569	176.4854
21.799999	79.519	176.0615
22.000000	79.491	175.9058
22.400000	79.442	175.7014
22.700001	79.416	175.5959
23.000000	79.403	175.4738
23.299999	79.396	175.2972
23.600000	79.391	175.0576
24.000000	79.378	174.6630
24.299999	79.359	174.3513
24.700001	79.326	173.9661
25.000000	79.298	173.7190
25.400000	79.262	173.4452
25.799999	79.230	173.2190
26.200001	79.202	173.0291
26.500000	79.184	172.9073
26.900000	79.165	172.7651
27.200001	79.156	172.6608
27.600000	79.147	172.5043
28.000000	79.138	172.3163
28.500000	79.120	172.0578
29.000000	79.095	171.8209
29.500000	79.070	171.6132
30.000000	79.048	171.3872
30.400000	79.028	171.1695
30.700001	79.009	170.9920
31.100000	78.978	170.7628
31.500000	78.946	170.5587
32.000000	78.909	170.3210
32.500000	78.877	170.0508
33.000000	78.840	169.7415
33.500000	78.796	169.4633
34.000000	78.755	169.2793
34.500000	78.731	169.1452
35.000000	78.725	168.9517
35.500000	78.720	168.6474
36.000000	78.701	168.3069
36.500000	78.671	168.0399
37.000000	78.645	167.8710
37.500000	78.631	167.7215
38.200001	78.615	167.4150
38.700001	78.590	167.1676
39.500000	78.532	166.9252
40.000000	78.503	166.8613
40.599998	78.478	166.7766
41.200001	78.455	166.6416
41.799999	78.428	166.4907
42.500000	78.396	166.3203
43.099998	78.369	166.1628
43.700001	78.340	166.0016
44.400002	78.305	165.8323
45.000000	78.278	165.6888
45.500000	78.255	165.5539
46.200001	78.217	165.3589
46.799999	78.181	165.2175
47.500000	78.140	165.0824
48.200001	78.102	164.9544
48.700001	78.077	164.8608
49.400002	78.045	164.7147
50.000000	78.019	164.5600
50.799999	77.977	164.3443
51.500000	77.938	164.2172
52.200001	77.910	164.1406
53.000000	77.889	164.0081
53.799999	77.862	163.8105
54.500000	77.826	163.6796
55.200001	77.788	163.6246
56.000000	77.751	163.5925
57.000000	77.703	163.5406
58.000000	77.655	163.4728
59.000000	77.604	163.3430
60.000000	77.548	163.2156
60.799999	77.507	163.1211
61.500000	77.475	163.0201
62.200001	77.442	162.9255
63.000000	77.409	162.8380
64.000000	77.371	162.7194
65.000000	77.326	162.6478
66.000000	77.287	162.6691
67.000000	77.256	162.6774
68.000000	77.223	162.6443
69.000000	77.186	162.6077
70.000000	77.151	162.5561
71.000000	77.117	162.4759
72.000000	77.084	162.3784
73.000000	77.050	162.2816
74.000000	77.019	162.2032
75.000000	76.992	162.1429
76.199997	76.968	162.0488
77.500000	76.940	161.8895
78.800003	76.901	161.7247
80.000000	76.856	161.6516
81.199997	76.817	161.6745
82.500000	76.783	161.7121
83.800003	76.749	161.7351
85.000000	76.711	161.7441
86.199997	76.666	161.7845
87.500000	76.620	161.8740
88.500000	76.590	161.9353
90.000000	76.553	161.9738
91.199997	76.526	161.9662
92.500000	76.499	161.9183
93.800003	76.468	161.8429
95.000000	76.436	161.7780
96.199997	76.403	161.7136
97.500000	76.363	161.6525
98.800003	76.324	161.6268
100.000000	76.291	161.6278
101.500000	76.257	161.6296
103.000000	76.225	161.6202
104.400002	76.193	161.6100
106.000000	76.155	161.6168
107.500000	76.121	161.6367
109.000000	76.089	161.6554
110.599998	76.057	161.6564
112.000000	76.027	161.6421
113.800003	75.983	161.6543
115.000000	75.954	161.6975
117.199997	75.914	161.7845
118.000000	75.902	161.7955
120.599998	75.855	161.7729
122.000000	75.824	161.7716
124.099998	75.777	161.8203
125.000000	75.759	161.8528
126.500000	75.734	161.8979
128.000000	75.710	161.9172
131.500000	75.650	161.9462
132.000000	75.642	161.9568
134.000000	75.609	162.0093
136.000000	75.576	162.0673
138.000000	75.542	162.1293
140.000000	75.507	162.1891
143.000000	75.455	162.2828
145.000000	75.421	162.3549
147.500000	75.377	162.4367
150.000000	75.333	162.5163
152.500000	75.291	162.5798
155.000000	75.250	162.6367
157.500000	75.210	162.7045
160.000000	75.175	162.7670
162.500000	75.142	162.8314
165.000000	75.112	162.9260
167.500000	75.082	163.0296
170.000000	75.049	163.1287
172.500000	75.017	163.2082
175.000000	74.987	163.2489
177.500000	74.958	163.3031
180.000000	74.929	163.3944
182.500000	74.900	163.4984
185.000000	74.871	163.5840
187.500000	74.842	163.6567
190.000000	74.816	163.7412
192.500000	74.787	163.8366
195.000000	74.758	163.9271
197.500000	74.730	164.0154
200.000000	74.706	164.1132
203.000000	74.676	164.2296
206.000000	74.644	164.3247
209.000000	74.613	164.4205
212.000000	74.586	164.5244
214.000000	74.567	164.5893
218.000000	74.527	164.7256
220.000000	74.510	164.8040
224.000000	74.478	164.9434
227.000000	74.450	165.0325
230.000000	74.422	165.1381
233.000000	74.398	165.2476
236.000000	74.373	165.3422
240.000000	74.340	165.4595
243.000000	74.315	165.5515
247.000000	74.284	165.6981
250.000000	74.260	165.8209
254.000000	74.226	165.9648
258.000000	74.193	166.0970
262.000000	74.161	166.2417
265.000000	74.139	166.3401
269.000000	74.108	166.4577
272.000000	74.085	166.5500
276.000000	74.054	166.6855
280.000000	74.028	166.8422
285.000000	73.996	167.0240
290.000000	73.963	167.1837
295.000000	73.928	167.3489
300.000000	73.891	167.4895
304.000000	73.864	167.6365
307.000000	73.843	167.7622
311.000000	73.813	167.9066
315.000000	73.787	168.0345
320.000000	73.755	168.2136
325.000000	73.720	168.3896
330.000000	73.687	168.5721
335.000000	73.658	168.7578
340.000000	73.629	168.9619
345.000000	73.597	169.1808
350.000000	73.568	169.3854
355.000000	73.543	169.5858
360.000000	73.522	169.7897
365.000000	73.503	169.9869
370.000000	73.486	170.1729
375.000000	73.467	170.3393
382.000000	73.437	170.5223
387.000000	73.418	170.6552
395.000000	73.384	170.8900
400.000000	73.363	171.0352
406.000000	73.338	171.2151
412.000000	73.311	171.3864
418.000000	73.284	171.5627
425.000000	73.253	171.7502
431.000000	73.224	171.9059
437.000000	73.193	172.0862
444.000000	73.160	172.2987
450.000000	73.130	172.4840
455.000000	73.104	172.6381
462.000000	73.069	172.8438
468.000000	73.039	173.0195
475.000000	73.004	173.2426
482.000000	72.971	173.4747
487.000000	72.949	173.6368
494.000000	72.915	173.8627
500.000000	72.888	174.0593
508.000000	72.853	174.3204
515.000000	72.823	174.5616
522.000000	72.791	174.8031
530.000000	72.755	175.0675
538.000000	72.717	175.3495
545.000000	72.685	175.6102
552.000000	72.655	175.8827
560.000000	72.619	176.2143
570.000000	72.576	176.6075
580.000000	72.536	176.9883
590.000000	72.497	177.3925
600.000000	72.460	177.8138
608.000000	72.429	178.1530
615.000000	72.403	178.4445
622.000000	72.375	178.7473
630.000000	72.343	179.1161
640.000000	72.305	179.5966
650.000000	72.266	-179.9139
660.000000	72.232	-179.4258
670.000000	72.205	-178.9579
680.000000	72.174	-178.4831
690.000000	72.142	-177.9452
700.000000	72.114	-177.3625
710.000000	72.086	-176.7738
720.000000	72.060	-176.1828
730.000000	72.038	-175.6034
740.000000	72.021	-175.0153
750.000000	72.007	-174.3754
762.000000	71.993	-173.5758
775.000000	71.986	-172.7081
788.000000	71.987	-171.8470
800.000000	71.997	-171.0612
812.000000	72.014	-170.2413
825.000000	72.040	-169.3414
838.000000	72.077	-168.4839
850.000000	72.118	-167.7094
862.000000	72.168	-166.9391
875.000000	72.227	-166.1414
885.000000	72.275	-165.5509
900.000000	72.353	-164.6889
912.000000	72.424	-164.0400
925.000000	72.505	-163.3854
938.000000	72.590	-162.7757
950.000000	72.673	-162.2528
962.000000	72.759	-161.7530
975.000000	72.853	-161.2496
988.000000	72.948	-160.8151
1000.000000	73.038	-160.4489
1015.000000	73.150	-160.0141
1030.000000	73.264	-159.6378
1044.000000	73.369	-159.3402
1060.000000	73.488	-159.0497
1075.000000	73.598	-158.8192
1090.000000	73.703	-158.6309
1106.000000	73.811	-158.4762
