* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02-Aug-2023 17:53:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Solis 2 UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.714	-0.0468
20.299999	79.642	-0.3104
20.600000	79.580	-0.4028
20.900000	79.541	-0.3615
21.200001	79.534	-0.2612
21.400000	79.551	-0.2280
21.799999	79.624	-0.3821
22.000000	79.671	-0.6316
22.400000	79.754	-1.5397
22.700001	79.777	-2.5016
23.000000	79.748	-3.5275
23.299999	79.669	-4.4000
23.600000	79.562	-4.9652
24.000000	79.424	-5.1558
24.299999	79.365	-5.0115
24.700001	79.369	-4.8091
25.000000	79.413	-4.9105
25.400000	79.471	-5.5163
25.799999	79.470	-6.4503
26.200001	79.394	-7.2855
26.500000	79.309	-7.6402
26.900000	79.203	-7.7019
27.200001	79.155	-7.5589
27.600000	79.142	-7.3683
28.000000	79.162	-7.4080
28.500000	79.178	-7.8205
29.000000	79.148	-8.3575
29.500000	79.088	-8.7545
30.000000	79.030	-8.9819
30.400000	78.996	-9.1322
30.700001	78.977	-9.2661
31.100000	78.953	-9.4828
31.500000	78.930	-9.7278
32.000000	78.904	-10.0609
32.500000	78.883	-10.4599
33.000000	78.856	-10.9586
33.500000	78.807	-11.4813
34.000000	78.737	-11.8444
34.500000	78.676	-11.9375
35.000000	78.659	-11.8812
35.500000	78.687	-11.9720
36.000000	78.722	-12.3978
36.500000	78.720	-13.0609
37.000000	78.665	-13.6648
37.500000	78.581	-13.9937
38.200001	78.483	-14.0476
38.700001	78.441	-14.0237
39.500000	78.390	-14.1411
40.000000	78.352	-14.2617
40.599998	78.304	-14.3937
41.200001	78.262	-14.5502
41.799999	78.218	-14.7763
42.500000	78.154	-15.0460
43.099998	78.100	-15.1766
43.700001	78.067	-15.2955
44.400002	78.037	-15.6115
45.000000	77.984	-15.9462
45.500000	77.923	-16.0671
46.200001	77.860	-15.9582
46.799999	77.847	-15.8829
47.500000	77.836	-16.0547
48.200001	77.792	-16.3193
48.700001	77.747	-16.4476
49.400002	77.678	-16.5355
50.000000	77.620	-16.5319
50.799999	77.565	-16.4538
51.500000	77.546	-16.5244
52.200001	77.524	-16.8470
53.000000	77.461	-17.3028
53.799999	77.381	-17.5803
54.500000	77.323	-17.7007
55.200001	77.278	-17.7975
56.000000	77.232	-17.8616
57.000000	77.199	-17.8638
58.000000	77.183	-18.0228
59.000000	77.132	-18.3128
60.000000	77.043	-18.4625
60.799999	76.962	-18.3919
61.500000	76.902	-18.2024
62.200001	76.864	-17.9920
63.000000	76.844	-17.8703
64.000000	76.819	-17.9574
65.000000	76.773	-18.1227
66.000000	76.723	-18.2107
67.000000	76.681	-18.2819
68.000000	76.639	-18.3697
69.000000	76.590	-18.4934
70.000000	76.523	-18.5621
