* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 26-Jul-2023 09:45:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starfield 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	73.234
20.299999	73.250
20.600000	73.267
20.900000	73.288
21.200001	73.316
21.400000	73.337
21.799999	73.382
22.000000	73.403
22.400000	73.438
22.700001	73.459
23.000000	73.475
23.299999	73.489
23.600000	73.502
24.000000	73.521
24.299999	73.534
24.700001	73.549
25.000000	73.557
25.400000	73.562
25.799999	73.558
26.200001	73.548
26.500000	73.537
26.900000	73.520
27.200001	73.507
27.600000	73.492
28.000000	73.480
28.500000	73.471
29.000000	73.466
29.500000	73.462
30.000000	73.458
30.400000	73.457
30.700001	73.457
31.100000	73.459
31.500000	73.463
32.000000	73.471
32.500000	73.480
33.000000	73.487
33.500000	73.491
34.000000	73.492
34.500000	73.492
35.000000	73.492
35.500000	73.493
36.000000	73.496
36.500000	73.501
37.000000	73.505
37.500000	73.506
38.200001	73.504
38.700001	73.499
39.500000	73.490
40.000000	73.486
40.599998	73.484
41.200001	73.484
41.799999	73.486
42.500000	73.490
43.099998	73.493
43.700001	73.495
44.400002	73.495
45.000000	73.493
45.500000	73.491
46.200001	73.487
46.799999	73.483
47.500000	73.477
48.200001	73.470
48.700001	73.465
49.400002	73.455
50.000000	73.446
50.799999	73.431
51.500000	73.416
52.200001	73.400
53.000000	73.381
53.799999	73.362
54.500000	73.345
55.200001	73.330
56.000000	73.312
57.000000	73.291
58.000000	73.270
59.000000	73.250
60.000000	73.230
60.799999	73.214
61.500000	73.200
62.200001	73.186
63.000000	73.170
64.000000	73.149
65.000000	73.129
66.000000	73.107
67.000000	73.085
68.000000	73.062
69.000000	73.039
70.000000	73.017
71.000000	72.994
72.000000	72.971
73.000000	72.949
74.000000	72.926
75.000000	72.903
76.199997	72.875
77.500000	72.844
78.800003	72.813
80.000000	72.784
81.199997	72.755
82.500000	72.723
83.800003	72.691
85.000000	72.662
86.199997	72.632
87.500000	72.599
88.500000	72.573
90.000000	72.534
91.199997	72.502
92.500000	72.468
93.800003	72.434
95.000000	72.402
96.199997	72.371
97.500000	72.337
98.800003	72.303
100.000000	72.271
101.500000	72.231
103.000000	72.191
104.400002	72.153
106.000000	72.110
107.500000	72.069
109.000000	72.029
110.599998	71.986
112.000000	71.949
113.800003	71.902
115.000000	71.870
117.199997	71.813
118.000000	71.792
120.599998	71.724
122.000000	71.686
124.099998	71.630
125.000000	71.606
126.500000	71.565
128.000000	71.525
131.500000	71.428
132.000000	71.414
134.000000	71.358
136.000000	71.301
138.000000	71.243
140.000000	71.183
143.000000	71.091
145.000000	71.030
147.500000	70.953
150.000000	70.879
152.500000	70.809
155.000000	70.746
157.500000	70.693
160.000000	70.651
162.500000	70.619
165.000000	70.594
167.500000	70.573
170.000000	70.552
172.500000	70.527
175.000000	70.496
177.500000	70.460
180.000000	70.418
182.500000	70.371
185.000000	70.322
187.500000	70.271
190.000000	70.218
192.500000	70.165
195.000000	70.112
197.500000	70.059
200.000000	70.006
203.000000	69.944
206.000000	69.882
209.000000	69.822
212.000000	69.763
214.000000	69.725
218.000000	69.651
220.000000	69.615
224.000000	69.545
227.000000	69.493
230.000000	69.442
233.000000	69.392
236.000000	69.343
240.000000	69.279
243.000000	69.232
247.000000	69.170
250.000000	69.124
254.000000	69.064
258.000000	69.006
262.000000	68.948
265.000000	68.906
269.000000	68.850
272.000000	68.808
276.000000	68.754
280.000000	68.700
285.000000	68.634
290.000000	68.570
295.000000	68.508
300.000000	68.448
304.000000	68.400
307.000000	68.365
311.000000	68.319
315.000000	68.273
320.000000	68.217
325.000000	68.161
330.000000	68.106
335.000000	68.053
340.000000	68.001
345.000000	67.950
350.000000	67.902
355.000000	67.855
360.000000	67.810
365.000000	67.766
370.000000	67.723
375.000000	67.681
382.000000	67.624
387.000000	67.585
395.000000	67.523
400.000000	67.486
406.000000	67.442
412.000000	67.399
418.000000	67.358
425.000000	67.311
431.000000	67.272
437.000000	67.233
444.000000	67.190
450.000000	67.154
455.000000	67.124
462.000000	67.084
468.000000	67.051
475.000000	67.014
482.000000	66.977
487.000000	66.952
494.000000	66.919
500.000000	66.891
508.000000	66.856
515.000000	66.826
522.000000	66.798
530.000000	66.765
538.000000	66.734
545.000000	66.707
552.000000	66.681
560.000000	66.651
570.000000	66.616
580.000000	66.583
590.000000	66.552
600.000000	66.524
608.000000	66.504
615.000000	66.488
622.000000	66.472
630.000000	66.457
640.000000	66.439
650.000000	66.425
660.000000	66.412
670.000000	66.402
680.000000	66.395
690.000000	66.390
700.000000	66.387
710.000000	66.388
720.000000	66.390
730.000000	66.396
740.000000	66.405
750.000000	66.416
762.000000	66.433
775.000000	66.457
788.000000	66.486
800.000000	66.517
812.000000	66.553
825.000000	66.597
838.000000	66.647
850.000000	66.699
862.000000	66.755
875.000000	66.822
885.000000	66.878
900.000000	66.967
912.000000	67.044
925.000000	67.131
938.000000	67.224
950.000000	67.313
962.000000	67.406
975.000000	67.509
988.000000	67.616
1000.000000	67.717
1015.000000	67.846
1030.000000	67.977
1044.000000	68.102
1060.000000	68.245
1075.000000	68.380
1090.000000	68.515
1106.000000	68.657
1120.000000	68.780
1138.000000	68.936
1150.000000	69.039
1172.000000	69.222
1180.000000	69.287
1206.000000	69.493
1220.000000	69.600
1241.000000	69.756
1250.000000	69.821
1265.000000	69.928
1280.000000	70.032
1315.000000	70.265
1320.000000	70.298
1340.000000	70.424
1360.000000	70.548
1380.000000	70.669
1400.000000	70.787
1430.000000	70.961
1450.000000	71.076
1475.000000	71.217
1500.000000	71.357
1525.000000	71.497
1550.000000	71.636
1575.000000	71.775
1600.000000	71.915
1625.000000	72.055
1650.000000	72.195
1675.000000	72.337
1700.000000	72.480
1725.000000	72.625
1750.000000	72.772
1775.000000	72.920
1800.000000	73.070
1825.000000	73.221
1850.000000	73.374
1875.000000	73.529
1900.000000	73.686
1925.000000	73.843
1950.000000	74.003
1975.000000	74.163
2000.000000	74.325
2030.000000	74.520
2060.000000	74.716
2090.000000	74.913
2120.000000	75.110
2140.000000	75.242
2180.000000	75.504
2200.000000	75.635
2240.000000	75.895
2270.000000	76.087
2300.000000	76.277
2330.000000	76.462
2360.000000	76.643
2400.000000	76.877
2430.000000	77.044
2470.000000	77.257
2500.000000	77.408
2540.000000	77.595
2580.000000	77.767
2620.000000	77.921
2650.000000	78.025
2690.000000	78.148
2720.000000	78.229
2760.000000	78.320
2800.000000	78.393
2850.000000	78.459
2900.000000	78.498
2950.000000	78.513
3000.000000	78.506
3040.000000	78.486
3070.000000	78.463
3110.000000	78.424
3150.000000	78.377
3200.000000	78.309
3250.000000	78.232
3300.000000	78.150
3350.000000	78.065
3400.000000	77.979
3450.000000	77.895
3500.000000	77.813
3550.000000	77.736
3600.000000	77.663
3650.000000	77.597
3700.000000	77.537
3750.000000	77.483
3820.000000	77.419
3870.000000	77.383
3950.000000	77.341
4000.000000	77.325
4060.000000	77.313
4120.000000	77.307
4180.000000	77.305
4250.000000	77.301
4310.000000	77.294
4370.000000	77.280
4440.000000	77.251
4500.000000	77.214
4550.000000	77.176
4620.000000	77.120
4680.000000	77.073
4750.000000	77.005
4820.000000	76.912
4870.000000	76.831
4940.000000	76.694
5000.000000	76.556
5080.000000	76.344
5150.000000	76.134
5220.000000	75.906
5300.000000	75.627
5380.000000	75.337
5450.000000	75.078
5520.000000	74.819
5600.000000	74.527
5700.000000	74.173
5800.000000	73.835
5900.000000	73.518
6000.000000	73.229
6080.000000	73.021
6150.000000	72.859
6220.000000	72.717
6300.000000	72.582
6400.000000	72.460
6500.000000	72.394
6600.000000	72.391
6700.000000	72.455
6800.000000	72.589
6900.000000	72.795
7000.000000	73.070
7100.000000	73.407
7200.000000	73.792
7300.000000	74.210
7400.000000	74.637
7500.000000	75.050
7620.000000	75.494
7750.000000	75.869
7880.000000	76.098
8000.000000	76.159
8120.000000	76.066
8250.000000	75.795
8380.000000	75.356
8500.000000	74.817
8620.000000	74.170
8750.000000	73.371
8850.000000	72.705
9000.000000	71.655
9120.000000	70.801
9250.000000	69.890
9380.000000	69.018
9500.000000	68.269
9620.000000	67.588
9750.000000	66.938
9880.000000	66.389
10000.000000	65.976
10150.000000	65.592
10300.000000	65.354
10440.000000	65.263
10600.000000	65.308
10750.000000	65.483
10900.000000	65.767
11060.000000	66.162
11200.000000	66.554
11380.000000	67.079
11500.000000	67.418
11720.000000	67.990
11800.000000	68.183
12060.000000	68.791
12200.000000	69.123
12410.000000	69.601
12500.000000	69.776
12650.000000	69.994
12800.000000	70.093
13150.000000	69.806
13200.000000	69.711
13400.000000	69.225
13600.000000	68.624
13800.000000	67.982
14000.000000	67.374
14300.000000	66.675
14500.000000	66.418
14750.000000	66.352
15000.000000	66.516
15250.000000	66.804
15500.000000	67.098
15750.000000	67.298
16000.000000	67.336
16250.000000	67.183
16500.000000	66.839
16750.000000	66.329
17000.000000	65.687
17250.000000	64.947
17500.000000	64.130
17750.000000	63.240
18000.000000	62.266
18250.000000	61.194
18500.000000	60.010
18750.000000	58.713
19000.000000	57.312
19250.000000	55.836
19500.000000	54.348
19750.000000	53.012
