* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 26-Jul-2023 09:50:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starfield 2 bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	82.612
20.299999	82.575
20.600000	82.537
20.900000	82.500
21.200001	82.462
21.400000	82.438
21.799999	82.389
22.000000	82.366
22.400000	82.321
22.700001	82.288
23.000000	82.256
23.299999	82.225
23.600000	82.193
24.000000	82.147
24.299999	82.111
24.700001	82.058
25.000000	82.017
25.400000	81.959
25.799999	81.901
26.200001	81.843
26.500000	81.800
26.900000	81.743
27.200001	81.701
27.600000	81.647
28.000000	81.593
28.500000	81.526
29.000000	81.458
29.500000	81.388
30.000000	81.317
30.400000	81.259
30.700001	81.216
31.100000	81.160
31.500000	81.104
32.000000	81.035
32.500000	80.966
33.000000	80.898
33.500000	80.831
34.000000	80.767
34.500000	80.705
35.000000	80.645
35.500000	80.587
36.000000	80.530
36.500000	80.473
37.000000	80.414
37.500000	80.355
38.200001	80.270
38.700001	80.211
39.500000	80.120
40.000000	80.064
40.599998	79.998
41.200001	79.932
41.799999	79.864
42.500000	79.782
43.099998	79.711
43.700001	79.640
44.400002	79.558
45.000000	79.489
45.500000	79.435
46.200001	79.361
46.799999	79.299
47.500000	79.227
48.200001	79.155
48.700001	79.102
49.400002	79.027
50.000000	78.962
50.799999	78.876
51.500000	78.799
52.200001	78.724
53.000000	78.639
53.799999	78.557
54.500000	78.486
55.200001	78.417
56.000000	78.339
57.000000	78.242
58.000000	78.145
59.000000	78.047
60.000000	77.949
60.799999	77.871
61.500000	77.802
62.200001	77.733
63.000000	77.654
64.000000	77.555
65.000000	77.459
66.000000	77.364
67.000000	77.272
68.000000	77.182
69.000000	77.094
70.000000	77.007
71.000000	76.922
72.000000	76.837
73.000000	76.753
74.000000	76.669
75.000000	76.587
76.199997	76.489
77.500000	76.385
78.800003	76.283
80.000000	76.190
81.199997	76.098
82.500000	76.000
83.800003	75.904
85.000000	75.816
86.199997	75.730
87.500000	75.638
88.500000	75.569
90.000000	75.466
91.199997	75.385
92.500000	75.297
93.800003	75.211
95.000000	75.131
96.199997	75.053
97.500000	74.968
98.800003	74.885
100.000000	74.810
101.500000	74.717
103.000000	74.626
104.400002	74.541
106.000000	74.445
107.500000	74.356
109.000000	74.266
110.599998	74.172
112.000000	74.090
113.800003	73.986
115.000000	73.918
117.199997	73.796
118.000000	73.753
120.599998	73.613
122.000000	73.540
124.099998	73.431
125.000000	73.385
126.500000	73.310
128.000000	73.235
131.500000	73.065
132.000000	73.042
134.000000	72.948
136.000000	72.856
138.000000	72.766
140.000000	72.678
143.000000	72.547
