* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 04-Feb-2022 16:49:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = X2HR R VSG B = VSG to Crin
* Measurement: X2HR R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.143
20.299999	70.348
20.600000	70.539
20.900000	70.716
21.200001	70.879
21.400000	70.981
21.799999	71.170
22.000000	71.258
22.400000	71.424
22.700001	71.541
23.000000	71.654
23.299999	71.763
23.600000	71.868
24.000000	72.004
24.299999	72.105
24.700001	72.241
25.000000	72.345
25.400000	72.487
25.799999	72.634
26.200001	72.784
26.500000	72.897
26.900000	73.047
27.200001	73.158
27.600000	73.304
28.000000	73.448
28.500000	73.624
29.000000	73.795
29.500000	73.956
30.000000	74.106
30.400000	74.220
30.700001	74.304
31.100000	74.416
31.500000	74.530
32.000000	74.674
32.500000	74.819
33.000000	74.961
33.500000	75.097
34.000000	75.227
34.500000	75.351
35.000000	75.469
35.500000	75.583
36.000000	75.693
36.500000	75.799
37.000000	75.903
37.500000	76.004
38.200001	76.141
38.700001	76.236
39.500000	76.380
40.000000	76.463
40.599998	76.556
41.200001	76.641
41.799999	76.718
42.500000	76.800
43.099998	76.866
43.700001	76.931
44.400002	77.008
45.000000	77.075
45.500000	77.130
46.200001	77.203
46.799999	77.259
47.500000	77.319
48.200001	77.376
48.700001	77.416
49.400002	77.475
50.000000	77.526
50.799999	77.592
51.500000	77.641
52.200001	77.681
53.000000	77.716
53.799999	77.746
54.500000	77.771
55.200001	77.798
56.000000	77.831
57.000000	77.875
58.000000	77.913
59.000000	77.942
60.000000	77.958
60.799999	77.962
61.500000	77.961
62.200001	77.956
63.000000	77.948
64.000000	77.936
65.000000	77.928
66.000000	77.923
67.000000	77.921
68.000000	77.923
69.000000	77.925
70.000000	77.926
71.000000	77.925
72.000000	77.921
73.000000	77.913
74.000000	77.903
75.000000	77.892
76.199997	77.880
77.500000	77.867
78.800003	77.855
80.000000	77.843
81.199997	77.833
82.500000	77.822
83.800003	77.811
85.000000	77.802
86.199997	77.795
87.500000	77.789
