* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 15-Aug-2023 09:04:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ploopy R DSP
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	56.120
20.299999	56.265
20.600000	56.411
20.900000	56.552
21.200001	56.682
21.400000	56.762
21.799999	56.898
22.000000	56.955
22.400000	57.047
22.700001	57.098
23.000000	57.136
23.299999	57.165
23.600000	57.185
24.000000	57.204
24.299999	57.215
24.700001	57.224
25.000000	57.228
25.400000	57.230
25.799999	57.231
26.200001	57.235
26.500000	57.243
26.900000	57.262
27.200001	57.283
27.600000	57.319
28.000000	57.362
28.500000	57.422
29.000000	57.485
29.500000	57.547
30.000000	57.607
30.400000	57.651
30.700001	57.681
31.100000	57.714
31.500000	57.742
32.000000	57.767
32.500000	57.783
33.000000	57.795
33.500000	57.808
34.000000	57.829
34.500000	57.865
35.000000	57.923
35.500000	58.008
36.000000	58.127
36.500000	58.285
37.000000	58.485
37.500000	58.729
38.200001	59.134
38.700001	59.456
39.500000	59.992
40.000000	60.318
40.599998	60.681
41.200001	60.996
41.799999	61.252
42.500000	61.473
43.099998	61.597
43.700001	61.669
44.400002	61.697
45.000000	61.684
45.500000	61.655
46.200001	61.596
46.799999	61.540
47.500000	61.474
48.200001	61.414
48.700001	61.376
49.400002	61.328
50.000000	61.289
50.799999	61.239
51.500000	61.194
52.200001	61.148
53.000000	61.093
53.799999	61.032
54.500000	60.971
55.200001	60.903
56.000000	60.815
57.000000	60.691
58.000000	60.555
59.000000	60.410
60.000000	60.258
60.799999	60.132
61.500000	60.019
62.200001	59.907
63.000000	59.779
64.000000	59.626
65.000000	59.485
66.000000	59.364
67.000000	59.265
68.000000	59.189
69.000000	59.135
70.000000	59.095
71.000000	59.062
72.000000	59.027
73.000000	58.985
74.000000	58.931
75.000000	58.865
76.199997	58.775
77.500000	58.670
78.800003	58.563
80.000000	58.468
81.199997	58.376
82.500000	58.282
83.800003	58.191
85.000000	58.108
86.199997	58.028
87.500000	57.945
88.500000	57.884
90.000000	57.800
91.199997	57.739
92.500000	57.679
93.800003	57.626
95.000000	57.578
96.199997	57.530
97.500000	57.475
98.800003	57.417
100.000000	57.361
101.500000	57.290
103.000000	57.215
104.400002	57.142
106.000000	57.051
107.500000	56.960
109.000000	56.866
110.599998	56.764
112.000000	56.677
113.800003	56.567
115.000000	56.496
117.199997	56.367
118.000000	56.320
120.599998	56.177
122.000000	56.107
124.099998	56.008
125.000000	55.969
126.500000	55.906
128.000000	55.848
131.500000	55.724
132.000000	55.708
134.000000	55.645
136.000000	55.585
138.000000	55.525
140.000000	55.466
143.000000	55.383
145.000000	55.337
147.500000	55.292
150.000000	55.265
152.500000	55.246
155.000000	55.224
157.500000	55.187
160.000000	55.133
162.500000	55.067
165.000000	54.997
167.500000	54.930
170.000000	54.863
172.500000	54.792
175.000000	54.709
177.500000	54.609
180.000000	54.491
182.500000	54.362
185.000000	54.231
187.500000	54.109
190.000000	54.008
192.500000	53.931
195.000000	53.880
197.500000	53.853
200.000000	53.844
203.000000	53.851
206.000000	53.871
209.000000	53.901
212.000000	53.936
214.000000	53.959
218.000000	53.999
220.000000	54.016
224.000000	54.054
227.000000	54.097
230.000000	54.161
233.000000	54.250
236.000000	54.365
240.000000	54.550
243.000000	54.705
247.000000	54.922
250.000000	55.089
254.000000	55.305
258.000000	55.505
262.000000	55.678
265.000000	55.787
269.000000	55.907
272.000000	55.983
276.000000	56.072
280.000000	56.145
285.000000	56.202
290.000000	56.197
295.000000	56.114
300.000000	55.957
304.000000	55.794
307.000000	55.662
311.000000	55.490
315.000000	55.336
320.000000	55.183
325.000000	55.073
330.000000	54.996
335.000000	54.933
340.000000	54.870
345.000000	54.791
350.000000	54.678
355.000000	54.511
360.000000	54.271
365.000000	53.937
370.000000	53.491
375.000000	52.921
382.000000	51.922
387.000000	51.102
395.000000	49.810
400.000000	49.214
406.000000	48.955
412.000000	49.272
418.000000	49.970
425.000000	50.841
431.000000	51.414
437.000000	51.802
444.000000	52.104
450.000000	52.309
455.000000	52.471
462.000000	52.704
468.000000	52.913
475.000000	53.166
482.000000	53.417
487.000000	53.584
494.000000	53.783
500.000000	53.906
508.000000	53.972
515.000000	53.913
522.000000	53.726
530.000000	53.349
538.000000	52.809
545.000000	52.235
552.000000	51.609
560.000000	50.887
570.000000	50.069
580.000000	49.445
590.000000	49.129
600.000000	49.243
608.000000	49.709
615.000000	50.384
622.000000	51.260
630.000000	52.407
640.000000	53.878
650.000000	55.204
660.000000	56.252
670.000000	56.960
680.000000	57.330
690.000000	57.405
700.000000	57.254
710.000000	56.952
720.000000	56.568
730.000000	56.158
740.000000	55.756
750.000000	55.386
762.000000	54.997
775.000000	54.645
788.000000	54.366
800.000000	54.174
812.000000	54.051
825.000000	54.000
838.000000	54.028
850.000000	54.103
862.000000	54.201
875.000000	54.314
885.000000	54.401
900.000000	54.545
912.000000	54.695
925.000000	54.916
938.000000	55.206
950.000000	55.525
962.000000	55.867
975.000000	56.233
988.000000	56.561
1000.000000	56.816
1015.000000	57.058
1030.000000	57.206
1044.000000	57.241
1060.000000	57.127
1075.000000	56.835
1090.000000	56.347
1106.000000	55.637
1120.000000	54.921
1138.000000	54.023
1150.000000	53.527
1172.000000	52.960
1180.000000	52.868
1206.000000	52.880
1220.000000	53.015
1241.000000	53.286
1250.000000	53.410
1265.000000	53.616
1280.000000	53.813
1315.000000	54.245
1320.000000	54.306
1340.000000	54.557
1360.000000	54.828
1380.000000	55.129
1400.000000	55.465
1430.000000	56.032
