* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 25-Aug-2023 19:30:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SE-1 fabric bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	52.319
20.299999	52.637
20.600000	52.958
20.900000	53.275
21.200001	53.586
21.400000	53.788
21.799999	54.180
22.000000	54.371
22.400000	54.748
22.700001	55.030
23.000000	55.315
23.299999	55.603
23.600000	55.892
24.000000	56.275
24.299999	56.555
24.700001	56.917
25.000000	57.176
25.400000	57.504
25.799999	57.813
26.200001	58.103
26.500000	58.307
26.900000	58.562
27.200001	58.740
27.600000	58.961
28.000000	59.164
28.500000	59.395
29.000000	59.604
29.500000	59.790
30.000000	59.952
30.400000	60.064
30.700001	60.137
31.100000	60.219
31.500000	60.285
32.000000	60.345
32.500000	60.379
33.000000	60.391
33.500000	60.380
34.000000	60.350
34.500000	60.304
35.000000	60.245
35.500000	60.175
36.000000	60.098
36.500000	60.015
37.000000	59.925
37.500000	59.831
38.200001	59.692
38.700001	59.591
39.500000	59.432
40.000000	59.335
40.599998	59.220
41.200001	59.107
41.799999	58.993
42.500000	58.861
43.099998	58.750
43.700001	58.644
44.400002	58.527
45.000000	58.432
45.500000	58.357
46.200001	58.258
46.799999	58.179
47.500000	58.097
48.200001	58.027
48.700001	57.987
49.400002	57.941
50.000000	57.909
50.799999	57.872
51.500000	57.839
52.200001	57.802
53.000000	57.751
53.799999	57.688
54.500000	57.624
55.200001	57.552
56.000000	57.462
57.000000	57.344
58.000000	57.224
59.000000	57.102
60.000000	56.975
60.799999	56.868
61.500000	56.771
62.200001	56.671
63.000000	56.555
64.000000	56.409
65.000000	56.265
66.000000	56.124
67.000000	55.983
68.000000	55.841
69.000000	55.697
70.000000	55.552
71.000000	55.408
72.000000	55.268
73.000000	55.136
74.000000	55.013
75.000000	54.902
76.199997	54.780
77.500000	54.656
78.800003	54.533
80.000000	54.416
81.199997	54.294
82.500000	54.158
83.800003	54.019
85.000000	53.890
86.199997	53.764
87.500000	53.632
88.500000	53.536
90.000000	53.398
91.199997	53.290
92.500000	53.171
93.800003	53.048
95.000000	52.930
96.199997	52.809
97.500000	52.683
98.800003	52.573
100.000000	52.498
101.500000	52.459
103.000000	52.502
104.400002	52.627
106.000000	52.870
107.500000	53.173
109.000000	53.512
110.599998	53.866
112.000000	54.135
113.800003	54.398
115.000000	54.514
117.199997	54.611
118.000000	54.615
120.599998	54.545
122.000000	54.470
124.099998	54.333
125.000000	54.269
126.500000	54.161
128.000000	54.055
131.500000	53.830
132.000000	53.802
134.000000	53.705
136.000000	53.629
138.000000	53.568
140.000000	53.513
143.000000	53.431
145.000000	53.374
147.500000	53.305
150.000000	53.241
152.500000	53.184
155.000000	53.131
157.500000	53.079
160.000000	53.029
162.500000	52.980
165.000000	52.933
167.500000	52.891
170.000000	52.856
172.500000	52.828
175.000000	52.810
177.500000	52.803
180.000000	52.806
182.500000	52.818
185.000000	52.834
187.500000	52.854
190.000000	52.873
192.500000	52.889
195.000000	52.893
197.500000	52.879
200.000000	52.835
203.000000	52.728
206.000000	52.547
209.000000	52.288
212.000000	51.965
214.000000	51.729
218.000000	51.269
220.000000	51.072
224.000000	50.790
227.000000	50.682
230.000000	50.648
233.000000	50.664
236.000000	50.708
240.000000	50.779
243.000000	50.827
247.000000	50.879
250.000000	50.908
254.000000	50.937
258.000000	50.960
262.000000	50.980
265.000000	50.994
269.000000	51.013
272.000000	51.026
276.000000	51.042
280.000000	51.055
285.000000	51.069
290.000000	51.087
295.000000	51.117
300.000000	51.168
304.000000	51.230
307.000000	51.289
311.000000	51.382
315.000000	51.484
320.000000	51.604
325.000000	51.678
330.000000	51.659
335.000000	51.503
340.000000	51.191
345.000000	50.746
350.000000	50.240
355.000000	49.772
360.000000	49.421
365.000000	49.215
370.000000	49.136
375.000000	49.142
382.000000	49.221
387.000000	49.294
395.000000	49.407
400.000000	49.468
406.000000	49.530
412.000000	49.579
418.000000	49.617
425.000000	49.647
431.000000	49.664
437.000000	49.676
444.000000	49.689
450.000000	49.702
455.000000	49.717
462.000000	49.743
468.000000	49.765
475.000000	49.771
482.000000	49.734
487.000000	49.668
494.000000	49.516
500.000000	49.340
508.000000	49.081
515.000000	48.881
522.000000	48.737
530.000000	48.650
538.000000	48.630
545.000000	48.645
552.000000	48.673
560.000000	48.705
570.000000	48.728
580.000000	48.729
590.000000	48.715
600.000000	48.696
608.000000	48.683
615.000000	48.674
622.000000	48.665
630.000000	48.652
640.000000	48.626
650.000000	48.588
660.000000	48.539
670.000000	48.485
680.000000	48.428
690.000000	48.367
700.000000	48.295
710.000000	48.210
720.000000	48.116
730.000000	48.023
740.000000	47.943
750.000000	47.881
762.000000	47.832
775.000000	47.802
788.000000	47.781
800.000000	47.759
812.000000	47.726
825.000000	47.676
838.000000	47.614
850.000000	47.548
862.000000	47.474
875.000000	47.385
885.000000	47.310
900.000000	47.195
912.000000	47.113
925.000000	47.039
938.000000	46.983
950.000000	46.936
962.000000	46.886
975.000000	46.818
988.000000	46.730
1000.000000	46.628
1015.000000	46.476
1030.000000	46.304
1044.000000	46.136
1060.000000	45.948
1075.000000	45.788
1090.000000	45.650
1106.000000	45.538
1120.000000	45.475
