* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 05-Oct-2023 17:49:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.026	1.1910
20.299999	79.018	0.8030
20.600000	79.016	0.4257
20.900000	79.020	0.0371
21.200001	79.029	-0.3861
21.400000	79.035	-0.6955
21.799999	79.044	-1.3758
22.000000	79.045	-1.7377
22.400000	79.033	-2.4706
22.700001	79.015	-2.9934
23.000000	78.991	-3.4657
23.299999	78.966	-3.8827
23.600000	78.944	-4.2555
24.000000	78.922	-4.7188
24.299999	78.910	-5.0726
24.700001	78.897	-5.5780
25.000000	78.884	-5.9813
25.400000	78.861	-6.5287
25.799999	78.830	-7.0509
26.200001	78.794	-7.5235
26.500000	78.768	-7.8445
26.900000	78.737	-8.2390
27.200001	78.717	-8.5217
27.600000	78.695	-8.8975
28.000000	78.678	-9.2920
28.500000	78.660	-9.8415
29.000000	78.635	-10.4629
29.500000	78.594	-11.1029
30.000000	78.538	-11.6505
30.400000	78.493	-11.9746
30.700001	78.467	-12.1646
31.100000	78.446	-12.4155
31.500000	78.437	-12.7420
32.000000	78.421	-13.3085
32.500000	78.378	-13.9466
33.000000	78.307	-14.4451
33.500000	78.238	-14.7064
34.000000	78.200	-14.8489
34.500000	78.191	-15.0952
35.000000	78.187	-15.5482
35.500000	78.160	-16.1178
36.000000	78.108	-16.6307
36.500000	78.050	-16.9971
37.000000	78.003	-17.2582
37.500000	77.974	-17.5129
38.200001	77.944	-17.9700
38.700001	77.920	-18.3585
39.500000	77.867	-18.9825
40.000000	77.829	-19.3352
40.599998	77.784	-19.7235
41.200001	77.741	-20.1123
41.799999	77.695	-20.5250
42.500000	77.631	-21.0011
43.099998	77.569	-21.3539
43.700001	77.509	-21.6561
44.400002	77.446	-21.9927
45.000000	77.396	-22.2965
45.500000	77.356	-22.5642
46.200001	77.300	-22.9613
46.799999	77.252	-23.3174
47.500000	77.192	-23.7300
48.200001	77.131	-24.1187
48.700001	77.087	-24.3782
49.400002	77.026	-24.7147
50.000000	76.975	-24.9781
50.799999	76.909	-25.3094
51.500000	76.853	-25.5967
52.200001	76.793	-25.8732
53.000000	76.724	-26.1548
53.799999	76.657	-26.4108
54.500000	76.601	-26.6401
55.200001	76.545	-26.8827
56.000000	76.480	-27.1639
57.000000	76.397	-27.5019
58.000000	76.315	-27.8097
59.000000	76.240	-28.0998
60.000000	76.169	-28.4296
60.799999	76.108	-28.7144
61.500000	76.051	-28.9523
62.200001	75.992	-29.1747
63.000000	75.925	-29.4121
64.000000	75.840	-29.6827
65.000000	75.756	-29.9222
66.000000	75.677	-30.1267
67.000000	75.604	-30.3372
68.000000	75.530	-30.5536
69.000000	75.457	-30.7521
70.000000	75.383	-30.9654
71.000000	75.304	-31.1631
72.000000	75.225	-31.3303
73.000000	75.146	-31.4846
74.000000	75.071	-31.6333
75.000000	75.000	-31.8193
76.199997	74.907	-32.0572
77.500000	74.806	-32.2494
78.800003	74.714	-32.4293
80.000000	74.625	-32.6151
81.199997	74.530	-32.7376
82.500000	74.434	-32.8333
83.800003	74.334	-32.9494
85.000000	74.242	-32.9968
86.199997	74.162	-33.0496
87.500000	74.078	-33.1831
88.500000	74.010	-33.2927
90.000000	73.905	-33.4381
91.199997	73.818	-33.4887
92.500000	73.732	-33.4975
93.800003	73.648	-33.5385
95.000000	73.565	-33.5696
96.199997	73.481	-33.5605
97.500000	73.395	-33.5386
98.800003	73.314	-33.5499
100.000000	73.236	-33.5898
101.500000	73.131	-33.6310
103.000000	73.022	-33.5993
104.400002	72.929	-33.5095
106.000000	72.836	-33.4192
107.500000	72.752	-33.4091
109.000000	72.659	-33.4046
110.599998	72.556	-33.3190
112.000000	72.473	-33.1996
113.800003	72.374	-33.0387
115.000000	72.311	-32.9702
117.199997	72.180	-32.8919
118.000000	72.130	-32.8379
120.599998	71.980	-32.6033
122.000000	71.906	-32.4891
124.099998	71.798	-32.3300
125.000000	71.751	-32.2600
126.500000	71.670	-32.1382
128.000000	71.586	-31.9971
131.500000	71.404	-31.6078
132.000000	71.379	-31.5544
134.000000	71.279	-31.3352
136.000000	71.177	-31.0827
138.000000	71.081	-30.8151
140.000000	70.989	-30.5729
143.000000	70.860	-30.1958
145.000000	70.776	-29.9399
147.500000	70.663	-29.5545
150.000000	70.561	-29.1535
152.500000	70.456	-28.7892
155.000000	70.348	-28.3416
157.500000	70.244	-27.9164
160.000000	70.140	-27.5354
162.500000	70.046	-27.1251
165.000000	69.962	-26.6815
167.500000	69.875	-26.1958
170.000000	69.787	-25.7294
172.500000	69.699	-25.3390
175.000000	69.610	-24.9566
177.500000	69.531	-24.4820
180.000000	69.464	-23.9785
182.500000	69.393	-23.4775
185.000000	69.318	-23.0047
187.500000	69.241	-22.5605
190.000000	69.169	-22.0985
192.500000	69.104	-21.5989
195.000000	69.038	-21.0600
197.500000	68.971	-20.5356
200.000000	68.907	-20.0399
203.000000	68.852	-19.4198
206.000000	68.808	-18.8228
209.000000	68.745	-18.2432
212.000000	68.670	-17.6698
214.000000	68.621	-17.2857
218.000000	68.533	-16.5603
220.000000	68.490	-16.2104
224.000000	68.413	-15.4174
227.000000	68.373	-14.7660
230.000000	68.336	-14.1654
233.000000	68.297	-13.6058
236.000000	68.260	-12.9867
240.000000	68.206	-12.1058
243.000000	68.159	-11.5566
247.000000	68.105	-10.9354
250.000000	68.069	-10.3441
254.000000	68.013	-9.3152
258.000000	67.975	-8.2232
262.000000	67.977	-7.2102
265.000000	67.987	-6.5404
269.000000	67.995	-5.7945
272.000000	68.007	-5.3614
276.000000	68.030	-4.9161
280.000000	68.044	-4.5123
285.000000	68.038	-3.8927
290.000000	68.031	-3.2074
295.000000	68.020	-2.4811
300.000000	67.998	-1.9157
304.000000	67.984	-1.4849
307.000000	67.983	-1.0819
311.000000	67.982	-0.4999
315.000000	67.977	0.0308
320.000000	67.976	0.6188
325.000000	67.975	1.1479
330.000000	67.974	1.6964
335.000000	67.974	2.3509
340.000000	67.962	3.0460
345.000000	67.951	3.7066
350.000000	67.949	4.2971
355.000000	67.957	4.8445
360.000000	67.977	5.4109
365.000000	67.988	5.9573
370.000000	67.992	6.4507
375.000000	68.003	6.9898
382.000000	68.007	7.6296
387.000000	68.011	8.0162
395.000000	68.035	8.7530
400.000000	68.043	9.1891
406.000000	68.049	9.7305
412.000000	68.063	10.2508
418.000000	68.087	10.7614
425.000000	68.110	11.3716
431.000000	68.120	11.8604
437.000000	68.129	12.3781
444.000000	68.144	12.9613
450.000000	68.157	13.3872
455.000000	68.166	13.7126
462.000000	68.173	14.2601
468.000000	68.183	14.7357
475.000000	68.202	15.2233
482.000000	68.211	15.7437
487.000000	68.218	16.0807
494.000000	68.235	16.5178
500.000000	68.240	16.8885
508.000000	68.230	17.4388
515.000000	68.227	17.9802
522.000000	68.244	18.4974
530.000000	68.265	19.0453
538.000000	68.269	19.5441
545.000000	68.270	20.0112
552.000000	68.282	20.4488
560.000000	68.301	20.9284
570.000000	68.322	21.5274
580.000000	68.332	22.0858
590.000000	68.353	22.7385
600.000000	68.384	23.4774
608.000000	68.398	23.9865
615.000000	68.407	24.3698
622.000000	68.419	24.7948
630.000000	68.436	25.3278
640.000000	68.460	25.9310
650.000000	68.475	26.4678
660.000000	68.490	27.0832
670.000000	68.507	27.7003
680.000000	68.524	28.2679
690.000000	68.540	28.9331
700.000000	68.555	29.6733
710.000000	68.573	30.3116
720.000000	68.597	30.9216
730.000000	68.626	31.5622
740.000000	68.655	32.1976
750.000000	68.677	32.8439
762.000000	68.710	33.6540
775.000000	68.747	34.5335
788.000000	68.785	35.3541
800.000000	68.827	36.1751
812.000000	68.871	36.9621
825.000000	68.923	37.7102
838.000000	68.985	38.5035
850.000000	69.042	39.3463
862.000000	69.106	40.1816
875.000000	69.182	41.0590
885.000000	69.243	41.6932
900.000000	69.335	42.5502
912.000000	69.415	43.2150
925.000000	69.500	43.9166
938.000000	69.583	44.6555
950.000000	69.668	45.3766
962.000000	69.755	46.0561
975.000000	69.855	46.6624
988.000000	69.958	47.0852
1000.000000	70.056	47.4447
1015.000000	70.194	48.1596
1030.000000	70.333	48.8383
1044.000000	70.452	49.3426
1060.000000	70.582	49.8458
1075.000000	70.709	50.2479
1090.000000	70.836	50.6064
1106.000000	70.967	50.9292
1120.000000	71.073	51.1304
1138.000000	71.205	51.3731
1150.000000	71.294	51.5307
1172.000000	71.450	51.7894
1180.000000	71.501	51.8719
1206.000000	71.663	52.0783
1220.000000	71.743	52.1669
1241.000000	71.861	52.3107
1250.000000	71.914	52.3560
1265.000000	71.999	52.3904
1280.000000	72.076	52.4324
1315.000000	72.236	52.6386
1320.000000	72.256	52.6609
1340.000000	72.333	52.7493
1360.000000	72.411	52.8710
1380.000000	72.489	52.9814
1400.000000	72.566	53.1046
1430.000000	72.673	53.3073
1450.000000	72.740	53.4284
1475.000000	72.823	53.6264
1500.000000	72.901	53.8997
1525.000000	72.980	54.1751
1550.000000	73.057	54.4079
1575.000000	73.139	54.6765
1600.000000	73.226	54.9902
1625.000000	73.321	55.2748
1650.000000	73.413	55.5618
1675.000000	73.505	55.8688
1700.000000	73.596	56.1882
1725.000000	73.679	56.5082
1750.000000	73.764	56.8158
1775.000000	73.857	57.1073
1800.000000	73.955	57.3653
1825.000000	74.063	57.6360
1850.000000	74.174	57.9210
1875.000000	74.283	58.1892
1900.000000	74.395	58.4377
1925.000000	74.510	58.6689
1950.000000	74.624	58.8705
1975.000000	74.742	59.0683
2000.000000	74.862	59.2693
2030.000000	74.999	59.4742
2060.000000	75.150	59.6420
2090.000000	75.306	59.7764
2120.000000	75.463	59.8797
2140.000000	75.568	59.9317
2180.000000	75.779	59.9553
2200.000000	75.888	59.9353
2240.000000	76.115	59.8411
2270.000000	76.289	59.7086
2300.000000	76.465	59.5156
2330.000000	76.641	59.2750
2360.000000	76.814	58.9883
2400.000000	77.043	58.4966
2430.000000	77.213	58.0322
2470.000000	77.440	57.3193
2500.000000	77.606	56.7082
2540.000000	77.821	55.7770
2580.000000	78.026	54.7242
2620.000000	78.218	53.5691
2650.000000	78.353	52.6316
2690.000000	78.518	51.2938
2720.000000	78.629	50.2335
2760.000000	78.762	48.7517
2800.000000	78.875	47.2007
2850.000000	78.982	45.1813
2900.000000	79.054	43.1213
2950.000000	79.094	41.0863
3000.000000	79.096	39.0992
3040.000000	79.066	37.5512
3070.000000	79.030	36.4358
3110.000000	78.968	35.0196
3150.000000	78.893	33.6894
3200.000000	78.781	32.1879
3250.000000	78.653	30.8710
3300.000000	78.517	29.7498
3350.000000	78.386	28.8063
3400.000000	78.265	27.9582
3450.000000	78.152	27.1622
3500.000000	78.041	26.3913
3550.000000	77.923	25.6682
3600.000000	77.791	25.0279
3650.000000	77.652	24.4995
3700.000000	77.515	24.0773
3750.000000	77.387	23.7556
3820.000000	77.222	23.4858
3870.000000	77.114	23.3920
3950.000000	76.951	23.3863
4000.000000	76.860	23.4597
4060.000000	76.765	23.5672
4120.000000	76.692	23.6933
4180.000000	76.634	23.8567
4250.000000	76.574	24.0534
4310.000000	76.534	24.2066
4370.000000	76.511	24.3532
4440.000000	76.505	24.4615
4500.000000	76.514	24.4895
4550.000000	76.528	24.4611
4620.000000	76.547	24.3435
4680.000000	76.563	24.1675
4750.000000	76.582	23.8353
4820.000000	76.604	23.3756
4870.000000	76.615	22.9791
4940.000000	76.619	22.3401
5000.000000	76.609	21.7323
5080.000000	76.564	20.8169
5150.000000	76.496	19.9776
5220.000000	76.397	19.2264
5300.000000	76.250	18.5766
5380.000000	76.084	18.2281
5450.000000	75.941	18.2101
5520.000000	75.818	18.4285
5600.000000	75.715	18.8616
5700.000000	75.643	19.5051
5800.000000	75.632	20.1364
5900.000000	75.678	20.6460
6000.000000	75.779	20.9193
6080.000000	75.882	20.8946
6150.000000	75.982	20.6711
6220.000000	76.088	20.2296
6300.000000	76.204	19.4513
6400.000000	76.324	18.1070
6500.000000	76.388	16.4537
6600.000000	76.383	14.6906
6700.000000	76.312	13.0242
6800.000000	76.197	11.6474
6900.000000	76.067	10.6616
7000.000000	75.950	10.0499
7100.000000	75.871	9.7375
7200.000000	75.854	9.5951
7300.000000	75.912	9.4284
7400.000000	76.037	9.0102
7500.000000	76.213	8.2025
7620.000000	76.491	6.5841
7750.000000	76.839	3.5611
7880.000000	77.125	-1.1200
8000.000000	77.230	-6.8849
8120.000000	77.086	-13.5956
8250.000000	76.580	-21.0003
8380.000000	75.698	-27.2632
8500.000000	74.611	-30.5884
8620.000000	73.571	-30.9436
8750.000000	72.808	-31.4298
8850.000000	72.165	-32.1770
9000.000000	71.207	-31.5689
9120.000000	70.573	-31.2928
9250.000000	69.820	-30.6786
9380.000000	69.083	-29.0561
9500.000000	68.492	-26.9953
9620.000000	67.999	-24.6586
9750.000000	67.577	-21.9799
9880.000000	67.257	-19.3098
10000.000000	67.039	-16.9527
10150.000000	66.865	-14.1961
10300.000000	66.787	-11.8301
10440.000000	66.797	-10.0307
