* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 17-Nov-2023 15:12:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Caldera suede R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.471
20.299999	72.509
20.600000	72.546
20.900000	72.580
21.200001	72.613
21.400000	72.634
21.799999	72.672
22.000000	72.690
22.400000	72.723
22.700001	72.747
23.000000	72.769
23.299999	72.791
23.600000	72.813
24.000000	72.843
24.299999	72.866
24.700001	72.896
25.000000	72.919
25.400000	72.948
25.799999	72.977
26.200001	73.006
26.500000	73.029
26.900000	73.062
27.200001	73.088
27.600000	73.127
28.000000	73.167
28.500000	73.219
29.000000	73.270
29.500000	73.320
30.000000	73.367
30.400000	73.402
30.700001	73.427
31.100000	73.456
31.500000	73.483
32.000000	73.512
32.500000	73.537
33.000000	73.559
33.500000	73.577
34.000000	73.592
34.500000	73.604
35.000000	73.614
35.500000	73.623
36.000000	73.631
36.500000	73.641
37.000000	73.653
37.500000	73.666
38.200001	73.686
38.700001	73.701
39.500000	73.726
40.000000	73.742
40.599998	73.762
41.200001	73.782
41.799999	73.800
42.500000	73.817
43.099998	73.829
43.700001	73.837
44.400002	73.844
45.000000	73.848
45.500000	73.850
46.200001	73.854
46.799999	73.857
47.500000	73.862
48.200001	73.867
48.700001	73.872
49.400002	73.878
50.000000	73.886
50.799999	73.897
51.500000	73.909
52.200001	73.922
53.000000	73.938
53.799999	73.954
54.500000	73.969
55.200001	73.982
56.000000	73.997
57.000000	74.013
58.000000	74.026
59.000000	74.037
60.000000	74.046
60.799999	74.052
61.500000	74.057
62.200001	74.062
63.000000	74.068
64.000000	74.075
65.000000	74.084
66.000000	74.094
67.000000	74.106
68.000000	74.119
69.000000	74.134
70.000000	74.149
71.000000	74.164
72.000000	74.178
73.000000	74.192
74.000000	74.205
75.000000	74.217
76.199997	74.232
77.500000	74.248
78.800003	74.263
80.000000	74.277
81.199997	74.291
82.500000	74.305
83.800003	74.319
85.000000	74.330
86.199997	74.340
87.500000	74.349
88.500000	74.355
90.000000	74.363
91.199997	74.370
92.500000	74.377
93.800003	74.383
95.000000	74.389
96.199997	74.394
97.500000	74.400
98.800003	74.405
100.000000	74.410
101.500000	74.415
103.000000	74.420
104.400002	74.423
106.000000	74.425
107.500000	74.425
109.000000	74.423
110.599998	74.420
112.000000	74.418
113.800003	74.414
115.000000	74.412
117.199997	74.409
118.000000	74.408
120.599998	74.405
122.000000	74.404
124.099998	74.402
125.000000	74.401
126.500000	74.399
128.000000	74.397
131.500000	74.392
132.000000	74.391
134.000000	74.388
136.000000	74.384
138.000000	74.380
140.000000	74.375
143.000000	74.370
145.000000	74.366
147.500000	74.363
150.000000	74.359
152.500000	74.356
155.000000	74.351
157.500000	74.347
160.000000	74.343
162.500000	74.339
165.000000	74.336
167.500000	74.334
170.000000	74.333
172.500000	74.332
175.000000	74.330
177.500000	74.329
180.000000	74.326
182.500000	74.323
185.000000	74.319
187.500000	74.315
190.000000	74.311
192.500000	74.307
195.000000	74.303
197.500000	74.298
200.000000	74.294
203.000000	74.287
206.000000	74.280
209.000000	74.273
212.000000	74.264
214.000000	74.258
218.000000	74.244
220.000000	74.236
224.000000	74.218
227.000000	74.203
230.000000	74.188
233.000000	74.173
236.000000	74.159
240.000000	74.142
243.000000	74.130
247.000000	74.114
250.000000	74.102
254.000000	74.084
258.000000	74.066
262.000000	74.046
265.000000	74.030
269.000000	74.009
272.000000	73.993
276.000000	73.970
280.000000	73.948
285.000000	73.920
290.000000	73.896
295.000000	73.877
300.000000	73.865
304.000000	73.859
307.000000	73.858
311.000000	73.859
315.000000	73.863
320.000000	73.872
325.000000	73.882
330.000000	73.894
335.000000	73.907
340.000000	73.920
345.000000	73.935
350.000000	73.949
355.000000	73.964
360.000000	73.976
365.000000	73.987
370.000000	73.996
375.000000	74.002
382.000000	74.006
387.000000	74.004
395.000000	73.995
400.000000	73.983
406.000000	73.963
412.000000	73.936
418.000000	73.900
425.000000	73.847
431.000000	73.793
437.000000	73.731
444.000000	73.649
450.000000	73.573
455.000000	73.507
462.000000	73.413
468.000000	73.334
475.000000	73.246
482.000000	73.163
487.000000	73.109
494.000000	73.039
500.000000	72.985
508.000000	72.922
515.000000	72.874
522.000000	72.834
530.000000	72.801
538.000000	72.781
545.000000	72.776
552.000000	72.781
560.000000	72.796
570.000000	72.823
580.000000	72.849
590.000000	72.867
600.000000	72.873
608.000000	72.868
615.000000	72.859
622.000000	72.845
630.000000	72.825
640.000000	72.796
650.000000	72.766
660.000000	72.737
670.000000	72.709
680.000000	72.683
690.000000	72.659
700.000000	72.636
710.000000	72.616
720.000000	72.598
730.000000	72.583
740.000000	72.571
750.000000	72.560
762.000000	72.551
775.000000	72.545
788.000000	72.543
800.000000	72.542
812.000000	72.543
825.000000	72.543
838.000000	72.543
850.000000	72.541
862.000000	72.537
875.000000	72.532
885.000000	72.528
900.000000	72.525
912.000000	72.525
925.000000	72.522
938.000000	72.512
950.000000	72.493
962.000000	72.465
975.000000	72.424
988.000000	72.373
1000.000000	72.319
1015.000000	72.240
1030.000000	72.146
1044.000000	72.039
1060.000000	71.885
1075.000000	71.704
1090.000000	71.488
1106.000000	71.233
1120.000000	71.010
1138.000000	70.753
1150.000000	70.613
1172.000000	70.427
1180.000000	70.378
1206.000000	70.267
1220.000000	70.225
1241.000000	70.177
1250.000000	70.161
1265.000000	70.140
1280.000000	70.126
1315.000000	70.119
1320.000000	70.120
1340.000000	70.121
1360.000000	70.117
1380.000000	70.109
1400.000000	70.105
1430.000000	70.132
1450.000000	70.190
1475.000000	70.313
1500.000000	70.485
1525.000000	70.684
1550.000000	70.884
1575.000000	71.066
